entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
4.7019715,99.95431,0.0,0.11893356,1365,810.975,1,806621,3018.975649023597,0.6484269499778748,0.011953381,0.11893356,3273.314215183258
4.6527705,100.982544,0.0,0.12234438,1367,810.975,2,808621,2987.758820582206,0.15102636814117432,0.012264929,0.12234438,3277.400792121887
4.654424,100.32174,0.0,0.13510023,1369,796.85,2,810002,2930.3594689299134,0.6013405919075012,0.012737705,0.13510023,3281.4864971637726
4.658229,100.94487,0.0,0.10686545,1370,796.85,1,811002,2932.2080954463877,0.40838783979415894,0.011735102,0.10686545,3285.583389043808
4.6493883,102.43606,0.0,0.13637629,1372,792.725,2,812463,2915.9402842010254,0.7623832076787949,0.013512595,0.13637629,3289.6781129837036
4.633611,101.7901,0.0,0.11126231,1373,792.725,1,813463,2913.920013058819,0.693916380405426,0.012310046,0.11126231,3293.7860963344574
4.626607,101.72247,0.0,0.13560149,1374,792.725,1,814463,2899.792238831424,0.4495238661766052,0.0130591635,0.13560149,3297.8818867206573
4.672832,100.87246,0.0,0.1093691,1375,792.725,1,815463,2901.420711874168,0.4431349039077759,0.014622091,0.1093691,3301.9799377918243
4.634333,99.198685,0.0,0.07013598,1376,781.4,1,816010,2850.7444739762836,0.7728911340236664,0.0050064432,0.07013598,3306.06392455101
4.605311,98.62155,0.0,0.0966728,1378,769.775,2,817545,2809.6352880084128,0.6333817541599274,0.012442733,0.0966728,3310.1475505828857
4.6045127,96.013016,0.0,0.12766534,1380,751.4,2,818810,2730.911520632753,0.7326492071151733,0.012819104,0.12766534,3314.2294874191284
4.5874224,96.90052,0.0,0.15851045,1381,758.475,1,819234,2754.2920999079506,0.8189448267221451,0.013231882,0.15851045,3318.3161458969116
4.593687,97.803635,0.0,0.108829424,1382,766.725,1,820234,2771.470216937487,0.49178582429885864,0.013966623,0.108829424,3322.39808678627
4.563726,97.426476,0.0,0.122946106,1383,766.725,1,821234,2756.788107215576,0.5527676939964294,0.012466398,0.122946106,3326.482408761978
4.578123,94.37242,0.0,0.13051695,1385,747.75,2,822319,2668.0323790805255,0.7009969055652618,0.011915911,0.13051695,3330.5658433437347
4.554648,93.59181,0.0,0.12886208,1386,744.65,1,823128,2638.4290404275125,0.6256556212902069,0.011918504,0.12886208,3334.659348011017
4.5081124,96.21037,0.0,0.116051584,1387,765.325,1,824128,2716.715215677273,0.43733012676239014,0.013641288,0.116051584,3338.745096206665
4.514064,99.43863,0.0,0.10919135,1388,787.45,1,825128,2805.16269860427,0.6022474765777588,0.013288781,0.10919135,3343.1699571609497
4.4870214,99.17975,0.0,0.114224926,1389,787.45,1,826128,2784.2637592212814,0.22585618495941162,0.0112901125,0.114224926,3347.259267807007
4.473172,97.42455,0.0,0.14365405,1392,772.775,3,827593,2728.6438324004016,0.8821064680814743,0.011696468,0.14365405,3351.3500893115997
