EpisodesSoFar,TimeElapsed,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpThisIter,EpTrueRewMean,EpLenMean,EpRewMean,entloss,optimgain
4088,8360.775919675827,0.16841452,0.013303377,0.8631383925676346,2078578,0.98877704,2,2108.679408933748,575.075,32.986744,0.0,0.16841452
4090,8364.879644870758,0.24762493,0.013595881,0.7657246291637421,2079297,0.9895383,2,2023.5523178064875,559.975,32.215645,0.0,0.24762493
4093,8368.969801425934,0.12130149,0.013374953,0.8083305507898331,2080284,0.9830699,3,1968.774625522099,549.1,31.640804,0.0,0.12130149
4094,8373.024884939194,0.13225533,0.014447138,0.8779263198375702,2080551,0.9668804,1,1968.6232411811914,547.775,31.491022,0.0,0.13225533
4096,8377.107147216797,0.1321846,0.014314252,0.8547914028167725,2081792,0.9738464,2,2049.049799540405,564.925,32.64694,0.0,0.1321846
4098,8381.197776079178,0.1320402,0.01484729,0.9058276563882828,2082869,0.9614182,2,2021.6147452337311,557.925,32.102783,0.0,0.1320402
4100,8385.280574321747,0.13779633,0.014398262,0.8231997936964035,2083608,0.96082145,2,1900.5509357221774,533.35,31.188442,0.0,0.13779633
4102,8389.37538266182,0.21850362,0.014341965,0.87392757833004,2084427,0.9600238,2,1766.3895282414844,504.95,30.529713,0.0,0.21850362
4103,8393.460810184479,0.11590484,0.012299215,0.8160349130630493,2085427,0.96298367,1,1823.4164076334546,516.95,30.837122,0.0,0.11590484
4105,8397.546276569366,0.19835588,0.014036834,0.8521053493022919,2086686,0.9619538,2,1799.0261546206686,512.875,30.911844,0.0,0.19835588
4106,8401.642612695694,0.23270033,0.013634348,0.2846031188964844,2087686,0.967123,1,1851.7304341121094,525.3,32.360317,0.0,0.23270033
4109,8405.737973690033,0.07688006,0.003971922,0.900495246052742,2088723,0.9631215,3,1782.6136335478193,511.45,31.39061,0.0,0.07688006
4111,8409.824854373932,0.13624412,0.01341808,0.7064399719238281,2090017,0.96495205,2,1841.7891530257293,525.6,31.723246,0.0,0.13624412
4112,8413.903109550476,0.149328,0.014315451,0.6863287389278412,2091017,0.956282,1,1909.6474469053915,540.2,32.29421,0.0,0.149328
4115,8417.973824262619,0.10295042,0.013395203,0.7247588634490967,2092474,0.95636034,3,1735.4627624245957,501.95,29.519634,0.0,0.10295042
4118,8422.054710388184,0.1354747,0.013480369,0.9309629425406456,2093462,0.96008307,3,1671.0544001347716,488.4,28.262875,0.0,0.1354747
4120,8426.139812469482,0.07694515,0.0038729534,0.835645005106926,2094237,0.9666368,2,1600.5248392698104,473.325,27.199469,0.0,0.07694515
4123,8430.230608940125,0.1491283,0.01431764,0.9171353802084923,2095290,0.97050667,3,1605.4646006266653,470.425,27.18081,0.0,0.1491283
4125,8434.316400766373,0.07881566,0.004826201,0.8558891862630844,2096661,0.9558635,2,1686.366611063801,490.075,27.960384,0.0,0.07881566
4127,8438.391105413437,0.12295514,0.013238065,0.8493145257234573,2097700,0.930428,2,1695.1102597326467,490.675,28.092052,0.0,0.12295514
4130,8442.496229887009,0.07375729,0.0040491377,0.8549059927463531,2099013,0.9278698,3,1715.6796945800202,492.9,28.409338,0.0,0.07375729
