ev_tdlam_before,EpThisIter,meankl,entloss,EpLenMean,entropy,TimestepsSoFar,optimgain,surrgain,TimeElapsed,EpRewMean,EpisodesSoFar
0.9108192175626755,6,0.008784912,0.0,185.775,1.4189401,16230,0.009619301,0.009619301,11.2368643283844,70.12557074278364,61
0.9218569621443748,8,0.004068712,0.0,174.525,1.4189401,17408,0.0076430053,0.0076430053,11.912943601608276,70.44921630860762,69
0.8803925067186356,6,0.009203916,0.0,166.25,1.4189401,18359,0.015087532,0.015087532,12.603394031524658,70.0662770046175,75
0.9405950829386711,6,0.004983212,0.0,159.7,1.4189401,19279,0.011020759,0.011020759,13.300734758377075,69.57537002042076,81
0.968633871525526,8,0.0058882115,0.0,155.5,1.4189401,20441,0.009687078,0.009687078,13.99772310256958,67.95877270071112,89
0.9483070336282253,8,0.0058130696,0.0,150.0,1.4189401,21488,0.011738716,0.011738716,14.687337875366211,68.41093241926112,97
0.9688355308026075,9,0.0035724055,0.0,135.825,1.4189401,22445,0.007523435,0.007523435,15.37610650062561,69.94393504817155,106
0.9668975323438644,10,0.004844373,0.0,122.725,1.4189401,23416,0.019691534,0.019691534,16.05252480506897,71.31758974058701,116
0.9019450321793556,9,0.004336346,0.0,115.125,1.4189401,24511,0.006987593,0.006987593,16.73968267440796,72.09495534276166,125
0.9485161192715168,10,0.0058634733,0.0,107.05,1.4189401,25593,0.018093437,0.018093437,17.417815685272217,73.34149287619194,135
0.9757543336600065,11,0.008067628,0.0,104.125,1.4189401,26610,0.012533393,0.012533393,18.108671188354492,72.88513650190562,146
0.9614825956523418,11,0.007085941,0.0,100.775,1.4189401,27606,0.013557904,0.013557904,18.78331208229065,73.09613624103967,157
0.9824942965060472,12,0.009135731,0.0,91.05,1.4189401,28614,0.012664342,0.012664342,19.473743677139282,73.27832605193917,169
0.9608948044478893,11,0.007850662,0.0,87.05,1.4189401,29591,0.013617265,0.013617265,20.164095878601074,73.25406917869856,180
0.9454162642359734,10,0.0058062356,0.0,89.975,1.4189401,30604,0.011643093,0.011643093,20.853804349899292,73.17957001751145,190
0.9341224804520607,12,0.008391179,0.0,90.325,1.4189401,31675,0.012762331,0.012762331,21.56227469444275,72.94300769724364,202
0.9855267982929945,13,0.0076656872,0.0,90.875,1.4189401,32759,0.011767999,0.011767999,22.242018222808838,72.01266455083423,215
0.9885208532214165,13,0.009934997,0.0,83.725,1.4189401,33781,0.016754325,0.016754325,22.94438672065735,72.58901028232488,228
0.9944660034961998,13,0.009076498,0.0,79.925,1.4189401,34796,0.020792186,0.020792186,23.639360666275024,73.66700337503951,241
0.9014054238796234,10,0.007825032,0.0,84.25,1.4189401,35791,0.0131458165,0.0131458165,24.354340076446533,73.65906294716906,251
0.9729946125298738,11,0.0070178024,0.0,87.8,1.4189401,36818,0.013831118,0.013831118,25.031811237335205,73.80404797989743,262
0.9824270624667406,13,0.009505363,0.0,87.7,1.4189401,37840,0.021483699,0.021483699,25.724701166152954,73.53226778202932,275
0.9405174069106579,12,0.0073958514,0.0,87.575,1.4189401,38903,0.009922237,0.009922237,26.40562629699707,73.13612633398319,287
0.9147148951888084,9,0.007825047,0.0,89.8,1.4189401,39812,0.011172483,0.011172483,27.103767156600952,72.7340163322896,296
0.98122170381248,13,0.008325436,0.0,88.925,1.4189401,40941,0.011394287,0.011394287,27.794405460357666,72.57564522457928,309
0.951400950551033,12,0.0068596965,0.0,92.025,1.4189401,41972,0.009880241,0.009880241,28.483282566070557,71.83392323070056,321
0.9756551869213581,11,0.007314558,0.0,87.775,1.4189401,42942,0.013347049,0.013347049,29.18264675140381,72.76770272194145,332
0.9810048155486584,13,0.0044441647,0.0,83.15,1.4189401,43974,0.013057319,0.013057319,29.87914204597473,73.55760772967236,345
0.9290939271450043,12,0.008109931,0.0,86.0,1.4189401,45016,0.011767011,0.011767011,30.576203107833862,72.98339560755092,357
0.9917010851204395,14,0.008771464,0.0,80.0,1.4189401,46066,0.011821577,0.011821577,31.27598285675049,73.50809283468755,371
0.9870468797162175,13,0.0073607503,0.0,79.325,1.4189401,47070,0.0109198885,0.0109198885,31.976829051971436,73.7846727390972,384
0.9895016374066472,13,0.0063682348,0.0,76.95,1.4189401,48094,0.01530593,0.01530593,32.65239238739014,73.68451250781868,397
0.989492230117321,13,0.008318416,0.0,77.875,1.4189401,49109,0.012770105,0.012770105,33.35345792770386,73.33637113801728,410
0.9945620018988848,14,0.009509113,0.0,77.1,1.4189401,50154,0.014742252,0.014742252,34.050103187561035,72.98352384449731,424
0.9924858375452459,13,0.00791592,0.0,76.95,1.4189401,51172,0.016191343,0.016191343,34.741435289382935,73.53993455289833,437
0.9888046057894826,13,0.008302921,0.0,77.325,1.4189401,52202,0.01630459,0.01630459,35.404261350631714,74.20865111010019,450
0.9952496448531747,13,0.0037273588,0.0,77.925,1.4189401,53189,0.009112282,0.009112282,36.08212471008301,74.81401519392668,463
0.9958119792863727,14,0.009543216,0.0,77.0,1.4189401,54252,0.015092329,0.015092329,36.77023434638977,75.26498324194844,477
0.9928374509327114,13,0.010853773,0.0,75.75,1.4189401,55232,0.015009375,0.015009375,37.46429133415222,75.75394992309307,490
0.8207537233829498,12,0.0031207595,0.0,76.775,1.4189401,56182,0.004227762,0.004227762,38.1568067073822,75.94642286453313,502
0.9644689001142979,12,0.007914849,0.0,80.55,1.4189401,57245,0.015972225,0.015972225,38.857847929000854,75.86904225439882,514
0.8433467894792557,10,0.007744585,0.0,88.525,1.4189401,58313,0.01868694,0.01868694,39.5611138343811,74.50446282108896,524
0.9514742568135262,14,0.0072955107,0.0,88.05,1.4189401,59390,0.009124444,0.009124444,40.257094383239746,75.29749215188211,538
0.99389280192554,13,0.008399479,0.0,84.5,1.4189401,60373,0.011530513,0.011530513,40.95079207420349,74.85446003662487,551
0.9858404928818345,14,0.008728175,0.0,76.375,1.4189401,61439,0.017440721,0.017440721,41.627275705337524,75.36450494995036,565
0.9943627803586423,13,0.0076633394,0.0,75.625,1.4189401,62415,0.009972986,0.009972986,42.341480016708374,75.02135646650993,578
0.9759845491498709,13,0.0058657825,0.0,76.125,1.4189401,63418,0.024471015,0.024471015,43.020275831222534,74.37783367024915,591
0.9951531360857189,14,0.007912078,0.0,75.925,1.4189401,64476,0.011986778,0.011986778,43.67829966545105,75.17498668210962,605
0.9837457407265902,13,0.0073903915,0.0,77.3,1.4189401,65507,0.014490144,0.014490144,44.3429479598999,74.22965159381492,618
0.9894117657095194,13,0.005927693,0.0,77.45,1.4189401,66516,0.006876277,0.006876277,45.02763605117798,74.65246307546643,631
0.9938124041073024,13,0.008810542,0.0,78.125,1.4189401,67526,0.015313789,0.015313789,45.69937610626221,74.01920191575883,644
0.9945005420595407,13,0.011739085,0.0,78.25,1.4189401,68550,0.007192032,0.007192032,46.39468741416931,75.39557124813219,657
0.8569125235080719,12,0.0072917547,0.0,80.575,1.4189401,69584,0.019763615,0.019763615,47.07376503944397,75.88907978569785,669
0.9821120742708445,13,0.008162628,0.0,80.675,1.4189401,70595,0.009476693,0.009476693,47.780311822891235,77.2646129877995,682
0.9879551297053695,13,0.0072371126,0.0,80.325,1.4189401,71601,0.011395905,0.011395905,48.4836585521698,76.2503008330103,695
0.9917820151895285,13,0.0087704575,0.0,78.075,1.4189401,72632,0.011453943,0.011453943,49.17273569107056,75.82632970367385,708
0.9922156049869955,13,0.008755801,0.0,78.375,1.4189401,73653,0.013563687,0.013563687,49.85022974014282,74.10374636816098,721
0.989469482563436,14,0.0076636462,0.0,78.525,1.4189401,74742,0.013312262,0.013312262,50.55195999145508,74.90229318619738,735
0.9956891206093132,13,0.009521066,0.0,77.975,1.4189401,75751,0.018183561,0.018183561,51.2427442073822,75.74483332574013,748
0.9933925135992467,13,0.009451952,0.0,77.325,1.4189401,76746,0.01618764,0.01618764,51.9307975769043,76.42778422498444,761
0.9952340633608401,14,0.005507269,0.0,76.475,1.4189401,77801,0.0067941877,0.0067941877,52.62982177734375,75.53380907479006,775
0.9253038689494133,12,0.0033830553,0.0,78.8,1.4189401,78831,0.015510568,0.015510568,53.302316427230835,75.07389621240084,787
0.9765428006649017,13,0.007485674,0.0,78.925,1.4189401,79828,0.013157278,0.013157278,54.00067162513733,75.4274478051243,800
0.9882746348157525,13,0.006549972,0.0,79.4,1.4189401,80822,0.012869069,0.012869069,54.663251876831055,75.33336459934837,813
0.9962334174197167,14,0.008819874,0.0,76.225,1.4189401,81880,0.016279574,0.016279574,55.33524250984192,75.5699326619992,827
0.9937282525934279,13,0.00879213,0.0,76.375,1.4189401,82883,0.012347113,0.012347113,56.01818037033081,75.17013674345057,840
0.9924051179550588,14,0.0067276475,0.0,76.6,1.4189401,83968,0.011205602,0.011205602,56.692293643951416,75.89337493041005,854
0.9943461492657661,13,0.00925114,0.0,76.925,1.4189401,84957,0.010354342,0.010354342,57.364102363586426,75.62912120525573,867
0.9924871814437211,13,0.008199633,0.0,77.525,1.4189401,85984,0.011607816,0.011607816,58.03201150894165,75.45947483803455,880
