EpisodesSoFar,surrgain,meankl,entropy,TimeElapsed,entloss,EpTrueRewMean,TimestepsSoFar,EpThisIter,EpLenMean,EpRewMean,ev_tdlam_before,optimgain
946,0.021938525,0.012662925,3.4023461,2954.8162879943848,0.0,-3387.8341386510656,946000,1,1000.0,124.53107,0.8369431495666504,0.021938525
947,0.043899324,0.009652933,3.388552,2958.304874897003,0.0,-3390.667242593333,947000,1,1000.0,123.81692,0.12087208032608032,0.043899324
948,0.043216098,0.0054313354,3.3789957,2961.762734413147,0.0,-3397.804828047783,948000,1,1000.0,124.16536,0.3275710344314575,0.043216098
949,0.07483875,0.008726982,3.372923,2965.220959186554,0.0,-3400.084068911132,949000,1,1000.0,120.84657,-0.2769620418548584,0.07483875
950,0.02293984,0.0040413477,3.384157,2968.686630964279,0.0,-3393.550024968818,950000,1,1000.0,121.308426,0.11846208572387695,0.02293984
951,0.07339534,0.004971034,3.3735726,2972.1353397369385,0.0,-3401.332699703757,951000,1,1000.0,119.9541,-0.027653217315673828,0.07339534
952,0.053819373,0.0050936937,3.3689952,2975.600347995758,0.0,-3403.9897439107417,952000,1,1000.0,116.35942,0.7871207445859909,0.053819373
953,0.039431572,0.010871402,3.3746574,2979.0544998645782,0.0,-3409.468137525687,953000,1,1000.0,112.46007,-0.13543856143951416,0.039431572
954,0.08187612,0.006932378,3.369254,2982.523161172867,0.0,-3400.619584672323,954000,1,1000.0,109.405846,0.3485453724861145,0.08187612
955,0.02774722,0.006627189,3.3639503,2985.956015586853,0.0,-3408.1227836777507,955000,1,1000.0,113.24471,0.16180342435836792,0.02774722
956,0.054292053,0.007268414,3.3452435,2989.4185106754303,0.0,-3410.174318477021,956000,1,1000.0,116.32467,0.7635607421398163,0.054292053
957,0.036411628,0.008173903,3.3389502,2992.8831176757812,0.0,-3403.794706827996,957000,1,1000.0,116.816,-0.04478621482849121,0.036411628
958,0.07093707,0.007776454,3.3191547,2996.364597082138,0.0,-3410.0389880122443,958000,1,1000.0,120.18404,0.7475930154323578,0.07093707
959,0.014930164,0.0077062487,3.3350744,2999.8043768405914,0.0,-3428.5918500126354,959000,1,1000.0,119.72661,0.8556651920080185,0.014930164
960,0.0412468,0.004939139,3.3220894,3003.2397117614746,0.0,-3420.262133043406,960000,1,1000.0,120.50352,0.625177264213562,0.0412468
961,0.0490132,0.0052161776,3.3191297,3006.676893234253,0.0,-3423.1977866286084,961000,1,1000.0,116.7865,-0.004373788833618164,0.0490132
962,0.053465515,0.008790556,3.2935095,3010.131514787674,0.0,-3427.6890329462767,962000,1,1000.0,113.20459,0.04770398139953613,0.053465515
963,0.07336343,0.005826591,3.2960837,3013.532522201538,0.0,-3448.958289308769,963000,1,1000.0,112.12932,0.15516233444213867,0.07336343
964,0.07394119,0.008693188,3.2948003,3016.9848210811615,0.0,-3437.1148435760942,964000,1,1000.0,112.081345,0.4984985589981079,0.07394119
965,0.09063021,0.004956571,3.2837222,3020.4336037635803,0.0,-3442.855027878749,965000,1,1000.0,110.21262,0.9328965470194817,0.09063021
966,0.079322234,0.005633066,3.2835474,3023.8708806037903,0.0,-3450.4532085244764,966000,1,1000.0,105.816025,0.8035683184862137,0.079322234
967,0.0146684125,0.004962626,3.276466,3027.3232967853546,0.0,-3452.64108612421,967000,1,1000.0,101.909134,0.12161171436309814,0.0146684125
968,0.093547896,0.009463657,3.2724018,3030.7570531368256,0.0,-3471.7606537003257,968000,1,1000.0,99.310814,-0.1006854772567749,0.093547896
969,0.14622769,0.014533497,3.2616198,3034.2072219848633,0.0,-3475.5152334422046,969000,1,1000.0,95.699844,0.6635332107543945,0.14622769
970,0.0338431,0.013017042,3.249916,3037.6375484466553,0.0,-3492.8977259617213,970000,1,1000.0,93.90269,0.03659367561340332,0.0338431
971,0.04224123,0.007151438,3.2758877,3041.1017417907715,0.0,-3513.075754420989,971000,1,1000.0,92.949165,0.49890029430389404,0.04224123
972,0.056611933,0.0051351115,3.2672727,3044.496762037277,0.0,-3509.032538862272,972000,1,1000.0,93.4185,0.114071786403656,0.056611933
973,0.046011895,0.007849356,3.2771213,3047.9187920093536,0.0,-3525.969710150011,973000,1,1000.0,93.932335,0.4696536660194397,0.046011895
974,0.09657504,0.010216118,3.2875342,3051.30841422081,0.0,-3509.3314591174376,974000,1,1000.0,93.55375,0.24761003255844116,0.09657504
975,0.065361634,0.004996963,3.288199,3054.7082703113556,0.0,-3520.8721061869664,975000,1,1000.0,94.18282,-0.12985050678253174,0.065361634
976,0.062052503,0.006307315,3.280966,3058.1183881759644,0.0,-3527.8535379750997,976000,1,1000.0,95.25007,0.1241297721862793,0.062052503
977,0.02193312,0.0066906936,3.2854,3061.56818151474,0.0,-3544.2088951206724,977000,1,1000.0,96.142395,-0.08268511295318604,0.02193312
978,0.04542924,0.0066573517,3.2937708,3065.0072753429413,0.0,-3563.9238900672826,978000,1,1000.0,96.54878,-0.045853257179260254,0.04542924
979,0.04976438,0.005314187,3.2896333,3068.4344823360443,0.0,-3576.5735326022464,979000,1,1000.0,97.67796,-0.29380738735198975,0.04976438
980,0.030574143,0.008878665,3.296256,3071.883884191513,0.0,-3595.8969075266295,980000,1,1000.0,98.56697,0.02053743600845337,0.030574143
981,0.015078992,0.004574501,3.2950835,3075.3452668190002,0.0,-3587.774741023108,981000,1,1000.0,97.976074,-0.08199870586395264,0.015078992
982,0.09121888,0.0073822853,3.2956872,3078.7620544433594,0.0,-3581.507504981261,982000,1,1000.0,98.27028,0.5633077323436737,0.09121888
983,0.08589741,0.005196211,3.2952292,3082.1986718177795,0.0,-3573.6088773743604,983000,1,1000.0,98.70768,0.3315432071685791,0.08589741
