entropy,EpRewMean,EpisodesSoFar,TimestepsSoFar,EpLenMean,entloss,optimgain,ev_tdlam_before,TimeElapsed,meankl,EpThisIter,surrgain
1.1093991,73.59005862888414,51,18338,251.5,0.0,0.009488163,0.6384634077548981,12.0809805393219,0.0057211155,5,0.009488163
1.1018388,76.1939799544901,57,19450,214.05,0.0,0.005943449,0.6694840490818024,12.75057315826416,0.008180648,6,0.005943449
1.0364782,77.86794080123775,62,20362,199.4,0.0,0.015279122,0.7588333487510681,13.41317343711853,0.009034199,5,0.015279122
1.0165845,78.4417520056646,67,21493,194.8,0.0,0.01760982,0.669476717710495,14.076922416687012,0.008159479,5,0.01760982
1.0039824,78.27570623165562,72,22508,196.35,0.0,0.009311396,0.6999567747116089,14.738634824752808,0.0066323243,5,0.009311396
0.98652494,78.90602348280143,78,23419,188.775,0.0,0.0102959,0.7582637518644333,15.402160406112671,0.006552242,6,0.0102959
0.96202695,78.88721406714157,85,24489,185.4,0.0,0.012515869,0.8006961345672607,16.063266038894653,0.008000701,7,0.012515869
0.948206,80.35622648500475,92,25452,173.525,0.0,0.008480482,0.7910243421792984,16.7138831615448,0.0067380844,7,0.008480482
0.8657839,79.65377287515518,99,26624,170.575,0.0,0.010867491,0.750927746295929,17.38914680480957,0.009483777,7,0.010867491
0.8997595,80.22545411930085,105,27572,161.425,0.0,0.008606269,0.8147645145654678,18.047205209732056,0.006076578,6,0.008606269
0.86597496,81.01861315885803,113,28658,149.725,0.0,0.014646592,0.8605305403470993,18.69360852241516,0.008814029,8,0.014646592
0.8888622,81.05368501570993,120,29598,148.55,0.0,0.009925653,0.8121294230222702,19.353894472122192,0.0076834382,7,0.009925653
0.81521827,80.87713787363573,128,30655,145.825,0.0,0.015558419,0.8759050369262695,20.005263090133667,0.008969231,8,0.015558419
0.85730565,81.43438327968309,136,31736,139.125,0.0,0.014850222,0.8540628552436829,20.670308589935303,0.0055878093,8,0.014850222
0.812632,82.15216491586557,144,32625,129.925,0.0,0.009008677,0.8601685762405396,21.32713770866394,0.0073184706,8,0.009008677
0.7763697,81.47361150489897,151,33710,135.45,0.0,0.01203425,0.9147069528698921,21.996093034744263,0.00824308,7,0.01203425
