surrgain,EpTrueRewMean,entropy,TimeElapsed,EpThisIter,ev_tdlam_before,EpRewMean,entloss,meankl,TimestepsSoFar,EpisodesSoFar,optimgain,EpLenMean
0.07963757,613.4261904241442,8.151844,246.60424518585205,2,0.6630348563194275,480.86572,0.0,0.0072479835,57199,262,0.07963757,765.3
0.045148708,620.2279698083534,8.147169,250.8491997718811,1,-0.0008046627044677734,477.63593,0.0,0.0073747276,58199,263,0.045148708,765.3
0.06036992,634.9788324578179,8.127385,255.10152101516724,1,-0.0935436487197876,482.0419,0.0,0.006919286,59199,264,0.06036992,778.525
0.07892218,660.832174516776,8.107677,259.31914353370667,2,0.9578435681760311,487.4201,0.0,0.006830491,60637,266,0.07892218,792.45
0.06592341,674.0735157618486,8.106075,263.5487267971039,1,-0.04264271259307861,490.0084,0.0,0.007275576,61637,267,0.06592341,801.85
0.079235025,699.5463157884906,8.107041,267.77806520462036,2,0.9623646326363087,481.13593,0.0,0.0063128704,63186,269,0.079235025,795.175
0.07309039,707.2302271888666,8.118836,272.02004742622375,1,-0.0849074125289917,476.84415,0.0,0.007310365,64186,270,0.07309039,795.175
0.11137265,713.7634312105254,8.114456,276.25795912742615,1,0.8365568369626999,477.99463,0.0,0.008040149,65049,271,0.11137265,801.85
0.07972829,718.2927303828172,8.115481,280.4886679649353,1,0.5970025062561035,473.83594,0.0,0.007955728,66049,272,0.07972829,801.85
0.056908853,737.0846419192941,8.117785,284.72430753707886,1,0.015941917896270752,478.5663,0.0,0.0074941055,67049,273,0.056908853,813.325
0.07572043,745.7395045454059,8.113267,288.95743465423584,1,-0.13765883445739746,482.36597,0.0,0.007927362,68049,274,0.07572043,825.8
0.08119469,755.7430145594723,8.109313,293.1920120716095,2,0.4870203137397766,470.14935,0.0,0.0065957215,69704,276,0.08119469,817.175
0.07450548,769.3430249503423,8.101914,297.42635846138,1,0.05156135559082031,474.53867,0.0,0.006643962,70704,277,0.07450548,830.175
0.0724289,787.4579860076072,8.092774,301.66900730133057,1,-0.1179283857345581,480.01825,0.0,0.008383314,71704,278,0.0724289,844.35
0.0721858,795.7609365524106,8.102528,305.905739068985,1,0.05430549383163452,476.4694,0.0,0.00654897,72704,279,0.0721858,844.35
0.082152,802.0805503532122,8.104904,310.1394884586334,2,0.6875200569629669,472.44458,0.0,0.008316293,74238,281,0.082152,849.3
0.061129257,806.3127015662437,8.121108,314.36561274528503,1,-0.07973968982696533,467.14633,0.0,0.007615849,75238,282,0.061129257,849.3
0.075066835,823.8249070224468,8.120174,318.5924253463745,1,-0.015165090560913086,463.81406,0.0,0.007095823,76238,283,0.075066835,849.3
0.06516071,833.2167213188546,8.120549,322.8218631744385,2,0.3631352186203003,463.7731,0.0,0.006851108,77686,285,0.06516071,860.35
0.08147246,842.0771397957411,8.114443,327.0574631690979,1,0.9401491172611713,459.53613,0.0,0.0073198243,78533,286,0.08147246,857.65
0.080980554,863.6151308697451,8.091171,331.28787755966187,1,0.7892779856920242,466.76776,0.0,0.006958827,79533,287,0.080980554,875.9
0.08471732,866.3900574735923,8.104371,335.53736686706543,2,0.2317495346069336,456.28143,0.0,0.008669509,80717,289,0.08471732,866.05
0.07411376,884.8799214146435,8.095885,339.7818057537079,1,0.4084981083869934,459.42694,0.0,0.008018559,81717,290,0.07411376,878.75
0.10077219,878.7165574020737,8.090347,344.0271632671356,2,0.8856646344065666,441.59464,0.0,0.007481753,82723,292,0.10077219,853.9
0.0975449,880.5325331496582,8.072695,348.2540919780731,2,0.8863600045442581,433.45303,0.0,0.008061908,84088,294,0.0975449,845.0
0.078331016,893.0143784565644,8.077835,352.4907212257385,1,0.17546480894088745,437.11768,0.0,0.0067501403,85088,295,0.078331016,858.575
0.063230485,902.351058696145,8.072566,356.72305941581726,1,-0.036745548248291016,434.28247,0.0,0.008176928,86088,296,0.063230485,858.575
0.07299598,904.4152982895048,8.070117,360.97730350494385,1,-0.03419458866119385,430.5075,0.0,0.006788195,87088,297,0.07299598,858.575
0.06979491,886.2952124553995,8.111828,365.22791743278503,1,0.9308145940303802,420.7416,0.0,0.0073169796,87539,298,0.06979491,844.85
0.09713063,861.7536680817284,8.104793,369.464382648468,2,0.7807792872190475,401.43613,0.0,0.0071078353,88243,300,0.09713063,812.45
0.07683538,852.9315423436194,8.10509,373.7050611972809,2,0.41941696405410767,395.46222,0.0,0.0076390156,89569,302,0.07683538,809.25
0.06847644,851.5002571411954,8.106874,377.9363512992859,1,-0.13560950756072998,391.93143,0.0,0.006960159,90569,303,0.06847644,809.25
0.07805343,842.8242137651381,8.104019,382.1686923503876,1,0.8607756942510605,386.3196,0.0,0.0073355497,91247,304,0.07805343,801.2
0.06346123,837.0438075053773,8.118286,386.3984968662262,1,0.053627610206604004,386.1984,0.0,0.009726284,92247,305,0.06346123,808.425
0.06713338,837.2612070570818,8.110913,390.65344738960266,1,-0.12982559204101562,386.26096,0.0,0.008481172,93247,306,0.06713338,815.25
0.0901581,844.5300636278441,8.106136,394.8841519355774,1,-0.17869222164154053,384.67816,0.0,0.0077552283,94247,307,0.0901581,815.25
0.06021847,839.3976951164572,8.090272,399.1395606994629,1,0.10957032442092896,380.28558,0.0,0.0080811605,95247,308,0.06021847,815.25
0.096636266,850.5439719347753,8.101364,403.38469195365906,1,0.80007503926754,381.74658,0.0,0.0077074887,96091,309,0.096636266,822.625
0.0774064,835.6207495320829,8.081905,407.627564907074,2,0.6942476332187653,372.6095,0.0,0.008290825,97638,311,0.0774064,814.725
0.07712237,820.9980005898669,8.066039,411.87649178504944,1,0.8904678374528885,367.9767,0.0,0.007560896,98560,312,0.07712237,812.775
0.07233092,818.7757259484983,8.056823,416.12916445732117,1,-0.010736703872680664,364.2442,0.0,0.008052704,99560,313,0.07233092,812.775
0.07188509,821.6240728173514,8.072644,420.3842601776123,1,-0.03997230529785156,361.56088,0.0,0.007743751,100560,314,0.07188509,812.775
0.10139905,821.0083766108062,8.079272,424.95619916915894,1,0.9236437752842903,356.73312,0.0,0.0074304705,101242,315,0.10139905,804.825
0.087191954,826.6064817103252,8.081969,429.18526101112366,1,0.9229555428028107,354.73807,0.0,0.009235466,101936,316,0.087191954,805.8
0.06576725,821.6018907010457,8.072143,433.418123960495,1,-0.011726021766662598,351.14374,0.0,0.007931057,102936,317,0.06576725,805.8
0.077258416,826.1143912479154,8.064999,437.64743876457214,1,0.11311167478561401,350.19193,0.0,0.0075354446,103936,318,0.077258416,805.8
0.0713532,827.2100483422466,8.06702,441.87922739982605,1,-0.033646345138549805,348.4928,0.0,0.00761146,104936,319,0.0713532,805.8
0.07646911,822.9886285791574,8.071532,446.1125190258026,1,-0.022184014320373535,345.86523,0.0,0.0066989115,105936,320,0.07646911,805.8
0.07452628,816.6736403111066,8.071596,450.35519433021545,1,-0.06966137886047363,347.98218,0.0,0.006697783,106936,321,0.07452628,817.45
0.09356058,809.5398984005988,8.0734825,454.5844669342041,1,0.8773912414908409,340.73672,0.0,0.0075392695,107356,322,0.09356058,802.95
0.06897605,788.2737929174131,8.083484,458.82494926452637,1,0.14759916067123413,337.4726,0.0,0.0073059797,108356,323,0.06897605,802.95
0.06912386,785.4777144457846,8.096677,463.0734257698059,1,0.02180582284927368,336.41827,0.0,0.008337226,109356,324,0.06912386,802.95
0.06878044,789.9269609230801,8.083911,467.3257956504822,1,0.18149685859680176,339.55133,0.0,0.0073217656,110356,325,0.06878044,816.75
0.08248201,740.4246234309446,8.069409,471.57756304740906,2,0.8605380356311798,324.5434,0.0,0.007482029,111172,327,0.08248201,790.975
0.09086496,758.0112494566117,8.091491,475.81654500961304,1,-0.006855368614196777,331.23044,0.0,0.008044822,112172,328,0.09086496,811.375
0.08183502,749.8703611957887,8.09345,480.04936242103577,1,-0.010291218757629395,329.7541,0.0,0.00822868,113172,329,0.08183502,811.375
0.074168324,741.307149756573,8.08403,484.30665469169617,1,0.8375407159328461,326.82953,0.0,0.008091306,114082,330,0.074168324,809.125
0.08856088,745.2443038806629,8.09607,488.54624104499817,1,0.047798991203308105,329.3802,0.0,0.007309165,115082,331,0.08856088,819.7
0.07268798,766.311754411985,8.102099,492.7862346172333,1,0.02797335386276245,335.24335,0.0,0.007459095,116082,332,0.07268798,833.975
0.088640824,757.9119383038467,8.085697,497.01997900009155,1,0.6714542210102081,329.45306,0.0,0.007586727,116665,333,0.088640824,823.975
0.0655157,781.0527259444764,8.085819,501.26646065711975,1,-0.005300045013427734,334.27252,0.0,0.0082324855,117665,334,0.0655157,839.425
0.070933595,775.8627827754191,8.070864,505.5115873813629,1,0.5244285464286804,331.64825,0.0,0.008087443,118665,335,0.070933595,839.425
0.07227906,767.9554994994155,8.067565,509.77119183540344,1,0.4099448323249817,329.51767,0.0,0.0074960394,119665,336,0.07227906,839.425
0.078618705,768.4076169321952,8.061643,514.0282280445099,1,-0.028569459915161133,327.98715,0.0,0.0075537497,120665,337,0.078618705,839.425
0.089892596,778.5288022694746,8.041675,518.2612588405609,1,0.9229378327727318,329.8387,0.0,0.0069978624,121346,338,0.089892596,845.175
0.10351458,798.9533720302113,8.043395,522.5160720348358,1,0.8178737014532089,336.0276,0.0,0.00868581,122283,339,0.10351458,864.2
0.070444375,805.8231140329693,8.056698,526.7676575183868,1,-0.02397596836090088,339.06415,0.0,0.007126117,123283,340,0.070444375,876.0
0.0974251,806.1169362481168,8.046036,530.9905791282654,1,0.8785058557987213,336.22656,0.0,0.007917779,124072,341,0.0974251,870.725
0.07121787,823.1145973690025,8.042843,535.2500951290131,1,-0.02231419086456299,341.0124,0.0,0.008421872,125072,342,0.07121787,887.575
0.08857423,823.6250040850416,8.025439,539.4909505844116,2,0.645717054605484,336.2884,0.0,0.007484113,126479,344,0.08857423,880.8
0.08467814,835.0615636810289,8.030089,543.7164840698242,1,0.062017083168029785,335.8814,0.0,0.008102394,127479,345,0.08467814,880.8
0.07448176,842.4534003864148,8.030811,547.9710283279419,1,-0.12878751754760742,335.47733,0.0,0.007652451,128479,346,0.07448176,880.8
0.092079476,819.8031982580587,8.014034,552.1942362785339,1,0.8804259896278381,331.18863,0.0,0.00846793,129355,347,0.092079476,877.7
0.07316336,812.9741761337133,8.016526,556.4333648681641,1,0.10933780670166016,331.01004,0.0,0.007912882,130355,348,0.07316336,877.7
0.09007993,810.0904193798539,7.9886513,560.6712760925293,1,-0.040404558181762695,331.62054,0.0,0.007922126,131355,349,0.09007993,881.6
0.08160478,818.300800841443,7.999161,564.8874123096466,1,-0.12154567241668701,331.933,0.0,0.008190475,132355,350,0.08160478,881.6
0.06556447,845.6825755937855,8.002613,569.1185052394867,1,0.10001826286315918,336.46573,0.0,0.009345881,133355,351,0.06556447,892.925
0.08429934,852.918330700753,8.024113,573.3507888317108,2,0.04400557279586792,331.3349,0.0,0.008959524,134668,353,0.08429934,877.7
0.09791389,862.1193050244256,8.027035,577.5530369281769,1,-0.06001162528991699,331.06332,0.0,0.010593388,135668,354,0.09791389,877.7
0.08779156,870.3423787973891,8.0226555,581.7805697917938,1,-0.07809042930603027,333.2675,0.0,0.008767583,136668,355,0.08779156,885.65
0.09411821,889.5556125468744,8.034484,586.0168392658234,1,-0.370489239692688,336.6294,0.0,0.00801098,137668,356,0.09411821,893.3
0.07904911,899.3491084702531,8.029006,590.2392888069153,1,0.023477494716644287,337.01752,0.0,0.008375684,138668,357,0.07904911,893.3
0.10952056,907.2137266317898,8.034927,594.4612104892731,1,-0.2288651466369629,335.25446,0.0,0.0081007,139668,358,0.10952056,893.3
0.10334104,895.2818645063711,8.040516,598.6917507648468,1,0.6577755808830261,329.36942,0.0,0.008886013,140256,359,0.10334104,883.0
0.12105083,914.8239958655746,8.032851,602.9103186130524,2,0.8613952398300171,321.88876,0.0,0.009470299,141442,361,0.12105083,862.65
0.08962576,928.5655743371823,8.032029,607.1382236480713,1,0.21198618412017822,326.8324,0.0,0.008948375,142411,362,0.08962576,876.375
0.11346482,947.5996405497947,8.014832,611.3499875068665,2,0.8043765127658844,321.4367,0.0,0.009923282,143926,364,0.11346482,864.25
0.13280118,958.9259101570035,8.014172,615.5583066940308,1,0.5536329448223114,319.78925,0.0,0.008621818,144637,365,0.13280118,857.025
0.11763196,998.0126464910293,8.01117,619.7824995517731,2,0.9373084604740143,324.78116,0.0,0.008775822,145992,367,0.11763196,870.5
0.10196431,994.1792948315593,8.001816,624.0040729045868,2,0.660859227180481,317.39874,0.0,0.009928504,147402,369,0.10196431,855.75
0.11504074,985.3424482450206,7.9876213,628.2116801738739,2,0.8953517153859138,307.2753,0.0,0.008856012,148083,371,0.11504074,825.025
0.12517194,980.6625169468214,7.9887686,632.4202709197998,1,0.8675147145986557,304.61768,0.0,0.008756644,148985,372,0.12517194,822.575
0.10296999,973.1046346268555,7.9918966,636.6360075473785,3,0.9110980927944183,293.38544,0.0,0.009552792,150253,375,0.10296999,789.7
0.09789138,978.5006337920098,7.993848,640.845098733902,1,-0.10921156406402588,292.59973,0.0,0.008751149,151253,376,0.09789138,789.7
0.09105548,977.5667640548102,7.9837656,645.0479035377502,1,0.2101670503616333,291.0625,0.0,0.008909492,152253,377,0.09105548,789.7
0.08288619,990.4934153207721,7.9784517,649.2671205997467,1,0.1666601300239563,292.93402,0.0,0.00873091,153253,378,0.08288619,797.675
0.086510435,992.5666498705137,7.9793844,653.4895358085632,1,0.08662712574005127,292.22446,0.0,0.009598858,154253,379,0.086510435,799.25
0.08497646,990.8182353593105,7.9798594,657.7145795822144,2,0.5841978490352631,285.72247,0.0,0.010876292,155532,381,0.08497646,786.5
0.085263185,1007.8742095972436,7.971375,661.9263598918915,1,0.07073241472244263,285.49945,0.0,0.009253772,156532,382,0.085263185,786.5
0.13345715,1004.517516680151,7.9667964,666.1306803226471,1,0.6423472166061401,281.1201,0.0,0.009934063,157066,383,0.13345715,774.85
0.095385104,1015.7785683345315,7.969845,670.3324289321899,2,0.6258923709392548,278.3474,0.0,0.0094109755,158524,385,0.095385104,776.125
0.08906131,1025.6522775915978,7.952637,674.5343174934387,1,0.07203972339630127,276.75653,0.0,0.008142808,159524,386,0.08906131,776.125
0.087820515,1047.1500578300202,7.94501,678.7397878170013,1,0.1595820188522339,277.09967,0.0,0.010357544,160524,387,0.087820515,779.225
0.08978256,1064.8652144312691,7.948352,682.9463007450104,1,-0.2379159927368164,276.78552,0.0,0.008983065,161524,388,0.08978256,779.225
0.123200715,1051.4271117361923,7.9459267,687.1452713012695,1,0.7126452624797821,270.8195,0.0,0.008491486,162071,389,0.123200715,767.9
0.09072918,1059.9344798052305,7.9673004,691.3395283222198,1,-0.034189701080322266,268.2294,0.0,0.009415237,163071,390,0.09072918,767.9
0.1106908,1040.1249680874037,7.963974,695.5447905063629,2,0.5053859949111938,259.65024,0.0,0.009732678,164304,392,0.1106908,748.725
0.10957768,1069.983929583666,7.957935,699.7514610290527,1,0.8672153353691101,263.9162,0.0,0.009646477,165281,393,0.10957768,765.325
0.10488796,1041.1960236661478,7.957691,703.9528939723969,2,0.4922855496406555,254.38899,0.0,0.008894393,166561,395,0.10488796,747.325
0.08799066,1023.3239684791472,7.94244,708.161289691925,1,0.4803181290626526,251.47246,0.0,0.009279445,167561,396,0.08799066,747.325
0.0781844,1017.5347026179974,7.9577646,712.3703413009644,1,0.08192086219787598,249.22075,0.0,0.00891943,168561,397,0.0781844,747.325
0.08305353,1021.4995055040348,7.967724,716.5768637657166,1,0.011306583881378174,247.95984,0.0,0.008637221,169561,398,0.08305353,747.325
0.08799523,1039.6204647120358,7.973695,720.7734696865082,1,0.14184468984603882,250.10632,0.0,0.009161318,170561,399,0.08799523,757.625
0.092447385,1044.4727422376563,7.97694,724.9844534397125,1,0.49298495054244995,251.35815,0.0,0.010047224,171561,400,0.092447385,767.55
0.10786339,1056.9081218803735,7.9678946,729.1823244094849,1,0.8585730791091919,254.48892,0.0,0.009630459,172561,401,0.10786339,777.975
0.08761457,1063.081620352721,7.9690514,733.3839716911316,1,0.014073491096496582,253.37387,0.0,0.010164698,173561,402,0.08761457,778.75
0.1026506,1047.1073897651213,7.9520416,737.581178188324,2,0.8898538127541542,247.41739,0.0,0.009888029,174701,404,0.1026506,769.375
0.09030339,1027.79577818375,7.9671516,741.7771723270416,2,0.6384548842906952,242.91231,0.0,0.009695744,175992,406,0.09030339,765.35
0.14903256,1039.678360806247,7.967911,745.9791359901428,1,0.8749553859233856,242.9833,0.0,0.010255916,176692,407,0.14903256,767.5
0.12315472,1029.8295875483243,7.9870567,750.1788642406464,1,0.7891027331352234,238.01411,0.0,0.010358683,177038,408,0.12315472,755.1
0.1021313,1056.3306825657844,7.991088,754.3762016296387,2,0.8174905031919479,240.19003,0.0,0.0095189195,178464,410,0.1021313,767.05
0.09278855,1071.222342204977,7.998599,758.574428319931,1,-0.1515258550643921,244.21823,0.0,0.0093898615,179464,411,0.09278855,784.525
0.11850798,1068.7879364896512,8.000611,762.7844245433807,1,0.8948246389627457,239.91101,0.0,0.009043202,179891,412,0.11850798,772.65
0.11627425,1076.649597868078,7.996291,766.988263130188,1,0.9106922224164009,241.37764,0.0,0.008304723,180563,413,0.11627425,780.95
0.14768195,1091.9452447173674,7.994399,771.1844866275787,1,0.6619753539562225,242.73572,0.0,0.00952078,181436,414,0.14768195,791.5
0.14499515,1116.1607885540702,7.9978633,775.3817455768585,2,0.8617128729820251,241.11328,0.0,0.009981047,182937,416,0.14499515,792.1
0.117878474,1119.2545076398985,7.98872,779.5870707035065,2,0.862034261226654,234.87871,0.0,0.011103464,184271,418,0.117878474,775.45
0.11076477,1131.0054203044353,7.9883995,783.7930562496185,1,0.31956589221954346,233.89835,0.0,0.009104867,185271,419,0.11076477,775.45
0.09899884,1135.7986247789847,8.008435,788.0003125667572,1,-0.05544865131378174,233.24617,0.0,0.010919445,186271,420,0.09899884,775.45
0.0985803,1166.9551647249461,7.985276,792.2035360336304,1,-0.08956992626190186,237.35568,0.0,0.009830413,187271,421,0.0985803,793.475
0.08158387,1163.0481003511811,8.018678,796.3952622413635,1,0.01174396276473999,235.57039,0.0,0.008393281,188271,422,0.08158387,793.475
0.08859158,1176.6242167052164,8.029662,800.5939948558807,1,-0.09414160251617432,238.61069,0.0,0.008963996,189271,423,0.08859158,805.125
0.078873895,1171.7753530201728,8.056381,804.7943587303162,1,0.01651597023010254,238.02283,0.0,0.009618485,190271,424,0.078873895,805.125
0.112179786,1169.6606949889258,8.064195,808.9930281639099,1,0.731246143579483,237.13765,0.0,0.009213446,190764,425,0.112179786,806.0
