surrgain,EpRewMean,meankl,EpisodesSoFar,EpTrueRewMean,TimeElapsed,TimestepsSoFar,entloss,EpThisIter,EpLenMean,ev_tdlam_before,entropy,optimgain
0.394396,0.7298347,0.005447394,17336,414.1563243787312,31482.49293112755,1367747,0.0,12,81.9,-0.042676568031311035,23.576048,0.394396
0.32098272,0.5635442,0.005227234,17348,403.54154432124204,31506.012857198715,1368694,0.0,12,80.05,0.16644906997680664,23.576658,0.32098272
0.18730284,0.548633,0.005097338,17360,408.9173828820914,31529.255402088165,1369704,0.0,12,81.45,-0.05254042148590088,23.578127,0.18730284
0.16953017,0.48544064,0.0052172123,17373,408.5866881841736,31552.78244614601,1370731,0.0,13,81.3,-0.17436957359313965,23.580112,0.16953017
0.21524379,0.2912302,0.004842666,17385,419.69706382594376,31576.078813314438,1371742,0.0,12,82.55,-0.047330617904663086,23.57816,0.21524379
0.20297366,0.2816155,0.005320928,17399,407.56323371454914,31599.715137004852,1372823,0.0,14,79.775,-0.06133747100830078,23.5767,0.20297366
0.2983833,0.29516658,0.005618762,17411,407.7952619070809,31622.780569076538,1373787,0.0,12,80.4,0.0010114312171936035,23.573763,0.2983833
0.17444491,0.271912,0.0049991277,17424,392.63042722378094,31646.040239095688,1374784,0.0,13,77.8,-0.10364198684692383,23.573244,0.17444491
0.23010005,0.27174258,0.0053209425,17437,403.4709554727792,31669.33443927765,1375848,0.0,13,79.775,-0.05041170120239258,23.57422,0.23010005
0.20870003,0.25559193,0.005610205,17449,412.7069010435566,31692.6260201931,1376862,0.0,12,80.6,-0.3334779739379883,23.573763,0.20870003
0.13513824,0.26347214,0.007676237,17461,424.7774423679181,31715.62367105484,1377889,0.0,12,83.1,-1.1897521018981934,23.573282,0.13513824
0.21890369,0.29690892,0.0051788054,17472,434.0327875222911,31739.06576013565,1378853,0.0,11,84.875,0.011630237102508545,23.571934,0.21890369
0.541102,0.34327245,0.005828513,17484,442.3093557281351,31762.583899259567,1379917,0.0,12,86.55,0.03821587562561035,23.572592,0.541102
0.167777,0.36137727,0.005701933,17497,431.6071740489748,31786.170876264572,1380919,0.0,13,85.125,-0.03154754638671875,23.572226,0.167777
0.16296616,0.37519348,0.0054339673,17508,433.5536996444316,31809.564974069595,1381908,0.0,11,85.525,-0.9347997903823853,23.571651,0.16296616
