EpisodesSoFar,entloss,entropy,EpRewMean,EpLenMean,optimgain,meankl,TimeElapsed,surrgain,ev_tdlam_before,EpThisIter,TimestepsSoFar
391,0.0,1.4189401,74.25776627690858,82.25,0.011544781,0.008373449,35.03036427497864,0.011544781,0.9762364253401756,13,52188
404,0.0,1.4189401,75.30461508551755,79.925,0.008426004,0.010922795,35.738876819610596,0.008426004,0.9927245494909585,13,53200
417,0.0,1.4189401,75.60964846124293,78.125,0.013277654,0.008466399,36.427011013031006,0.013277654,0.9891348090022802,13,54233
430,0.0,1.4189401,75.95377910137017,78.725,0.009681338,0.0076667424,37.127095222473145,0.009681338,0.9908924736082554,13,55263
440,0.0,1.4189401,75.58949888848068,82.275,0.022270363,0.008126643,37.827712297439575,0.022270363,0.678605705499649,10,56169
452,0.0,1.4189401,75.43185877231616,85.525,0.009188376,0.0048478916,38.506736040115356,0.009188376,0.9232807531952858,12,57272
466,0.0,1.4189401,75.18356862917787,85.45,0.014891784,0.009093967,39.186875343322754,0.014891784,0.9878148837015033,14,58364
479,0.0,1.4189401,75.8786647241348,81.725,0.011556553,0.008730898,39.878347635269165,0.011556553,0.9904558015987277,13,59362
492,0.0,1.4189401,76.29916709719538,77.325,0.0116383135,0.008943763,40.564353466033936,0.0116383135,0.9924214244820178,13,60365
506,0.0,1.4189401,76.19875735869098,76.45,0.015703935,0.008146094,41.25648045539856,0.015703935,0.9938645861111581,14,61422
519,0.0,1.4189401,76.53797880928342,76.975,0.008689986,0.0075415582,41.979422092437744,0.008689986,0.9945367849431932,13,62441
531,0.0,1.4189401,75.5425639629627,78.975,0.007841028,0.0066615324,42.6776807308197,0.007841028,0.9438192062079906,12,63447
543,0.0,1.4189401,75.26328198121537,81.925,0.013804149,0.007242642,43.36574697494507,0.013804149,0.9511327855288982,12,64473
556,0.0,1.4189401,75.76302421434366,83.025,0.010586876,0.006939682,44.0759437084198,0.010586876,0.9604660794138908,13,65535
569,0.0,1.4189401,76.30689130202491,81.4,0.0012732716,0.014870661,44.758824825286865,0.0012732716,0.958577923476696,13,66551
582,0.0,1.4189401,76.701500513936,78.9,0.010352731,0.0081586335,45.45472979545593,0.010352731,0.9894197368994355,13,67546
594,0.0,1.4189401,75.40753961168909,79.7,0.013453124,0.005674188,46.17101430892944,0.013453124,0.9023044928908348,12,68567
607,0.0,1.4189401,75.02924420007295,79.4,0.008390549,0.010716908,46.86164832115173,0.008390549,0.9824304133653641,13,69572
618,0.0,1.4189401,73.6571408943923,83.55,0.013964653,0.0070906053,47.54372215270996,0.013964653,0.8607787936925888,11,70588
629,0.0,1.4189401,73.1368307525327,85.65,0.011512366,0.007132725,48.219491720199585,0.011512366,0.9110407754778862,11,71611
641,0.0,1.4189401,72.56277184863708,88.5,0.02402705,0.010060186,48.89749836921692,0.02402705,0.8476736843585968,12,72648
654,0.0,1.4189401,72.7409947034503,89.95,0.009647315,0.0069837896,49.58720326423645,0.009647315,0.9529113583266735,13,73706
666,0.0,1.4189401,73.55973135399235,82.975,0.009055843,0.00616723,50.27085614204407,0.009055843,0.9250669479370117,12,74701
680,0.0,1.4189401,74.19596026716171,79.475,0.012824193,0.005917852,50.97011041641235,0.012824193,0.9699260499328375,14,75751
693,0.0,1.4189401,74.34264556401988,77.475,0.014678886,0.007229842,51.66028356552124,0.014678886,0.9845463428646326,13,76733
707,0.0,1.4189401,74.80528042464141,75.05,0.015891142,0.0090737585,52.31618404388428,0.015891142,0.9919038163498044,14,77779
721,0.0,1.4189401,75.01884746273055,75.425,0.009088223,0.008978519,53.0061674118042,0.009088223,0.9945386829786003,14,78846
732,0.0,1.4189401,74.73357556050007,78.175,0.018280525,0.0075801825,53.70108151435852,0.018280525,0.9663189314305782,11,79785
746,0.0,1.4189401,75.4474615765336,79.525,0.0132463565,0.007089842,54.3628306388855,0.0132463565,0.9892496429383755,14,80885
759,0.0,1.4189401,74.96793263427591,79.575,0.017093372,0.010041815,55.05994772911072,0.017093372,0.9912208123132586,13,81870
772,0.0,1.4189401,75.49995605184218,76.95,0.014550398,0.0069755856,55.749306440353394,0.014550398,0.9869916439056396,13,82863
785,0.0,1.4189401,74.99875177040244,78.675,0.025346452,0.007602295,56.45509076118469,0.025346452,0.9940611505880952,13,83955
798,0.0,1.4189401,74.6458705488658,79.05,0.01062683,0.0090368,57.121413230895996,0.01062683,0.9904707260429859,13,84960
811,0.0,1.4189401,74.63268727689174,78.95,0.014984008,0.008107118,57.82426571846008,0.014984008,0.9940616623498499,13,85946
825,0.0,1.4189401,74.70646974458516,77.025,0.01108606,0.0057095997,58.51154136657715,0.01108606,0.9899755418300629,14,87036
838,0.0,1.4189401,75.08126081419826,76.875,0.011325885,0.007866589,59.19240045547485,0.011325885,0.98957877792418,13,88035
851,0.0,1.4189401,74.9928849325764,77.075,0.01620894,0.006628503,59.87388324737549,0.01620894,0.9947499055415392,13,89029
865,0.0,1.4189401,74.53409211036842,76.8,0.014686779,0.010717351,60.55223560333252,0.014686779,0.9912394676357508,14,90108
878,0.0,1.4189401,75.11578779168434,76.0,0.019240659,0.008627417,61.23525047302246,0.019240659,0.9962375252507627,13,91075
892,0.0,1.4189401,75.78915577259639,75.675,0.014369184,0.0060203644,61.925727128982544,0.014369184,0.9956082031130791,14,92135
905,0.0,1.4189401,76.46552069044924,75.625,0.013265838,0.008728363,62.613598108291626,0.013265838,0.9955735118128359,13,93133
919,0.0,1.4189401,77.14700593234811,76.125,0.013817019,0.009881297,63.30475115776062,0.013817019,0.9947358905337751,14,94203
932,0.0,1.4189401,76.62094728899561,77.225,0.013723616,0.009610488,64.00610756874084,0.013723616,0.9921584716066718,13,95224
945,0.0,1.4189401,76.17888430640251,77.4,0.012657155,0.008516753,64.70688343048096,0.012657155,0.9909133398905396,13,96229
957,0.0,1.4189401,74.20760145711662,79.0,0.011950408,0.008166989,65.3910186290741,0.011950408,0.9891705755144358,12,97214
970,0.0,1.4189401,73.65669197027901,80.05,0.02724921,0.008264663,66.07024550437927,0.02724921,0.9828703366219997,13,98269
983,0.0,1.4189401,74.19698043081982,79.8,0.0055323457,0.0064792153,66.76194906234741,0.0055323457,0.9821814224123955,13,99268
996,0.0,1.4189401,74.61008343429675,78.675,0.008079566,0.0073025227,67.45343852043152,0.008079566,0.9901203531771898,13,100285
