EpThisIter,entropy,optimgain,EpisodesSoFar,meankl,ev_tdlam_before,EpRewMean,EpLenMean,surrgain,TimeElapsed,TimestepsSoFar,entloss
7,0.84220934,0.01404045,202,0.009798864,0.9398406594991684,83.77392814081261,153.675,0.01404045,28.27050518989563,43923,0.0
8,0.8315889,0.014579895,210,0.0095093995,0.8741431087255478,84.67946539752343,145.625,0.014579895,28.927467107772827,44989,0.0
7,0.8257469,0.014510019,217,0.007161689,0.9584608264267445,84.86570767174506,143.1,0.014510019,29.57867741584778,45981,0.0
7,0.8084774,0.015126836,224,0.00792447,0.9721699543297291,85.28554857582671,141.85,0.015126836,30.216435432434082,47062,0.0
7,0.7794094,0.015098836,231,0.009510001,0.9569835923612118,85.10416455991678,140.85,0.015098836,30.85834574699402,48098,0.0
8,0.78768694,0.0126917325,239,0.005197596,0.8711341470479965,85.18285020254855,139.575,0.0126917325,31.525246143341064,49141,0.0
7,0.74176735,0.013827482,246,0.009120491,0.8462879061698914,84.8780196428214,139.675,0.013827482,32.17587089538574,50067,0.0
8,0.71359754,0.009774046,254,0.007256501,0.9694819170981646,84.5273854316353,139.275,0.009774046,32.83770823478699,51109,0.0
9,0.7623039,0.011470653,263,0.006317164,0.9641795419156551,85.13551274603097,132.35,0.011470653,33.49771499633789,52152,0.0
9,0.74088305,0.00707573,272,0.0052061146,0.923766702413559,85.75615703729999,123.3,0.00707573,34.15849733352661,53189,0.0
8,0.7061692,0.018877394,280,0.00881188,0.9342281818389893,85.14655864294697,122.625,0.018877394,34.805264472961426,54210,0.0
8,0.66453004,0.011613454,288,0.00729448,0.9574520960450172,85.13618509177812,122.225,0.011613454,35.45891237258911,55249,0.0
10,0.6835197,0.015123488,298,0.008687112,0.8970716968178749,85.2087234607774,117.125,0.015123488,36.116098165512085,56248,0.0
10,0.66504896,0.018096281,308,0.008492099,0.9352989718317986,85.07813050243897,114.5,0.018096281,36.76647400856018,57319,0.0
11,0.63685906,0.013447906,319,0.00827199,0.9545659981667995,86.018479220724,105.675,0.013447906,37.43007946014404,58301,0.0
11,0.6052123,0.012915388,330,0.009263037,0.8422903567552567,86.71456818354466,99.075,0.012915388,38.10371518135071,59368,0.0
11,0.58755994,0.009314204,341,0.006657523,0.952186357229948,86.78638721367663,95.775,0.009314204,38.75495886802673,60382,0.0
11,0.6076384,0.01661452,352,0.007309231,0.9198529422283173,87.39484280946085,91.35,0.01661452,39.407718896865845,61412,0.0
13,0.59516066,0.0146600325,365,0.0053119594,0.9277371689677238,87.52112764873786,89.975,0.0146600325,40.05821967124939,62459,0.0
13,0.6024554,0.011092095,378,0.008232174,0.9830766897648573,87.944867902552,84.775,0.011092095,40.71920561790466,63468,0.0
13,0.5738705,0.013663744,391,0.008864168,0.9886979945003986,88.80118391899249,78.625,0.013663744,41.378326654434204,64480,0.0
13,0.5531115,0.01326512,404,0.008630607,0.9913570415228605,89.02420646750247,78.05,0.01326512,42.039411544799805,65507,0.0
13,0.5403299,0.022162378,417,0.009615038,0.9905536035075784,89.35060849303355,78.175,0.022162378,42.701772689819336,66519,0.0
13,0.47659323,0.018530415,430,0.010719484,0.9936295496299863,89.43490303364999,78.225,0.018530415,43.37726545333862,67521,0.0
14,0.4288065,0.020407494,444,0.010555392,0.9952909862622619,89.69068567390198,76.975,0.020407494,44.03300452232361,68586,0.0
13,0.3900721,0.01293101,457,0.009225262,0.995987496804446,89.90662453979058,76.1,0.01293101,44.68684124946594,69563,0.0
14,0.34882084,0.015775058,471,0.008239534,0.9964736115653068,90.42448976030701,75.025,0.015775058,45.36309552192688,70596,0.0
14,0.28915417,0.018650578,485,0.009548226,0.9966967301443219,90.9269314345665,74.275,0.018650578,46.02297019958496,71635,0.0
14,0.2351607,0.025818516,499,0.009905111,0.9967831729445606,91.11093236031805,74.175,0.025818516,46.67755937576294,72676,0.0
14,0.20993805,0.02287285,513,0.010650959,0.996889848029241,91.28272893920492,74.125,0.02287285,47.3398540019989,73707,0.0
14,0.1715507,0.024759121,527,0.010025058,0.9969915035180748,91.25786461156629,73.85,0.024759121,47.99634671211243,74740,0.0
14,0.15648459,0.017065162,541,0.009775001,0.9976965421810746,91.62478944777928,73.375,0.017065162,48.65799379348755,75754,0.0
14,0.1344834,0.023021664,555,0.008703947,0.9969767932780087,91.83181185574294,73.325,0.023021664,49.32382845878601,76787,0.0
14,0.07669163,0.01880382,569,0.010013555,0.997541235992685,91.86889861740526,73.175,0.01880382,49.96806192398071,77812,0.0
14,0.07224263,0.016669743,583,0.011456104,0.998092458001338,91.82964332116512,72.95,0.016669743,50.630653858184814,78822,0.0
14,0.035715632,0.019661488,597,0.010125252,0.9984534843824804,91.97355379976982,72.5,0.019661488,51.3039071559906,79828,0.0
14,0.0142195225,0.029242164,611,0.00885166,0.9975875774398446,92.29695196078815,72.125,0.029242164,51.9497709274292,80841,0.0
14,-0.038750697,0.017074475,625,0.010220759,0.9982560568023473,92.49503762073599,72.525,0.017074475,52.614025831222534,81868,-0.0
14,-0.086652756,0.018660184,639,0.010366889,0.9985974852461368,92.5930991505259,72.85,0.018660184,53.271883964538574,82884,-0.0
15,-0.12672211,0.020520955,654,0.010143559,0.9985469923121855,92.53784089930232,72.7,0.020520955,53.95048260688782,83964,-0.0
14,-0.12498194,0.016227942,668,0.007271981,0.9987965463660657,92.52472676392152,72.175,0.016227942,54.606573820114136,84967,-0.0
