TimeElapsed,ev_tdlam_before,entropy,EpisodesSoFar,TimestepsSoFar,EpRewMean,meankl,EpLenMean,surrgain,EpTrueRewMean,EpThisIter,optimgain,entloss
8398.325582742691,-0.006238222122192383,-1.483476,2538,2538000,193.91916,0.012148685,1000.0,0.06652736,155.72957814898535,1,0.06652736,-0.0
8401.829708814621,0.04388236999511719,-1.4918356,2539,2539000,197.93698,0.012949014,1000.0,0.08193505,154.49622085792035,1,0.08193505,-0.0
8405.32544350624,-0.003048419952392578,-1.4866625,2540,2540000,201.33173,0.01256452,1000.0,0.069391094,154.62623065803967,1,0.069391094,-0.0
8408.826214313507,0.0014121532440185547,-1.4969826,2541,2541000,204.58382,0.014479356,1000.0,0.077296905,177.52175506057208,1,0.077296905,-0.0
8412.338108062744,0.0049479007720947266,-1.4980977,2542,2542000,206.7002,0.012873509,1000.0,0.076701894,182.78496498297974,1,0.076701894,-0.0
8415.841522216797,-0.0011289119720458984,-1.4989628,2543,2543000,206.42021,0.012521492,1000.0,0.0697742,183.53277304847796,1,0.0697742,-0.0
8419.3542740345,-0.00560915470123291,-1.4942015,2544,2544000,204.58755,0.011257926,1000.0,0.069381624,180.90386802221263,1,0.069381624,-0.0
8422.84536767006,-0.05520963668823242,-1.4891039,2545,2545000,201.55695,0.013231995,1000.0,0.09825896,180.49201495411629,1,0.09825896,-0.0
8426.334818840027,0.00561445951461792,-1.495499,2546,2546000,198.16615,0.014145909,1000.0,0.06986016,177.71978439771175,1,0.06986016,-0.0
8429.826320648193,-0.0039441585540771484,-1.5039867,2547,2547000,195.52466,0.013044562,1000.0,0.08268505,178.80987784857786,1,0.08268505,-0.0
8433.318310260773,0.6899896860122681,-1.5110588,2548,2548000,193.15288,0.013077264,1000.0,0.07604139,179.57368276743267,1,0.07604139,-0.0
8436.833057880402,-0.0011403560638427734,-1.5162859,2549,2549000,191.55266,0.01443761,1000.0,0.08126947,181.67812374400484,1,0.08126947,-0.0
8440.334396839142,0.007217526435852051,-1.513915,2550,2550000,190.70815,0.014521873,1000.0,0.074947715,181.520156664311,1,0.074947715,-0.0
8443.824572086334,-0.007483005523681641,-1.5202166,2551,2551000,191.51373,0.013380192,1000.0,0.07209015,183.20184419872467,1,0.07209015,-0.0
8447.321754455566,-0.006520986557006836,-1.5136462,2552,2552000,192.81863,0.013831257,1000.0,0.07079717,183.3097363299396,1,0.07079717,-0.0
8450.820155143738,0.1132020354270935,-1.5239869,2553,2553000,195.18895,0.014114008,1000.0,0.08258702,188.9542771664479,1,0.08258702,-0.0
8454.325136184692,0.0032297372817993164,-1.5250503,2554,2554000,196.39716,0.014691692,1000.0,0.082816824,191.41945364371776,1,0.082816824,-0.0
8457.815619707108,0.008149981498718262,-1.525726,2555,2555000,196.98534,0.0115541145,1000.0,0.066089034,192.96182612710035,1,0.066089034,-0.0
8461.31073975563,0.014225780963897705,-1.5341482,2556,2556000,197.60855,0.013734993,1000.0,0.07183804,195.9048082870237,1,0.07183804,-0.0
8464.798637628555,0.11422139406204224,-1.5405388,2557,2557000,203.07602,0.011802724,1000.0,0.06913466,268.7959241347486,1,0.06913466,-0.0
8468.295028924942,-0.002604246139526367,-1.5614917,2558,2558000,201.12082,0.014490593,1000.0,0.07406245,270.8466091073562,1,0.07406245,-0.0
8471.786027431488,-0.006378650665283203,-1.5676525,2560,2560000,203.1458,0.014373496,1000.0,0.08102045,308.79895591905597,2,0.08102045,-0.0
8475.75052189827,-0.03599131107330322,-1.5757943,2561,2561000,200.17245,0.012310445,1000.0,0.07980864,310.84649802585693,1,0.07980864,-0.0
8479.25771522522,-0.010046720504760742,-1.575607,2562,2562000,199.1044,0.0039915084,1000.0,0.04604757,314.0013095589687,1,0.04604757,-0.0
8482.757283687592,-0.001298666000366211,-1.5756685,2563,2563000,197.55801,0.011061061,1000.0,0.07248804,317.0979461233529,1,0.07248804,-0.0
8486.248049497604,-0.01456296443939209,-1.5755625,2564,2564000,196.5322,0.012641083,1000.0,0.07124253,321.71794152552104,1,0.07124253,-0.0
8489.743983983994,0.005122184753417969,-1.583867,2565,2565000,196.05867,0.01383215,1000.0,0.07881939,327.77026078342544,1,0.07881939,-0.0
8493.23696732521,-0.002673029899597168,-1.5770254,2566,2566000,196.22455,0.012405626,1000.0,0.065908745,330.48474884956323,1,0.065908745,-0.0
8496.739408016205,-0.00033485889434814453,-1.5825499,2567,2567000,202.49112,0.012568216,1000.0,0.074018724,367.86585158454193,1,0.074018724,-0.0
8500.239648103714,0.0029012560844421387,-1.5898281,2568,2568000,203.13602,0.012759756,1000.0,0.06839475,373.8020120061666,1,0.06839475,-0.0
8503.733815670013,-0.02581048011779785,-1.5933648,2569,2569000,208.7983,0.013843017,1000.0,0.07811871,459.40708406806436,1,0.07811871,-0.0
8507.235139369965,-0.008671998977661133,-1.5905647,2570,2570000,214.7211,0.014459483,1000.0,0.08043775,494.9838095961794,1,0.08043775,-0.0
8510.732175588608,-0.0010231733322143555,-1.5950814,2571,2571000,215.54707,0.0037725188,1000.0,0.042589128,496.7566125450586,1,0.042589128,-0.0
8514.27889251709,0.8035303354263306,-1.5932462,2572,2572000,215.18594,0.0040943623,1000.0,0.062144987,495.33197402156657,1,0.062144987,-0.0
8517.770798921585,0.005009591579437256,-1.5978689,2573,2573000,221.24301,0.012963306,1000.0,0.079317905,531.4392978538777,1,0.079317905,-0.0
