ev_tdlam_before,EpLenMean,TimeElapsed,surrgain,EpThisIter,optimgain,entloss,EpisodesSoFar,EpTrueRewMean,EpRewMean,meankl,entropy,TimestepsSoFar
0.8362479358911514,71.525,136.73927688598633,0.21683352,14,0.21683352,0.0,667,331.7502026767085,41.42019,0.00915444,24.01951,29731
0.8346801400184631,71.625,141.44525933265686,0.18634725,14,0.18634725,0.0,681,334.8219801328603,41.30155,0.008955224,23.978579,30750
0.8452270030975342,72.45,146.15121293067932,0.19615807,14,0.19615807,0.0,695,334.38086485355876,40.865612,0.009178771,23.983904,31794
0.8147960156202316,76.525,151.63767457008362,0.19300225,12,0.19300225,0.0,707,354.2679966602999,42.8238,0.008994112,23.983885,32792
0.8513687700033188,78.6,156.6805603504181,0.20526206,13,0.20526206,0.0,720,367.1886996811269,42.98165,0.008998031,23.95532,33832
0.7996959239244461,76.475,161.6332094669342,0.19348624,14,0.19348624,0.0,734,362.4373657089362,41.093674,0.0093154255,23.918781,34798
0.8316876590251923,75.525,166.37317943572998,0.20910119,13,0.20910119,0.0,747,356.29280015971324,39.553303,0.009463923,23.8701,35813
0.8581747859716415,73.75,171.12526440620422,0.23604183,13,0.23604183,0.0,760,344.2300994279587,37.601765,0.009270452,23.880106,36782
0.8741540759801865,75.65,175.85316705703735,0.2027959,14,0.2027959,0.0,774,353.82653948277937,37.86604,0.009716755,23.888178,37824
0.8369364738464355,73.275,180.5561273097992,0.21087444,14,0.21087444,0.0,788,342.26664967419697,35.83588,0.009642637,23.881119,38822
0.8508991003036499,69.175,185.40995836257935,0.21956196,17,0.21956196,0.0,805,324.3124391143977,33.3779,0.009737062,23.883713,39896
0.8814788460731506,72.2,190.8451886177063,0.19667283,13,0.19667283,0.0,818,342.56515091713084,35.319916,0.010008056,23.88259,40964
0.8393045961856842,71.15,195.490553855896,0.19308276,14,0.19308276,0.0,832,338.307138184333,34.229927,0.009854833,23.87848,41963
0.7952590137720108,79.1,200.13975501060486,0.23024341,12,0.23024341,0.0,844,374.809424710643,38.78807,0.010214403,23.887432,42999
0.7476751208305359,77.625,204.7855875492096,0.20075476,13,0.20075476,0.0,857,365.7191813384203,36.79974,0.009097036,23.884275,43985
0.825738251209259,80.275,209.43311667442322,0.2284778,12,0.2284778,0.0,869,384.3840812770189,37.99459,0.009709257,23.86198,44966
0.8855746388435364,78.45,214.06664156913757,0.2040208,14,0.2040208,0.0,883,375.1999172700117,35.947884,0.009722555,23.844965,46060
0.8500084429979324,81.025,218.71898555755615,0.19707656,13,0.19707656,0.0,896,387.27352588355245,37.25645,0.010217266,23.857258,47104
0.7926893830299377,80.575,223.47888684272766,0.20708331,11,0.20708331,0.0,907,382.9661217086406,36.263084,0.009901402,23.831278,48065
0.8779023066163063,83.9,228.28984594345093,0.2157378,11,0.2157378,0.0,918,403.47196256537484,37.77146,0.010401616,23.80544,49014
0.8089321702718735,87.075,232.96735048294067,0.18604997,12,0.18604997,0.0,930,416.08797177921525,38.84746,0.009758489,23.788263,50089
0.8436127752065659,87.65,237.64429140090942,0.19163668,12,0.19163668,0.0,942,417.1289036007796,38.53235,0.009870805,23.747236,51100
0.905795268714428,83.4,242.30550289154053,0.21338585,13,0.21338585,0.0,955,395.27859121075664,36.698486,0.009405786,23.751785,52099
0.8723699450492859,82.7,246.99510836601257,0.21364784,11,0.21364784,0.0,966,392.5097419125975,35.97932,0.00953697,23.74682,53079
0.8382294923067093,81.95,251.689391374588,0.19488275,12,0.19488275,0.0,978,387.8035985873281,34.963387,0.009474449,23.728092,54074
0.7899094521999359,81.85,256.99742436408997,0.22121361,13,0.22121361,0.0,991,389.3521293512234,34.416767,0.01084785,23.730146,55071
0.9060971513390541,77.525,261.9442820549011,0.2002361,13,0.2002361,0.0,1004,362.508337098824,31.499063,0.009918613,23.718668,56031
0.889291562139988,79.1,266.64676785469055,0.21093628,13,0.21093628,0.0,1017,376.77841183407884,32.48048,0.010199118,23.717264,57085
0.8840004652738571,76.475,271.3851053714752,0.19199312,14,0.19199312,0.0,1031,364.8387066732554,31.439356,0.010184505,23.711931,58130
0.8609408587217331,77.075,276.598016500473,0.21984236,13,0.21984236,0.0,1044,370.7264479263158,31.560572,0.010810463,23.71076,59114
0.8225691616535187,77.025,282.1562292575836,0.19540367,12,0.19540367,0.0,1056,364.736187315166,30.9087,0.010111859,23.691912,60067
0.8755453899502754,75.925,286.8583273887634,0.29083014,13,0.29083014,0.0,1069,357.3724756907101,30.196793,0.010624408,23.696775,61003
0.8628015369176865,77.825,291.5790777206421,0.2264921,13,0.2264921,0.0,1082,365.1446869372128,29.758678,0.0107320575,23.694092,62026
0.8474628329277039,77.075,296.3033471107483,0.20731653,13,0.20731653,0.0,1095,363.8322091864262,28.583813,0.010157281,23.69165,63063
0.8573882877826691,77.875,301.0232660770416,0.212459,13,0.212459,0.0,1108,374.1572175202641,29.065653,0.010305767,23.6804,64058
0.8828390091657639,77.475,305.73288321495056,0.20629378,14,0.20629378,0.0,1122,369.4732475260699,29.411123,0.010444973,23.683022,65125
0.87534549087286,79.025,310.4536898136139,0.22145607,12,0.22145607,0.0,1134,375.8123791302802,30.459698,0.010179575,23.665262,66139
0.8291649371385574,78.5,315.299031496048,0.22242513,13,0.22242513,0.0,1147,374.31491570343843,30.319748,0.011958454,23.647478,67137
0.8032080978155136,83.475,321.39738059043884,0.23503841,10,0.23503841,0.0,1157,400.17873893113557,31.682652,0.009760547,23.639406,68117
0.8661209493875504,87.675,326.4608199596405,0.21051627,11,0.21051627,0.0,1168,420.9768402539245,32.949753,0.009943599,23.635176,69127
0.8043608963489532,84.4,331.24048686027527,0.20541629,14,0.20541629,0.0,1182,406.19676584732133,31.503895,0.009992998,23.642656,70147
0.8879105672240257,82.625,336.03339982032776,0.21691519,12,0.21691519,0.0,1194,397.91148506217615,30.018192,0.0105643235,23.6402,71117
0.8602887690067291,78.5,341.2968227863312,0.23989534,12,0.23989534,0.0,1206,378.4906660536036,27.985102,0.010325903,23.641438,72078
0.8050240725278854,79.475,346.1364777088165,0.25893658,12,0.25893658,0.0,1218,384.5523056780213,27.538641,0.01090554,23.62425,73005
0.8981782048940659,76.65,350.969357252121,0.21945506,14,0.21945506,0.0,1232,371.71317997272524,26.539728,0.010732941,23.630617,74037
0.8834158480167389,77.55,355.81261229515076,0.25226998,13,0.25226998,0.0,1245,372.3334801886296,26.678616,0.010715364,23.616045,75108
0.821271687746048,80.225,360.92861557006836,0.19984125,13,0.19984125,0.0,1258,385.1259147564316,28.228985,0.010009643,23.606752,76214
0.8800790905952454,83.45,365.77372646331787,0.20625913,12,0.20625913,0.0,1270,391.1765880828033,27.850185,0.009413305,23.593084,77235
0.8686581403017044,85.875,370.61378502845764,0.20588897,11,0.20588897,0.0,1281,403.89550871717904,28.334106,0.010091007,23.577715,78206
0.8786031752824783,88.8,375.46175718307495,0.27887064,12,0.27887064,0.0,1293,417.1867893637515,29.024298,0.01076369,23.580877,79266
0.8424353897571564,90.125,380.3118386268616,0.22224103,10,0.22224103,0.0,1303,424.97161019461345,29.28572,0.010324868,23.578875,80233
0.8680204898118973,92.1,385.1539931297302,0.20786977,11,0.20786977,0.0,1314,436.44839997074905,29.306213,0.010841384,23.573488,81218
0.8503526896238327,94.275,389.99770879745483,0.22167136,10,0.22167136,0.0,1324,446.7773071079875,29.387716,0.0109369345,23.573,82238
0.7505435794591904,90.675,394.9106013774872,0.20931394,13,0.20931394,0.0,1337,430.8119457509923,27.883713,0.011499565,23.56486,83262
0.8670958429574966,87.2,400.4503684043884,0.21125421,12,0.21125421,0.0,1349,413.7785993544836,26.872223,0.011022068,23.558657,84263
0.8662627786397934,84.55,405.30750608444214,0.19506672,12,0.19506672,0.0,1361,405.26231896323617,25.862324,0.010379208,23.546799,85320
0.8757854998111725,85.375,410.150732755661,0.21825463,12,0.21825463,0.0,1373,407.3325268264345,25.63388,0.010504777,23.541096,86338
0.8824813216924667,83.975,414.99845457077026,0.20140997,13,0.20140997,0.0,1386,402.70840857988,25.275873,0.010854883,23.540592,87352
