EpThisIter,TimeElapsed,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,surrgain,optimgain,EpRewMean,meankl,EpLenMean,entropy
15,19705.62756204605,859297,10963,326.97035615627027,0.2289881706237793,0.0,0.20120652,0.20120652,0.7176775,0.005647823,69.375,23.828451
15,19728.224416017532,860247,10978,318.06249231861995,0.12747913599014282,0.0,0.34806237,0.34806237,0.75006294,0.005901728,67.775,23.827667
15,19750.4685690403,861281,10993,316.625023666095,-0.8050673007965088,0.0,0.2160575,0.2160575,0.6556581,0.0051497985,67.425,23.825815
15,19772.94285583496,862282,11008,306.11292432442934,0.11913889646530151,0.0,0.21698618,0.21698618,0.5921142,0.0057967803,66.225,23.826012
15,19795.192796230316,863279,11023,315.0652961854061,-0.504692792892456,0.0,0.19471052,0.19471052,0.40844077,0.0067040687,67.85,23.82617
13,19817.410492897034,864275,11036,315.4977357325249,0.05084913969039917,0.0,0.2736583,0.2736583,0.5460054,0.0070739836,69.0,23.827116
13,19839.85251402855,865284,11049,338.8630570372604,-0.051962971687316895,0.0,0.1698525,0.1698525,0.5446449,0.0066308957,73.975,23.822418
14,19862.201017141342,866295,11063,347.4531107722338,0.04446125030517578,0.0,0.30866826,0.30866826,0.928429,0.00654974,75.4,23.820353
15,19884.688189029694,867267,11078,326.5459105916026,-0.032436490058898926,0.0,0.20877713,0.20877713,0.8667984,0.0063498495,70.25,23.822226
14,19906.931107997894,868299,11092,315.338001429259,-0.705665111541748,0.0,0.17719355,0.17719355,0.5520303,0.006287006,66.8,23.821135
14,19929.4277780056,869333,11106,329.46984322684347,-0.10056746006011963,0.0,0.20820534,0.20820534,0.5504558,0.0058118934,70.175,23.821163
14,19951.730159044266,870382,11120,347.7657379610684,0.08107507228851318,0.0,0.24007577,0.24007577,0.6622991,0.0061882604,73.55,23.81947
15,19974.133593082428,871390,11135,340.9113200861284,-0.17396914958953857,0.0,0.18291152,0.18291152,0.6513097,0.006413753,72.25,23.820274
15,19996.430768013,872378,11150,325.18010273825683,0.07014155387878418,0.0,0.24974138,0.24974138,0.5245866,0.006298015,69.075,23.821323
14,20019.317551136017,873387,11164,315.50195806056996,-0.4214622974395752,0.0,0.16085957,0.16085957,0.48084894,0.006463686,68.1,23.822916
14,20041.6766371727,874399,11178,325.16313834365917,-0.1716371774673462,0.0,0.19474679,0.19474679,0.47746253,0.006309769,69.225,23.824259
16,20064.006854057312,875359,11194,320.05523109098687,-0.023199081420898438,0.0,0.26089287,0.26089287,0.51787585,0.0052851355,68.5,23.825815
14,20086.437314987183,876394,11208,308.83084678837724,0.39571183919906616,0.0,0.21824785,0.21824785,0.4775466,0.0060549723,66.85,23.827635
14,20108.743276119232,877439,11222,326.9268293124497,0.012966573238372803,0.0,0.19801283,0.19801283,0.52930367,0.0062366817,69.875,23.82584
16,20131.140752077103,878454,11238,334.4391916955839,-0.11980032920837402,0.0,0.24799417,0.24799417,0.55420357,0.006488749,70.15,23.826628
16,20153.491410970688,879475,11254,314.4801257003407,0.09492379426956177,0.0,0.30819398,0.30819398,0.5261303,0.006619375,65.95,23.826698
13,20176.131717205048,880504,11267,331.9094474784845,-0.10441482067108154,0.0,0.23374936,0.23374936,0.7024249,0.006293645,69.25,23.82617
18,20199.066200971603,881537,11285,318.6618099153244,0.15103060007095337,0.0,0.18344492,0.18344492,0.6160296,0.0050815707,66.7,23.826534
15,20221.530338048935,882575,11300,317.84676812133785,-0.521287202835083,0.0,0.17004357,0.17004357,0.55079347,0.005606686,66.05,23.826204
16,20244.077405929565,883574,11316,307.29867010293435,0.09349137544631958,0.0,0.17887384,0.17887384,0.36812904,0.005963384,64.025,23.826336
14,20266.58476114273,884561,11330,312.90057044247453,0.14342641830444336,0.0,0.20824763,0.20824763,0.4393525,0.006135178,66.1,23.827145
15,20289.237720012665,885619,11345,316.6183673612909,0.29982298612594604,0.0,0.20897073,0.20897073,0.6376677,0.006248326,68.15,23.825191
14,20311.52927517891,886620,11359,331.8339675333509,-0.8556493520736694,0.0,0.1539891,0.1539891,0.6101721,0.0051751905,71.425,23.82601
14,20333.936651945114,887666,11373,336.00319573756815,-0.3799736499786377,0.0,0.16332719,0.16332719,0.5955366,0.007179464,71.35,23.825197
16,20356.35636806488,888697,11389,339.8339980867926,0.06455457210540771,0.0,0.2804673,0.2804673,0.71129405,0.0073509743,71.225,23.82507
16,20378.810908079147,889770,11405,338.56288542275826,0.08968693017959595,0.0,0.3397883,0.3397883,0.91324216,0.0062837154,69.225,23.825521
16,20401.572041988373,890856,11421,322.15429780660565,-0.12261641025543213,0.0,0.22766632,0.22766632,0.8211447,0.0066164983,66.8,23.823376
13,20424.27622818947,891887,11434,327.1226818442704,0.05676627159118652,0.0,0.19053653,0.19053653,0.5888595,0.0056317784,69.025,23.824057
14,20446.580753087997,892934,11448,339.596355389651,-1.01731538772583,0.0,0.16651061,0.16651061,0.40425378,0.006108656,72.85,23.824057
15,20469.033799886703,893992,11463,348.3160511526085,-0.189963698387146,0.0,0.26791984,0.26791984,0.42078537,0.006583512,75.425,23.823742
14,20491.330269098282,895006,11477,343.226514796596,-0.10888946056365967,0.0,0.3343881,0.3343881,0.6186021,0.0061113937,74.0,23.82377
15,20513.891273975372,896050,11492,331.17620902127254,-0.5804018974304199,0.0,0.17434865,0.17434865,0.72457474,0.0066872765,71.025,23.823399
14,20536.43697500229,897024,11506,331.9587488208664,-0.2379673719406128,0.0,0.1663847,0.1663847,0.708512,0.005853089,70.875,23.82487
15,20559.083612203598,897999,11521,315.16684481336125,0.03247809410095215,0.0,0.21966594,0.21966594,0.52018833,0.0062112673,66.175,23.825191
12,20581.67272901535,898977,11533,342.83127232795175,0.19803917407989502,0.0,0.22884923,0.22884923,0.547919,0.006276318,71.4,23.82507
15,20603.97466802597,899999,11548,340.1436395757626,0.08793354034423828,0.0,0.61676073,0.61676073,0.8151456,0.0070165126,71.275,23.825645
16,20626.461197137833,901028,11564,325.22656252060716,0.1923832893371582,0.0,0.47163686,0.47163686,0.98615855,0.0070272805,68.725,23.827303
15,20648.99588918686,902073,11579,316.7716325396879,0.03885072469711304,0.0,0.21808729,0.21808729,0.84702265,0.006065651,67.275,23.825203
16,20671.600731134415,903169,11595,310.1607363077586,0.16282504796981812,0.0,0.29317304,0.29317304,0.63542295,0.0068624783,66.825,23.827484
15,20694.070937156677,904223,11610,324.50249124546724,0.317765474319458,0.0,0.16914435,0.16914435,0.56438124,0.005573002,69.7,23.824837
16,20716.42102599144,905308,11626,314.84299448134715,-0.014564871788024902,0.0,0.2957466,0.2957466,0.5595578,0.006622647,67.675,23.826662
14,20739.194265127182,906309,11640,333.85000483010305,0.2859652638435364,0.0,0.35759604,0.35759604,0.6382243,0.006462943,70.225,23.825195
16,20761.82423901558,907339,11656,323.36675249175744,0.13262104988098145,0.0,0.414624,0.414624,0.69151163,0.006551397,67.675,23.82662
15,20784.332200050354,908385,11671,323.4509463680458,0.03974086046218872,0.0,0.45874017,0.45874017,0.8018705,0.0067533385,69.15,23.828121
16,20807.108728170395,909433,11687,303.84514182492006,-0.08141219615936279,0.0,0.17100935,0.17100935,0.64386404,0.0061272243,65.1,23.826183
14,20829.57649898529,910455,11701,305.525747880078,-0.3637099266052246,0.0,0.27387047,0.27387047,0.50557196,0.006585194,66.4,23.826986
14,20852.139822006226,911496,11715,317.5165185078462,0.01149207353591919,0.0,0.23988764,0.23988764,0.61070806,0.0050701597,70.75,23.827965
15,20874.76526093483,912494,11730,323.7274722522522,0.14968174695968628,0.0,0.50692695,0.50692695,0.7967049,0.006107481,71.0,23.827604
16,20897.284832954407,913534,11746,315.626675881796,0.2616231441497803,0.0,0.22812049,0.22812049,0.8997347,0.0059926603,66.625,23.828606
15,20919.278558015823,914533,11761,309.5563964261546,0.2729991674423218,0.0,0.23539463,0.23539463,0.7289917,0.005377761,65.25,23.82874
13,20941.800903081894,915563,11774,338.5426357367829,-0.021973848342895508,0.0,0.26122198,0.26122198,0.9133911,0.006894557,71.15,23.829264
14,20964.498376846313,916593,11788,348.7166147022197,0.030909955501556396,0.0,0.22314833,0.22314833,0.8444999,0.0061696414,73.125,23.827505
12,20986.90356707573,917496,11800,367.4169193034435,-0.22142159938812256,0.0,0.2914328,0.2914328,0.8873955,0.00676025,75.575,23.825686
16,21009.417095184326,918536,11816,342.8886119190911,-0.04664719104766846,0.0,0.20737836,0.20737836,0.78467613,0.0054674596,70.325,23.823202
15,21031.713514089584,919556,11831,331.1841360862227,-0.16607451438903809,0.0,0.5696909,0.5696909,0.7728616,0.007701911,68.825,23.824547
15,21054.09950208664,920593,11846,318.1837301023266,0.11856621503829956,0.0,0.6409377,0.6409377,0.80345887,0.010521619,66.75,23.824217
16,21092.225852251053,921626,11862,320.2355351817047,0.04495590925216675,0.0,0.38858843,0.38858843,0.775181,0.006689202,67.1,23.821278
15,21114.427242040634,922593,11877,321.3876935929105,-0.3494521379470825,0.0,0.19286342,0.19286342,0.6291157,0.0069091422,66.6,23.821615
15,21136.904933214188,923661,11892,319.88932228312376,-0.008562207221984863,0.0,0.22093438,0.22093438,0.6622173,0.0063201203,66.55,23.81918
15,21159.394435167313,924697,11907,328.21132539540383,0.009908139705657959,0.0,0.24810025,0.24810025,0.60583246,0.0055668647,69.1,23.817545
17,21182.462916135788,925691,11924,299.93328387071995,0.15772271156311035,0.0,0.23148099,0.23148099,0.6224906,0.006287578,64.2,23.818401
17,21205.053159236908,926727,11941,288.6349721563387,-0.19488930702209473,0.0,0.21080358,0.21080358,0.4818307,0.006422942,60.875,23.817387
15,21227.271247148514,927726,11956,291.83732190009124,0.13888216018676758,0.0,0.22591794,0.22591794,0.50863236,0.0058393944,61.525,23.816074
16,21249.594316005707,928782,11972,320.4600724290675,0.16344141960144043,0.0,0.30780488,0.30780488,0.9254101,0.005743247,67.325,23.815268
15,21271.798322200775,929750,11987,303.84998541206716,-0.48086416721343994,0.0,0.2093207,0.2093207,0.91344035,0.0063486584,64.8,23.814974
15,21293.911777973175,930782,12002,315.12837819445906,0.016752898693084717,0.0,0.29288208,0.29288208,0.79741395,0.0065317824,67.025,23.812862
16,21316.57142019272,931807,12018,312.7463189791565,-1.385296106338501,0.0,0.15500413,0.15500413,0.62044024,0.006350324,67.025,23.811888
16,21339.271175146103,932834,12034,306.7014698260749,-0.02356410026550293,0.0,0.44254074,0.44254074,0.519378,0.006714594,64.075,23.810558
15,21361.596957206726,933847,12049,308.15235871807874,-0.19538915157318115,0.0,0.29243815,0.29243815,0.74886906,0.006110425,63.75,23.812023
17,21384.061012983322,934915,12066,303.47153793754603,-0.6907026767730713,0.0,0.17020558,0.17020558,0.70458466,0.005829313,63.725,23.809072
15,21406.916879177094,935830,12081,298.1245388724348,0.13885128498077393,0.0,0.28021365,0.28021365,0.6892021,0.005998548,62.55,23.809238
15,21429.728142023087,936842,12096,306.8114881540277,0.05986660718917847,0.0,0.18481182,0.18481182,0.5292257,0.005892683,65.2,23.810585
