EpisodesSoFar,EpThisIter,entloss,TimeElapsed,optimgain,EpLenMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,meankl,EpRewMean
4286,1,-0.0,12819.296131134033,0.088566616,1000.0,-1129.2475751898558,4286000,-1.1551604,0.17813509702682495,0.088566616,0.014058639,230.92953
4287,1,-0.0,12821.60295677185,0.090238705,1000.0,-1155.788665383834,4287000,-1.1547914,0.044713377952575684,0.090238705,0.0140066445,228.84697
4288,1,-0.0,12823.907534599304,0.059010774,1000.0,-1100.5088723458648,4288000,-1.1468047,0.020883262157440186,0.059010774,0.0038442777,231.93462
4289,1,-0.0,12826.21761584282,0.052395947,1000.0,-1100.9400713046834,4289000,-1.1542919,0.38575315475463867,0.052395947,0.0039468575,232.01355
4290,1,-0.0,12828.5181350708,0.060348794,1000.0,-1043.6040697920575,4290000,-1.1649833,0.8836884573101997,0.060348794,0.0038560901,233.12862
4291,1,-0.0,12830.829410552979,0.047128413,1000.0,-1038.0501875655868,4291000,-1.161691,0.024461805820465088,0.047128413,0.0038753431,232.45346
4292,1,-0.0,12833.138391017914,0.09014426,1000.0,-1039.9880490341834,4292000,-1.1774658,0.09810096025466919,0.09014426,0.014803821,231.13228
4293,1,-0.0,12835.448159217834,0.13194479,1000.0,-1092.789742957743,4293000,-1.1744293,0.9396118558943272,0.13194479,0.014656929,230.08174
4294,1,-0.0,12837.766393899918,0.08671784,1000.0,-1128.9758190525904,4294000,-1.1738571,0.7822924107313156,0.08671784,0.005210153,229.35513
4295,1,-0.0,12840.084510564804,0.06670113,1000.0,-1163.7068928130345,4295000,-1.1690891,0.6429907381534576,0.06670113,0.004138623,229.27457
4296,1,-0.0,12842.392164230347,0.056128353,1000.0,-1165.1111910275538,4296000,-1.1685469,0.02207314968109131,0.056128353,0.0037813466,229.20096
4297,1,-0.0,12844.70963025093,0.050912872,1000.0,-1168.651916389357,4297000,-1.1677487,-0.032392263412475586,0.050912872,0.004147554,228.2438
4298,1,-0.0,12847.02568411827,0.051871132,1000.0,-1162.1431386635136,4298000,-1.1686188,0.15286779403686523,0.051871132,0.003911795,228.02628
4299,1,-0.0,12849.327052354813,0.086277805,1000.0,-1163.9988105486605,4299000,-1.1635066,-0.015291094779968262,0.086277805,0.013848763,227.4924
4300,1,-0.0,12851.62433052063,0.089744925,1000.0,-1090.8476633374344,4300000,-1.1638436,-0.02272045612335205,0.089744925,0.013066631,231.63635
4301,1,-0.0,12853.931509017944,0.05231907,1000.0,-1083.0839540566649,4301000,-1.1605695,0.028896689414978027,0.05231907,0.0039753467,232.05847
4302,1,-0.0,12856.57991719246,0.089524604,1000.0,-1064.6211919072925,4302000,-1.158759,0.07651317119598389,0.089524604,0.01303645,229.62967
4303,1,-0.0,12858.871847867966,0.08612776,1000.0,-1029.7543763734834,4303000,-1.1601869,0.12899905443191528,0.08612776,0.013659418,231.21635
4304,1,-0.0,12861.193033695221,0.086984165,1000.0,-1087.2073273303606,4304000,-1.1731824,0.8913850039243698,0.086984165,0.0043064733,229.16074
4305,1,-0.0,12863.509897708893,0.061344773,1000.0,-1128.8844048954948,4305000,-1.1683261,0.8835328668355942,0.061344773,0.0039994395,230.65396
4306,1,-0.0,12865.810947418213,0.10321252,1000.0,-1096.910730452529,4306000,-1.1726378,0.13078027963638306,0.10321252,0.0148901,234.63115
4307,1,-0.0,12868.12100815773,0.06874546,1000.0,-1084.3198999451367,4307000,-1.1776074,-0.24424350261688232,0.06874546,0.0039212126,234.59668
4308,1,-0.0,12870.424178361893,0.12328848,1000.0,-1109.0842216754809,4308000,-1.165488,0.9634382352232933,0.12328848,0.013039292,231.89339
4309,1,-0.0,12872.730085849762,0.07114747,1000.0,-1124.7093624788704,4309000,-1.16088,0.8439381122589111,0.07114747,0.0039644577,232.28679
4310,1,-0.0,12875.026677131653,0.05172082,1000.0,-1134.2616583411345,4310000,-1.1589913,0.26787519454956055,0.05172082,0.0039206133,231.69797
4311,1,-0.0,12877.3369576931,0.113272816,1000.0,-1150.155319012844,4311000,-1.1576744,0.8678395450115204,0.113272816,0.012820096,233.92514
4312,1,-0.0,12879.653463602066,0.10008624,1000.0,-1152.167728246392,4312000,-1.1548306,-0.5241413116455078,0.10008624,0.0142155085,233.9213
4313,1,-0.0,12881.953743457794,0.089560464,1000.0,-1131.1323108161603,4313000,-1.163977,-0.09132540225982666,0.089560464,0.011411555,235.08345
4314,1,-0.0,12884.269381523132,0.08624614,1000.0,-1096.164424914611,4314000,-1.1706389,-0.1623373031616211,0.08624614,0.013405014,234.98203
4315,1,-0.0,12886.573422193527,0.094533324,1000.0,-1091.6128597364414,4315000,-1.1709851,-0.04804837703704834,0.094533324,0.014539521,233.644
4316,1,-0.0,12888.881295919418,0.047638968,1000.0,-1091.30666373358,4316000,-1.1690984,0.0010671615600585938,0.047638968,0.0039984677,232.23637
4317,1,-0.0,12891.177909374237,0.048564523,1000.0,-1076.9416274037853,4317000,-1.1732026,-0.01781618595123291,0.048564523,0.004006413,233.97937
4318,1,-0.0,12893.49486875534,0.059665356,1000.0,-1006.6906728295922,4318000,-1.1782941,0.021432220935821533,0.059665356,0.0039031464,238.43692
4319,1,-0.0,12895.808067798615,0.0569675,1000.0,-955.1076165492392,4319000,-1.1761612,-0.036519646644592285,0.0569675,0.0040988238,242.20163
4320,1,-0.0,12898.11548781395,0.057282604,1000.0,-956.4480587696704,4320000,-1.179755,-0.03727531433105469,0.057282604,0.004307349,241.0407
4321,1,-0.0,12900.415672302246,0.084374145,1000.0,-974.744022616855,4321000,-1.1777208,0.8224030584096909,0.084374145,0.004285494,240.8356
4322,1,-0.0,12902.7156457901,0.052577972,1000.0,-975.3335482572857,4322000,-1.1726277,0.14041805267333984,0.052577972,0.003847354,241.17505
4323,1,-0.0,12905.033028125763,0.059299402,1000.0,-973.7066340178037,4323000,-1.1661819,0.8499717861413956,0.059299402,0.0041675563,240.94833
4324,1,-0.0,12907.340554237366,0.12691763,1000.0,-964.1523102074054,4324000,-1.165034,0.07334566116333008,0.12691763,0.0130973365,240.52946
4325,1,-0.0,12909.643878221512,0.10614334,1000.0,-966.0717089023508,4325000,-1.1713806,-0.11433243751525879,0.10614334,0.014577301,239.382
4326,1,-0.0,12911.95642709732,0.07920308,1000.0,-1007.5493373676891,4326000,-1.1659153,0.621470719575882,0.07920308,0.00400414,238.1377
4327,1,-0.0,12914.27446937561,0.07990745,1000.0,-1050.076568172757,4327000,-1.1730499,0.9197468385100365,0.07990745,0.003761365,238.8534
4328,1,-0.0,12916.583869695663,0.05594868,1000.0,-1054.5823970035967,4328000,-1.1713567,0.7582210600376129,0.05594868,0.0051422436,238.05038
4329,1,-0.0,12918.930475950241,0.06416711,1000.0,-1111.2400042129848,4329000,-1.1690013,0.9643427282571793,0.06416711,0.0040100217,235.57364
4330,1,-0.0,12921.235602378845,0.07126343,1000.0,-1114.4135675263171,4330000,-1.1662139,0.7886761575937271,0.07126343,0.003918696,236.97928
4331,1,-0.0,12923.525170564651,0.09481518,1000.0,-1119.01804600326,4331000,-1.1623139,-0.11798977851867676,0.09481518,0.014559956,239.08908
4332,1,-0.0,12925.824224472046,0.054785956,1000.0,-1119.3185914878914,4332000,-1.1530699,-0.1309659481048584,0.054785956,0.0038160966,240.95688
4333,1,-0.0,12928.136414289474,0.08543343,1000.0,-1074.4294010795443,4333000,-1.141585,0.577462762594223,0.08543343,0.014841756,241.95288
4334,1,-0.0,12930.448236227036,0.076144546,1000.0,-1091.573198240892,4334000,-1.1412979,0.9771979916840792,0.076144546,0.0048548616,239.17618
4335,1,-0.0,12932.752806663513,0.048821166,1000.0,-1068.423123378471,4335000,-1.1366527,-0.13784825801849365,0.048821166,0.0039019044,238.71323
4336,1,-0.0,12935.067597150803,0.10310126,1000.0,-1081.5072042926818,4336000,-1.1395421,0.8468078523874283,0.10310126,0.013934992,236.95923
4337,1,-0.0,12937.390639066696,0.13231929,1000.0,-1151.913842734035,4337000,-1.1354437,0.6308002769947052,0.13231929,0.014408572,243.28702
4338,1,-0.0,12939.690527677536,0.08998799,1000.0,-1152.0709179459384,4338000,-1.1285416,-0.022203445434570312,0.08998799,0.014386658,242.71396
4339,1,-0.0,12942.002617835999,0.089841194,1000.0,-1151.3543051372653,4339000,-1.1258948,0.03115713596343994,0.089841194,0.013553905,242.66245
4340,1,-0.0,12944.309903383255,0.053181544,1000.0,-1166.258966413238,4340000,-1.1261191,0.07773518562316895,0.053181544,0.003947242,241.77444
4341,1,-0.0,12946.615628004074,0.10005391,1000.0,-1169.5896076209776,4341000,-1.1233609,0.13563275337219238,0.10005391,0.01388911,240.49883
4342,1,-0.0,12948.90804219246,0.08630665,1000.0,-1169.548126699035,4342000,-1.1320441,-0.011898159980773926,0.08630665,0.014483828,240.30571
4343,1,-0.0,12951.198788642883,0.105741695,1000.0,-1174.093714351662,4343000,-1.1384951,-0.11184549331665039,0.105741695,0.014503916,239.93303
4344,1,-0.0,12953.507556676865,0.058305554,1000.0,-1119.2919254493543,4344000,-1.1442091,0.7260508835315704,0.058305554,0.0043268083,242.41411
4345,1,-0.0,12955.84199309349,0.13904086,1000.0,-1143.8347337046112,4345000,-1.1450819,0.8296775966882706,0.13904086,0.013558745,240.91362
4346,1,-0.0,12958.170371294022,0.05986512,1000.0,-1128.5152686951235,4346000,-1.1445974,0.4938253164291382,0.05986512,0.004579765,239.477
4347,1,-0.0,12960.476298332214,0.06279774,1000.0,-1131.4785257938213,4347000,-1.1357744,0.8489512503147125,0.06279774,0.0039447504,240.63126
4348,1,-0.0,12962.774934053421,0.13444239,1000.0,-1109.2072805522234,4348000,-1.138658,-0.13502287864685059,0.13444239,0.014707819,243.60098
4349,1,-0.0,12965.081407546997,0.07390097,1000.0,-1085.257842255482,4349000,-1.1310116,0.8669614046812057,0.07390097,0.0038728719,244.10722
4350,1,-0.0,12967.384459257126,0.10046679,1000.0,-1090.2213438804454,4350000,-1.1326448,0.29443663358688354,0.10046679,0.014531193,244.46687
4352,2,-0.0,12969.703255414963,0.10471702,1000.0,-1106.3159324306896,4352000,-1.1310866,0.3591250777244568,0.10471702,0.014315035,241.80582
4353,1,-0.0,12972.001422166824,0.13215782,1000.0,-1162.792218761193,4353000,-1.1354065,0.7482835352420807,0.13215782,0.01438951,238.20561
4354,1,-0.0,12974.295443534851,0.06026198,1000.0,-1165.0829161100985,4354000,-1.1433004,0.6801406145095825,0.06026198,0.0037859525,238.24356
4355,1,-0.0,12976.60956454277,0.071113184,1000.0,-1193.7011818092312,4355000,-1.1451734,0.87290820479393,0.071113184,0.0041416325,239.83232
4356,1,-0.0,12978.911815166473,0.08661874,1000.0,-1192.627495677488,4356000,-1.152964,0.010438382625579834,0.08661874,0.014580186,242.54123
4357,1,-0.0,12981.218702793121,0.09249616,1000.0,-1176.5117789538217,4357000,-1.1547637,-0.04776132106781006,0.09249616,0.01421297,244.88022
4358,1,-0.0,12983.536365032196,0.097496726,1000.0,-1182.1890055439821,4358000,-1.1556298,0.18916654586791992,0.097496726,0.0145874005,244.89409
