EpRewMean,TimestepsSoFar,ev_tdlam_before,optimgain,EpTrueRewMean,meankl,entropy,EpThisIter,EpisodesSoFar,TimeElapsed,surrgain,EpLenMean,entloss
21.910618,2549000,0.5289168953895569,0.11322792,-4873.590909649294,0.0054843174,3.8251033,1,2549,8563.212281703949,0.11322792,1000.0,0.0
22.309317,2550000,0.03460204601287842,0.0791819,-4850.508454500779,0.0052326894,3.8516848,1,2550,8566.743732213974,0.0791819,1000.0,0.0
22.441122,2551000,0.055241286754608154,0.07667434,-4852.13461996833,0.006204086,3.84539,1,2551,8570.278667449951,0.07667434,1000.0,0.0
22.624922,2552000,0.4054427742958069,0.11247124,-4865.7988270687365,0.0064810337,3.849152,1,2552,8573.805136680603,0.11247124,1000.0,0.0
22.67065,2553000,0.8265078067779541,0.08241223,-4872.686650746503,0.0053701513,3.8427129,1,2553,8577.329698562622,0.08241223,1000.0,0.0
22.583405,2554000,-0.0002646446228027344,0.13048366,-4867.575900564337,0.0064679896,3.8456404,1,2554,8580.874564886093,0.13048366,1000.0,0.0
23.05888,2555000,0.08264660835266113,0.07105549,-4836.389654473793,0.0046632867,3.832955,1,2555,8584.40614771843,0.07105549,1000.0,0.0
23.218884,2556000,0.18675124645233154,0.08723974,-4836.034272572213,0.0058593117,3.8331013,1,2556,8587.943549633026,0.08723974,1000.0,0.0
23.270935,2557000,0.12172681093215942,0.10942078,-4839.253654015638,0.0074849334,3.8304212,1,2557,8591.459466218948,0.10942078,1000.0,0.0
23.079243,2558000,0.40018218755722046,0.093691826,-4835.09976653505,0.0057043317,3.8073058,1,2558,8594.98359131813,0.093691826,1000.0,0.0
23.26752,2560000,-0.013052821159362793,0.078380615,-4840.527098358229,0.005928785,3.8089883,2,2560,8598.516808271408,0.078380615,1000.0,0.0
23.156113,2561000,0.5274452865123749,0.09389302,-4848.1689127272675,0.0064495127,3.8115535,1,2561,8602.526249885559,0.09389302,1000.0,0.0
23.597284,2562000,0.2920992970466614,0.08138119,-4855.800415145351,0.0048242747,3.8022382,1,2562,8606.055283784866,0.08138119,1000.0,0.0
23.989061,2563000,0.2788236141204834,0.0836903,-4856.3944027436455,0.0057958793,3.8076153,1,2563,8609.589895963669,0.0836903,1000.0,0.0
23.845272,2564000,-0.2641773223876953,0.08642955,-4843.783623559104,0.005701026,3.8059933,1,2564,8613.13442158699,0.08642955,1000.0,0.0
23.942144,2565000,0.046241939067840576,0.06848889,-4840.100306811615,0.0052785845,3.7832658,1,2565,8616.676857233047,0.06848889,1000.0,0.0
24.102612,2566000,0.2623876929283142,0.0964364,-4829.071853173554,0.004350242,3.7930527,1,2566,8620.18876361847,0.0964364,1000.0,0.0
24.328375,2567000,0.5227111876010895,0.08288563,-4832.921000001203,0.0069755698,3.7830567,1,2567,8623.71805691719,0.08288563,1000.0,0.0
24.10044,2568000,-0.071380615234375,0.060167525,-4838.467674772534,0.004984914,3.7877579,1,2568,8627.260457277298,0.060167525,1000.0,0.0
24.12356,2569000,0.13972699642181396,0.11555901,-4832.836396355653,0.0058334237,3.7914433,1,2569,8630.796319007874,0.11555901,1000.0,0.0
24.01944,2570000,0.19079041481018066,0.4774675,-4829.723313758197,0.00817115,3.791138,1,2570,8634.33486533165,0.4774675,1000.0,0.0
23.926916,2571000,0.5873600244522095,0.07168057,-4828.118214319924,0.00493203,3.7980022,1,2571,8637.888360977173,0.07168057,1000.0,0.0
24.544872,2572000,0.39671653509140015,0.08595388,-4827.811293347195,0.0057103676,3.797117,1,2572,8641.442375898361,0.08595388,1000.0,0.0
24.532078,2573000,-0.22688329219818115,0.08665728,-4827.819216570168,0.004404787,3.7943954,1,2573,8644.99560379982,0.08665728,1000.0,0.0
24.577717,2575000,0.2664540410041809,0.0773595,-4825.195169454209,0.005696762,3.7938845,2,2575,8648.547003984451,0.0773595,1000.0,0.0
24.680403,2576000,0.4355766177177429,0.10598539,-4829.539194992566,0.006399915,3.7958438,1,2576,8652.094393968582,0.10598539,1000.0,0.0
25.288816,2577000,0.14750516414642334,0.11623062,-4809.686989633334,0.0052579916,3.7894976,1,2577,8655.644809961319,0.11623062,1000.0,0.0
24.76109,2578000,0.1130949854850769,0.07707071,-4826.432298217862,0.0052051907,3.7919009,1,2578,8659.181014299393,0.07707071,1000.0,0.0
24.776907,2579000,0.6885582804679871,0.10930671,-4824.7210879235745,0.006178203,3.7860699,1,2579,8662.708405733109,0.10930671,1000.0,0.0
24.79772,2580000,0.4214407801628113,0.08400621,-4835.93750121717,0.006919406,3.7836077,1,2580,8666.246510744095,0.08400621,1000.0,0.0
24.859005,2581000,0.5309292078018188,0.06918526,-4829.032958921438,0.005410609,3.783266,1,2581,8669.769531488419,0.06918526,1000.0,0.0
24.921421,2582000,0.12860745191574097,0.0893784,-4836.683803031595,0.006774961,3.7823489,1,2582,8673.300763368607,0.0893784,1000.0,0.0
24.858158,2583000,0.4674241542816162,0.100244,-4831.992336689707,0.007179428,3.783447,1,2583,8676.83076453209,0.100244,1000.0,0.0
24.794174,2584000,0.5224124789237976,0.093719274,-4826.031645938775,0.006949528,3.7833188,1,2584,8680.354449987411,0.093719274,1000.0,0.0
24.691538,2585000,-0.031255245208740234,0.095602974,-4830.040375436363,0.006553715,3.7908552,1,2585,8683.89306473732,0.095602974,1000.0,0.0
24.591587,2586000,0.3639069199562073,0.09832461,-4831.478622943852,0.0050792773,3.7791991,1,2586,8687.412949323654,0.09832461,1000.0,0.0
25.067122,2587000,0.4573138356208801,0.07010925,-4801.999380224946,0.00441373,3.7744443,1,2587,8690.945853471756,0.07010925,1000.0,0.0
24.797455,2588000,0.12611109018325806,0.083534166,-4798.377965973309,0.005552903,3.7627275,1,2588,8694.4788544178,0.083534166,1000.0,0.0
25.007479,2590000,-1.377603530883789,0.3133188,-4793.290387256223,0.007461491,3.7572932,2,2590,8698.012942314148,0.3133188,1000.0,0.0
25.040236,2591000,0.1295262575149536,0.08771109,-4787.790099378367,0.005478086,3.7536845,1,2591,8701.544968605042,0.08771109,1000.0,0.0
24.685488,2592000,-0.057245492935180664,0.09874666,-4785.723711088737,0.0061827265,3.7540812,1,2592,8705.061675071716,0.09874666,1000.0,0.0
24.534613,2593000,0.6255686283111572,0.08123709,-4783.958156638908,0.0064596236,3.7585456,1,2593,8708.584364175797,0.08123709,1000.0,0.0
