meankl,EpLenMean,optimgain,entropy,TimestepsSoFar,entloss,surrgain,EpRewMean,EpisodesSoFar,EpThisIter,ev_tdlam_before,TimeElapsed
0.0074198083,1000.0,0.068672925,6.473295,109000,0.0,0.068672925,-319.5858844402448,109,1,-0.12241566181182861,146.77719569206238
0.0065749045,1000.0,0.07282153,6.444371,110000,0.0,0.07282153,-317.81839443887065,110,1,0.024543285369873047,149.4567596912384
0.0058247144,1000.0,0.07696888,6.4322505,111000,0.0,0.07696888,-314.66596652566085,111,1,0.0739324688911438,151.14649891853333
0.0064824647,1000.0,0.07587048,6.4164963,112000,0.0,0.07587048,-311.14282816380694,112,1,0.20095521211624146,152.62215089797974
0.006382993,1000.0,0.07562956,6.3974705,113000,0.0,0.07562956,-306.6598284985058,113,1,0.1493515968322754,154.7977259159088
0.0071039693,1000.0,0.0725892,6.3613305,114000,0.0,0.0725892,-304.37608487452314,114,1,-0.13590383529663086,156.48001289367676
0.008378055,1000.0,0.07797256,6.323967,115000,0.0,0.07797256,-299.8882488900529,115,1,0.14681029319763184,158.1645348072052
0.0065499456,1000.0,0.07127106,6.285515,116000,0.0,0.07127106,-292.87231414459785,116,1,-0.2065058946609497,160.20897698402405
0.007255779,1000.0,0.09063453,6.296264,117000,0.0,0.09063453,-290.5311842325683,117,1,-0.1421438455581665,161.89022278785706
0.0064723855,1000.0,0.07236008,6.2736835,118000,0.0,0.07236008,-285.80101310689486,118,1,0.09449273347854614,163.40627098083496
0.006932342,1000.0,0.07284557,6.256072,119000,0.0,0.07284557,-284.16116788402576,119,1,0.29634296894073486,164.75173473358154
0.007746158,1000.0,0.07587272,6.215818,120000,0.0,0.07587272,-279.2241029775605,120,1,-0.017198801040649414,166.2882158756256
0.007106168,1000.0,0.079023354,6.2113357,121000,0.0,0.079023354,-276.65965803607895,121,1,0.154449462890625,167.69359803199768
0.006817651,1000.0,0.090384886,6.1841726,122000,0.0,0.090384886,-273.1696410059997,122,1,-0.06713497638702393,169.39444994926453
0.0073729674,1000.0,0.083716206,6.1643367,123000,0.0,0.083716206,-268.089619939294,123,1,0.01060861349105835,170.98378992080688
0.007340535,1000.0,0.072757766,6.1167016,124000,0.0,0.072757766,-264.51352500916755,124,1,0.0791669487953186,173.17511773109436
0.0072864546,1000.0,0.07797907,6.126305,125000,0.0,0.07797907,-260.2903527430792,125,1,0.19039684534072876,175.06090092658997
0.0071058525,1000.0,0.08550862,6.098643,126000,0.0,0.08550862,-258.10373424300457,126,1,-0.006728649139404297,176.54163575172424
0.0078104334,1000.0,0.0783616,6.0924096,128000,0.0,0.0783616,-249.14169062879392,128,2,0.023424386978149414,178.03365468978882
0.00733257,1000.0,0.07764662,6.076987,129000,0.0,0.07764662,-245.63554775098174,129,1,0.2783655524253845,179.49606084823608
0.0066815973,1000.0,0.08106279,6.0733943,130000,0.0,0.08106279,-242.77121727235095,130,1,-0.016090989112854004,181.09316992759705
0.0075877476,1000.0,0.076755375,6.0517197,131000,0.0,0.076755375,-240.1289852073456,131,1,0.44228988885879517,182.50303173065186
0.0075859306,1000.0,0.085815325,6.0333276,132000,0.0,0.085815325,-235.7321966535782,132,1,0.16568487882614136,184.15520906448364
