entropy,meankl,surrgain,EpThisIter,EpLenMean,EpisodesSoFar,EpRewMean,TimeElapsed,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean
1.4458617,0.0065627596,0.088337965,1,1000.0,3779,18.862186,12158.368405342102,0.0,0.088337965,0.0068929195404052734,3779000,-6263.390122306007
1.451768,0.008314927,0.09571643,1,1000.0,3780,18.748768,12160.762756109238,0.0,0.09571643,0.33158987760543823,3780000,-6280.151583350999
1.4483479,0.0083360905,0.08756326,1,1000.0,3781,18.70158,12163.172723054886,0.0,0.08756326,0.7730566561222076,3781000,-6274.317572575355
1.4493905,0.007406634,0.07757168,1,1000.0,3782,18.728735,12165.579741954803,0.0,0.07757168,0.7345235049724579,3782000,-6285.80300339931
1.4501339,0.0060571954,0.066583104,1,1000.0,3783,19.938066,12167.992653608322,0.0,0.066583104,0.5723327994346619,3783000,-6365.887511622816
1.447582,0.0071884366,0.090517916,1,1000.0,3784,20.127468,12170.392136096954,0.0,0.090517916,0.8273933082818985,3784000,-6343.73924387714
1.4460145,0.007650877,0.20158805,1,1000.0,3785,19.882425,12172.795308828354,0.0,0.20158805,0.5036189258098602,3785000,-6315.851764723171
1.4474331,0.006014152,0.08184923,1,1000.0,3786,20.074139,12175.204975605011,0.0,0.08184923,0.7111253142356873,3786000,-6299.301926146045
1.4495901,0.005422721,0.06924637,1,1000.0,3787,20.144022,12177.61062169075,0.0,0.06924637,0.7002056539058685,3787000,-6320.344642627274
1.4492337,0.0083957175,0.13473402,1,1000.0,3788,20.308033,12180.010541677475,0.0,0.13473402,0.6699724495410919,3788000,-6330.701244391242
1.449986,0.0073919976,0.0727808,1,1000.0,3789,20.153194,12182.414649248123,0.0,0.0727808,0.860598236322403,3789000,-6343.672976405196
1.4482462,0.0063519524,0.0820044,1,1000.0,3790,20.051678,12185.138458013535,0.0,0.0820044,0.8291102647781372,3790000,-6331.000565289553
1.4516194,0.0091742035,0.20892861,1,1000.0,3791,20.204144,12187.547216415405,0.0,0.20892861,0.7063577771186829,3791000,-6343.236300798801
1.4501761,0.007449005,0.10531026,1,1000.0,3792,20.07793,12189.945722579956,0.0,0.10531026,0.40217310190200806,3792000,-6340.087706815459
1.4492794,0.00879609,0.10375029,1,1000.0,3793,20.011835,12192.344254493713,0.0,0.10375029,0.49334007501602173,3793000,-6333.436676336516
1.4492353,0.007862505,0.05786115,1,1000.0,3794,19.739965,12194.74996972084,0.0,0.05786115,0.7468621730804443,3794000,-6320.834993051734
1.452942,0.010399859,0.07655396,1,1000.0,3795,20.190294,12197.148111104965,0.0,0.07655396,0.6884376406669617,3795000,-6349.885177685032
1.4525096,0.0074253725,0.09252594,1,1000.0,3796,20.288857,12199.550622224808,0.0,0.09252594,0.662810355424881,3796000,-6334.358835512023
1.4495381,0.006031519,0.07881401,1,1000.0,3797,20.38294,12201.948338985443,0.0,0.07881401,0.8242825716733932,3797000,-6335.101537474741
1.4503583,0.0048799943,0.08095235,1,1000.0,3798,20.149942,12204.37574338913,0.0,0.08095235,0.7919980883598328,3798000,-6293.440413314884
1.4466898,0.007638622,0.09248857,1,1000.0,3799,19.900587,12206.78619647026,0.0,0.09248857,0.2227897047996521,3799000,-6266.487065853437
1.4468235,0.0059549985,0.07650045,1,1000.0,3800,19.743887,12209.1981112957,0.0,0.07650045,0.8246484994888306,3800000,-6269.661196280959
1.449586,0.005833847,0.09722883,1,1000.0,3801,19.890728,12211.618577480316,0.0,0.09722883,0.7044085562229156,3801000,-6246.879619434118
1.4508358,0.0064028203,0.093380675,1,1000.0,3802,19.98916,12214.064046621323,0.0,0.093380675,0.7232749462127686,3802000,-6238.432321833787
1.449387,0.008557036,0.097101554,1,1000.0,3803,19.973148,12216.501883268356,0.0,0.097101554,0.8301516473293304,3803000,-6237.812233127586
1.4467062,0.008294427,0.12510505,1,1000.0,3804,19.915949,12218.921421766281,0.0,0.12510505,0.31753915548324585,3804000,-6246.9217301606095
1.4482226,0.006332109,0.096039295,1,1000.0,3805,19.951662,12221.330532073975,0.0,0.096039295,0.5014494955539703,3805000,-6253.896689653409
1.4419872,0.0073452005,0.11946499,1,1000.0,3806,20.225079,12223.742530107498,0.0,0.11946499,0.6422222852706909,3806000,-6262.219133558909
1.4405866,0.00616799,0.07921906,1,1000.0,3807,20.347101,12226.156987905502,0.0,0.07921906,0.5580853223800659,3807000,-6263.822061357228
1.4410348,0.005911855,0.0864262,1,1000.0,3808,20.5452,12228.572205543518,0.0,0.0864262,0.5959376990795135,3808000,-6286.420214894682
1.4416951,0.007005096,0.07333889,1,1000.0,3809,20.712364,12230.988265752792,0.0,0.07333889,0.5458184778690338,3809000,-6286.379897848633
1.437551,0.00899659,0.101787,1,1000.0,3810,20.44942,12233.421715974808,0.0,0.101787,0.739339292049408,3810000,-6252.214308171351
1.4388121,0.007191334,0.09714441,1,1000.0,3811,20.39879,12235.854987859726,0.0,0.09714441,0.563465029001236,3811000,-6256.6723632731255
1.4396366,0.0059018657,0.08737631,1,1000.0,3812,20.473728,12238.277590751648,0.0,0.08737631,0.7127039730548859,3812000,-6281.383980472773
1.4291787,0.006251881,0.08384616,1,1000.0,3813,20.621511,12240.692209243774,0.0,0.08384616,0.4194822311401367,3813000,-6222.257706715732
1.4256701,0.0066794986,0.09942486,1,1000.0,3814,20.755718,12243.099350690842,0.0,0.09942486,0.7343194484710693,3814000,-6211.116504013997
1.4214619,0.0074890647,0.1142353,1,1000.0,3815,20.80817,12245.504677534103,0.0,0.1142353,0.7313586473464966,3815000,-6193.341705106871
1.4219708,0.007737087,0.08144796,1,1000.0,3816,20.951935,12247.914407968521,0.0,0.08144796,0.8497765809297562,3816000,-6180.98241693648
1.4219002,0.006141766,0.092062786,1,1000.0,3817,21.091766,12250.326481580734,0.0,0.092062786,0.6508583426475525,3817000,-6129.991577093385
1.4199052,0.009023349,0.17330503,1,1000.0,3818,20.992508,12252.734968662262,0.0,0.17330503,0.5221363306045532,3818000,-6127.574942719263
1.4166219,0.007419477,0.094503835,1,1000.0,3819,20.893387,12255.137961864471,0.0,0.094503835,0.7355488240718842,3819000,-6126.9337810362795
1.4203798,0.006797445,0.09356493,1,1000.0,3820,21.065744,12257.536059856415,0.0,0.09356493,0.7621799558401108,3820000,-6105.953543604421
1.4156386,0.006707753,0.09002188,1,1000.0,3821,20.96344,12259.934591531754,0.0,0.09002188,0.6100622713565826,3821000,-6130.482178095075
1.4140269,0.0068159197,0.097069204,1,1000.0,3822,20.786068,12262.326504468918,0.0,0.097069204,0.7483115792274475,3822000,-6128.211622410794
1.4188426,0.0054811165,0.10392277,1,1000.0,3823,19.480953,12264.723664045334,0.0,0.10392277,0.5962454676628113,3823000,-6077.819872049042
