EpThisIter,meankl,EpisodesSoFar,TimeElapsed,ev_tdlam_before,EpTrueRewMean,EpRewMean,optimgain,TimestepsSoFar,surrgain,EpLenMean,entloss,entropy
1,0.0048264535,3644,11913.87136888504,-0.0225142240524292,-1733.3222286869757,37.397198,0.123182416,3644000,0.123182416,1000.0,0.0,2.3791168
1,0.0038947372,3645,11916.259407281876,0.01205509901046753,-1544.307049966776,38.458656,0.06455548,3645000,0.06455548,1000.0,0.0,2.376129
1,0.00497663,3646,11918.650533914566,0.0899781584739685,-1539.152342585577,38.503773,0.068862304,3646000,0.068862304,1000.0,0.0,2.3717859
1,0.004584966,3647,11921.050899505615,0.8012525290250778,-1564.0281283978584,38.429543,0.08036776,3647000,0.08036776,1000.0,0.0,2.374238
1,0.0050099045,3648,11923.444415569305,0.000668644905090332,-1562.5881950291582,38.493904,0.07267466,3648000,0.07267466,1000.0,0.0,2.3734128
1,0.0040339073,3649,11925.857421398163,0.9615125693380833,-1735.8190648102832,37.802837,0.080331706,3649000,0.080331706,1000.0,0.0,2.373624
1,0.0050046006,3650,11928.264699935913,0.7594903111457825,-1582.3574970469676,38.511166,0.102400064,3650000,0.102400064,1000.0,0.0,2.3800635
1,0.0047475556,3651,11930.657283782959,0.11332923173904419,-1573.4481369533253,38.551037,0.06617196,3651000,0.06617196,1000.0,0.0,2.3671255
1,0.004042908,3652,11933.050522089005,0.26588237285614014,-1563.2319251427175,38.924706,0.06851129,3652000,0.06851129,1000.0,0.0,2.365781
1,0.0050609726,3653,11935.458008289337,-0.06280791759490967,-1565.0813314323682,39.066822,0.12543184,3653000,0.12543184,1000.0,0.0,2.3702796
1,0.0045759017,3654,11937.858640909195,0.7246833443641663,-1622.6948148172546,38.557568,0.07504432,3654000,0.07504432,1000.0,0.0,2.3804939
1,0.0052150683,3655,11940.253149032593,0.047651708126068115,-1535.8797465466052,39.56103,0.07488633,3655000,0.07488633,1000.0,0.0,2.3770785
1,0.0041274717,3656,11942.647919654846,0.08030581474304199,-1534.2268665786044,39.77026,0.07076688,3656000,0.07076688,1000.0,0.0,2.3746634
1,0.0037826821,3657,11945.056212425232,-0.0069141387939453125,-1527.7626063279145,39.77144,0.063093066,3657000,0.063093066,1000.0,0.0,2.365051
1,0.0042650457,3658,11947.451296567917,0.024378955364227295,-1453.5658607058417,40.289436,0.07210916,3658000,0.07210916,1000.0,0.0,2.3525698
1,0.0039979275,3659,11949.857597351074,0.0900566577911377,-1456.9856134899123,40.181213,0.07019941,3659000,0.07019941,1000.0,0.0,2.3417792
1,0.004199153,3660,11952.261222362518,0.8673661798238754,-1471.5459692585277,39.78057,0.07305522,3660000,0.07305522,1000.0,0.0,2.3356621
1,0.004476607,3661,11954.653998613358,0.011912763118743896,-1464.1226657764985,39.450752,0.07198319,3661000,0.07198319,1000.0,0.0,2.3310442
1,0.00480335,3662,11957.03926062584,0.6932805180549622,-1472.2181325399092,39.272655,0.07209945,3662000,0.07209945,1000.0,0.0,2.3206306
1,0.0042454847,3663,11959.422408819199,0.03869837522506714,-1474.227276202241,39.00361,0.066096276,3663000,0.066096276,1000.0,0.0,2.3190603
1,0.0038822587,3664,11961.813267230988,0.04158884286880493,-1470.689859435174,39.052296,0.061560724,3664000,0.061560724,1000.0,0.0,2.3213096
1,0.004006136,3665,11964.208645820618,0.03112727403640747,-1463.0385354211521,39.100983,0.060971476,3665000,0.060971476,1000.0,0.0,2.325551
1,0.0050589354,3666,11966.600742816925,0.898017980158329,-1406.9263337006146,39.47169,0.097246505,3666000,0.097246505,1000.0,0.0,2.3199778
1,0.0046499427,3667,11969.010413885117,0.8554915487766266,-1453.94223567977,39.051975,0.083741695,3667000,0.083741695,1000.0,0.0,2.3104684
1,0.004147038,3668,11971.412097454071,0.8745353519916534,-1437.1959938379953,38.973095,0.086159565,3668000,0.086159565,1000.0,0.0,2.308062
1,0.004193619,3669,11973.797652244568,0.006220817565917969,-1435.5829553404358,38.3014,0.07589802,3669000,0.07589802,1000.0,0.0,2.2941558
1,0.00449754,3670,11976.18045926094,0.05477780103683472,-1427.2201620229816,38.460716,0.06583068,3670000,0.06583068,1000.0,0.0,2.296306
1,0.0049220854,3671,11978.59315109253,0.9245022386312485,-1613.6591048415419,37.20809,0.08259088,3671000,0.08259088,1000.0,0.0,2.2954843
1,0.0053130733,3672,11981.004671812057,0.046404480934143066,-1597.8550232720208,37.313377,0.079356775,3672000,0.079356775,1000.0,0.0,2.2908833
1,0.004861202,3673,11983.390470981598,-0.022969603538513184,-1606.6300867096775,37.28023,0.08359249,3673000,0.08359249,1000.0,0.0,2.292224
1,0.0041408055,3674,11985.783611297607,0.09267985820770264,-1610.631601783254,37.23841,0.06787722,3674000,0.06787722,1000.0,0.0,2.2811153
1,0.0047808504,3675,11988.19163441658,0.06663471460342407,-1609.873456539365,37.139412,0.074695215,3675000,0.074695215,1000.0,0.0,2.2886362
1,0.004429655,3676,11990.593455553055,0.1310306191444397,-1611.2051316547677,37.03425,0.07015391,3676000,0.07015391,1000.0,0.0,2.30324
1,0.0051502325,3677,11992.993196964264,0.10587954521179199,-1613.0322673266128,36.94332,0.066918656,3677000,0.066918656,1000.0,0.0,2.312255
1,0.0038595493,3678,11995.391279697418,0.09204757213592529,-1605.0706470707548,37.01734,0.058425248,3678000,0.058425248,1000.0,0.0,2.3075438
1,0.0044164816,3679,11997.791516065598,0.8534185588359833,-1579.534600367473,37.200325,0.0704619,3679000,0.0704619,1000.0,0.0,2.304034
1,0.0068233474,3680,12000.172120571136,0.6630661189556122,-1583.412352033873,37.34858,0.071178295,3680000,0.071178295,1000.0,0.0,2.2999852
1,0.005531826,3681,12002.58098077774,0.7666069567203522,-1780.8786453409652,36.521873,0.0806523,3681000,0.0806523,1000.0,0.0,2.3002427
1,0.014725065,3682,12004.985597133636,0.7569118589162827,-1779.0328783251946,36.60476,0.11368446,3682000,0.11368446,1000.0,0.0,2.3102615
1,0.0040697064,3683,12007.393310546875,0.05793428421020508,-1863.7629676693236,35.851376,0.061009172,3683000,0.061009172,1000.0,0.0,2.310241
1,0.0040084743,3684,12009.811924695969,0.06845611333847046,-1863.5650103110172,35.947304,0.074308604,3684000,0.074308604,1000.0,0.0,2.3005362
1,0.004683501,3685,12012.211027622223,0.8710103780031204,-1901.1131023824933,35.56507,0.08366187,3685000,0.08366187,1000.0,0.0,2.2988694
1,0.0039700205,3686,12014.61753988266,0.5782762467861176,-1987.3408066732554,34.728886,0.11543719,3686000,0.11543719,1000.0,0.0,2.3079844
1,0.004989228,3687,12017.348548412323,0.8711417317390442,-2027.1608252193905,34.259785,0.09299096,3687000,0.09299096,1000.0,0.0,2.3125792
1,0.0043883524,3688,12019.732846021652,0.1248922348022461,-2028.7665954282863,34.488117,0.069082655,3688000,0.069082655,1000.0,0.0,2.3108857
1,0.0045249877,3689,12022.138313531876,0.8250871151685715,-1859.8214964666818,35.53025,0.07130585,3689000,0.07130585,1000.0,0.0,2.3156333
1,0.014953753,3690,12024.539638757706,0.08217406272888184,-1827.3074865333488,35.615932,0.1326759,3690000,0.1326759,1000.0,0.0,2.3186445
1,0.004336401,3691,12026.927139520645,0.0241357684135437,-1831.236525691946,35.6772,0.07015562,3691000,0.07015562,1000.0,0.0,2.3129604
1,0.005120863,3692,12029.335378408432,0.9053386747837067,-1922.0684875745835,34.980186,0.09026606,3692000,0.09026606,1000.0,0.0,2.3175344
1,0.0042317044,3693,12031.730184793472,0.038520634174346924,-1915.6932100196464,35.00749,0.069103435,3693000,0.069103435,1000.0,0.0,2.326251
1,0.0040121423,3694,12034.127041578293,0.03411054611206055,-1851.8696384860891,35.90444,0.061331637,3694000,0.061331637,1000.0,0.0,2.3187869
1,0.0041764895,3695,12036.531250953674,0.6743062734603882,-1848.079501644388,35.728687,0.0704735,3695000,0.0704735,1000.0,0.0,2.3106513
1,0.0043882104,3696,12038.92124414444,0.6526379585266113,-1846.497401748423,35.380516,0.07710333,3696000,0.07710333,1000.0,0.0,2.3080626
1,0.0059696967,3697,12041.313583374023,0.7550592124462128,-1849.529623211598,35.279163,0.08184856,3697000,0.08184856,1000.0,0.0,2.3095527
1,0.005811564,3698,12043.693165063858,0.07399463653564453,-1845.9045506646369,35.167812,0.0703319,3698000,0.0703319,1000.0,0.0,2.3154092
1,0.004778086,3699,12046.079411745071,0.031780779361724854,-1843.633468629636,34.910423,0.06721611,3699000,0.06721611,1000.0,0.0,2.3047593
1,0.0049214736,3700,12048.470129966736,0.06350672245025635,-1832.4443334024195,34.743324,0.07195012,3700000,0.07195012,1000.0,0.0,2.2977908
1,0.0045506684,3701,12050.848416090012,0.008905947208404541,-1833.8224136451377,34.873608,0.06917736,3701000,0.06917736,1000.0,0.0,2.303192
