meankl,surrgain,EpisodesSoFar,EpTrueRewMean,entloss,entropy,ev_tdlam_before,optimgain,EpThisIter,EpLenMean,EpRewMean,TimeElapsed,TimestepsSoFar
0.011170027,0.073952064,1017,503.76084519651147,0.0,3.5722067,0.9087094143033028,0.073952064,6,195.975,6.3182592,1723.7235743999481,318853
0.010508547,0.076759934,1023,490.5754308855756,0.0,3.5456629,0.8709155172109604,0.076759934,6,190.825,6.0580587,1729.120437860489,319908
0.010146143,0.07695021,1028,503.96787117851926,0.0,3.5377197,0.9408296421170235,0.07695021,5,195.3,6.2095222,1734.5149126052856,321025
0.010129883,0.09430115,1034,484.5789951753248,0.0,3.5487664,0.7881539613008499,0.09430115,6,190.275,5.9169006,1739.9079341888428,322050
0.009722704,0.07395589,1038,480.0132627131896,0.0,3.5800862,0.9140178710222244,0.07395589,4,188.9,5.934383,1745.307695388794,322893
0.010267531,0.077571094,1043,480.3893663205252,0.0,3.573098,0.9252597913146019,0.077571094,5,189.15,5.8344593,1750.7137343883514,323867
0.009766275,0.07844446,1048,503.0163887950806,0.0,3.5371382,0.9213290214538574,0.07844446,5,196.1,6.1327467,1756.1119482517242,324954
0.011971023,0.076782465,1054,498.6229050640497,0.0,3.5369256,0.8215171098709106,0.076782465,6,194.5,6.17307,1761.5101792812347,326050
0.010864621,0.07890798,1059,483.96759394822965,0.0,3.5374079,0.9032434374094009,0.07890798,5,190.975,5.979918,1766.9096374511719,326935
0.010817941,0.07198256,1065,489.75681248887,0.0,3.469116,0.8782874643802643,0.07198256,6,193.55,6.000537,1772.3119633197784,328102
0.010176928,0.080681294,1070,491.2375120938581,0.0,3.4263022,0.8995361998677254,0.080681294,5,194.925,6.1153326,1777.7134306430817,329113
0.010414616,0.08167795,1075,502.21029586851256,0.0,3.4481113,0.9112134873867035,0.08167795,5,199.1,6.183595,1783.1023519039154,330249
0.010471035,0.09776676,1080,508.2871515271926,0.0,3.5119345,0.8860700353980064,0.09776676,5,201.525,6.1559887,1788.4952178001404,331298
0.010966058,0.08014914,1086,505.03820495165803,0.0,3.4989233,0.9331823289394379,0.08014914,6,200.95,6.152492,1793.8898212909698,332490
0.010390302,0.09181559,1090,506.2009089441332,0.0,3.472312,0.9038611501455307,0.09181559,4,200.2,5.998997,1799.2774305343628,333430
0.0101440735,0.067934826,1095,513.8712506976002,0.0,3.4843137,0.9120438247919083,0.067934826,5,202.725,6.0523844,1804.6623306274414,334359
0.009707692,0.07715303,1099,542.1410103614477,0.0,3.488929,0.9289554208517075,0.07715303,4,209.0,6.2441797,1810.0503973960876,335295
0.011261705,0.096207306,1104,553.6996977684655,0.0,3.4848564,0.9377578422427177,0.096207306,5,212.575,6.4802446,1815.4342439174652,336376
0.01158775,0.07807951,1109,560.2525892109581,0.0,3.45163,0.8681943416595459,0.07807951,5,213.675,6.5729265,1820.8221850395203,337389
0.011151475,0.07450858,1114,567.0947553418042,0.0,3.4938972,0.9118515849113464,0.07450858,5,215.025,6.6140947,1826.2108063697815,338590
0.011727439,0.07510245,1120,545.179624138092,0.0,3.4693384,0.7033593952655792,0.07510245,6,207.075,6.320104,1831.6053318977356,339581
0.010243602,0.09515329,1125,556.285731419971,0.0,3.4836123,0.9223830103874207,0.09515329,5,211.275,6.417816,1836.9888281822205,340715
0.010508366,0.07101547,1131,537.4909740298116,0.0,3.4682536,0.890121802687645,0.07101547,6,206.5,6.3462677,1842.3888931274414,341857
0.010045597,0.07538135,1135,543.6825084362969,0.0,3.528709,0.9064917340874672,0.07538135,4,209.3,6.5017242,1847.7677986621857,342731
