EpLenMean,EpRewMean,TimestepsSoFar,EpisodesSoFar,EpThisIter,meankl,EpTrueRewMean,ev_tdlam_before,TimeElapsed,optimgain,surrgain,entropy,entloss
895.825,533.9663,841602,1350,1,0.010485729,3167.627996726513,0.48795390129089355,3013.084577560425,0.035888463,0.035888463,1.1325442,0.0
910.475,542.2765,842602,1351,1,0.010986015,3216.555656500888,0.01536780595779419,3018.225918531418,0.04274626,0.04274626,1.1352168,0.0
925.025,550.7754,843602,1352,1,0.01188801,3266.0731831172525,-0.0530010461807251,3023.3585386276245,0.051850587,0.051850587,1.1357969,0.0
925.025,549.69824,844602,1353,1,0.0105687305,3265.0024763582337,0.032075703144073486,3028.501276731491,0.0340003,0.0340003,1.1707087,0.0
937.05,556.3783,845602,1354,1,0.011411184,3305.59782353796,0.10397905111312866,3033.653870820999,0.03510707,0.03510707,1.1761844,0.0
937.05,555.2963,846602,1355,1,0.010041676,3305.0527991679965,0.01681274175643921,3038.794835329056,0.034125358,0.034125358,1.2010341,0.0
941.25,557.4202,847485,1356,1,0.009966757,3319.1493154943228,0.9700749050825834,3043.929701566696,0.047071785,0.047071785,1.2500716,0.0
943.725,558.2122,848485,1357,1,0.010802845,3323.7002882885804,0.18208247423171997,3049.0773751735687,0.03717596,0.03717596,1.270833,0.0
943.725,557.5005,849485,1358,1,0.012016559,3321.6460654922607,0.15569883584976196,3054.220606327057,0.03573996,0.03573996,1.2733142,0.0
943.725,557.6037,850485,1359,1,0.01046176,3320.3822816745715,0.03345131874084473,3059.361626148224,0.034162566,0.034162566,1.250467,0.0
943.725,557.4094,851485,1360,1,0.010815941,3319.23480413139,0.06681865453720093,3064.5067439079285,0.04176301,0.04176301,1.266693,0.0
943.725,557.2561,852485,1361,1,0.010971973,3317.747047199549,-0.001511693000793457,3069.650141477585,0.032251105,0.032251105,1.2992555,0.0
943.725,557.08856,853485,1362,1,0.012872117,3316.7795335310047,0.044746577739715576,3074.802533388138,0.04407398,0.04407398,1.2886196,0.0
958.925,566.65076,854485,1363,1,0.0100007355,3369.590226612506,0.02878659963607788,3079.9429607391357,0.03189036,0.03189036,1.3151692,0.0
