optimgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,TimeElapsed,entloss,EpLenMean,EpRewMean,meankl,surrgain,entropy,TimestepsSoFar
0.0074402248,0.970234202221036,12,342,37.45857071876526,0.0,95.925,73.72430940774846,0.0071423454,0.0074402248,1.4189401,55291
0.008175364,0.9372784867882729,11,353,38.149619340896606,0.0,94.85,73.05003936808983,0.0064488105,0.008175364,1.4189401,56320
0.0197758,0.9711919464170933,13,366,38.84447765350342,0.0,89.475,73.08012918575699,0.008251247,0.0197758,1.4189401,57344
0.012658812,0.9738259073346853,11,377,39.531697034835815,0.0,86.875,73.0727952925898,0.007853797,0.012658812,1.4189401,58307
0.014125649,0.9823860321193933,13,390,40.21617865562439,0.0,84.325,73.34855585720629,0.00567648,0.014125649,1.4189401,59374
0.026297491,0.9942250098101795,13,403,40.909963607788086,0.0,81.775,73.67763725068562,0.011374779,0.026297491,1.4189401,60382
0.012007568,0.9327476248145103,11,414,41.618348360061646,0.0,83.65,73.46375651364426,0.0053445976,0.012007568,1.4189401,61405
0.010023339,0.972765676677227,12,426,42.31519889831543,0.0,84.5,73.2786894305913,0.0070407386,0.010023339,1.4189401,62428
0.0119828135,0.9840619824826717,13,439,43.00668787956238,0.0,84.1,74.14631713088795,0.0084782485,0.0119828135,1.4189401,63434
0.0114308065,0.9892904544249177,14,453,43.68949031829834,0.0,79.55,75.15334288274747,0.008285055,0.0114308065,1.4189401,64511
0.014228663,0.9938061810098588,12,465,44.37869453430176,0.0,78.075,75.69128012579966,0.008735886,0.014228663,1.4189401,65463
0.020461205,0.9914345294237137,14,479,45.05938005447388,0.0,77.85,75.11676662231108,0.0055726236,0.020461205,1.4189401,66548
0.012338334,0.9965319931507111,13,492,45.74032974243164,0.0,77.6,75.16479302522933,0.008899875,0.012338334,1.4189401,67542
0.012311229,0.9945385530591011,13,505,46.416993141174316,0.0,77.425,75.41606127151695,0.0072866976,0.012311229,1.4189401,68560
0.017731087,0.9905627043917775,13,518,47.13163232803345,0.0,77.2,76.11441775267221,0.0069665397,0.017731087,1.4189401,69563
0.010928529,0.9942288901656866,14,532,47.82505440711975,0.0,77.4,76.7125611614056,0.009927377,0.010928529,1.4189401,70638
0.014502056,0.99070043861866,13,545,48.521063566207886,0.0,77.675,76.03844341854006,0.009872321,0.014502056,1.4189401,71667
0.011442077,0.9959111418575048,13,558,49.21714115142822,0.0,76.95,76.09794830286113,0.00810189,0.011442077,1.4189401,72641
0.007876812,0.9879883825778961,13,571,49.90805411338806,0.0,78.05,75.33958350078592,0.00682267,0.007876812,1.4189401,73681
0.0092108995,0.9872180968523026,13,584,50.60275983810425,0.0,78.35,76.06852207078097,0.00852174,0.0092108995,1.4189401,74716
0.0076534385,0.9833517111837864,13,597,51.285762548446655,0.0,80.05,75.5751908613632,0.0057076206,0.0076534385,1.4189401,75771
0.013659902,0.9883226361125708,12,609,51.982826232910156,0.0,80.125,75.0419614838515,0.0066179587,0.013659902,1.4189401,76728
0.016333435,0.9850068259984255,13,622,52.66482591629028,0.0,80.275,74.90717454844871,0.008216593,0.016333435,1.4189401,77781
0.013109174,0.9948592125438154,14,636,53.34239983558655,0.0,78.625,74.7339581299241,0.008964382,0.013109174,1.4189401,78839
0.015909653,0.9930600100196898,13,649,54.040305614471436,0.0,77.85,74.56374575045905,0.009992396,0.015909653,1.4189401,79842
0.012954118,0.9903069073334336,13,662,54.72515892982483,0.0,76.35,74.16895143789858,0.008322223,0.012954118,1.4189401,80835
0.010548115,0.9925967971794307,13,675,55.412354946136475,0.0,76.725,75.22968564684496,0.007673556,0.010548115,1.4189401,81831
0.015069988,0.9863353446125984,12,687,56.09048557281494,0.0,79.5,75.05330277646206,0.0072551467,0.015069988,1.4189401,82871
0.008688463,0.9897241294384003,14,701,56.77354621887207,0.0,80.0,75.95130864818881,0.009280663,0.008688463,1.4189401,83960
0.0217308,0.9760178755968809,12,713,57.48695254325867,0.0,81.125,75.18241371817149,0.008125879,0.0217308,1.4189401,84922
0.013935391,0.9899687953293324,14,727,58.1567006111145,0.0,78.0,75.49605212928061,0.008257599,0.013935391,1.4189401,85991
0.013259616,0.9903878336772323,13,740,58.84750318527222,0.0,78.275,74.20011135919286,0.008579265,0.013259616,1.4189401,87018
0.016659703,0.9952486199326813,13,753,59.53597807884216,0.0,77.0,74.26886549653649,0.008589271,0.016659703,1.4189401,88002
0.01351786,0.9920402523130178,14,767,60.24763536453247,0.0,77.075,74.26745429636593,0.008485973,0.01351786,1.4189401,89074
0.014857761,0.9934631790965796,13,780,60.930423736572266,0.0,76.275,74.83246433536048,0.008755652,0.014857761,1.4189401,90069
0.019727454,0.9951276374049485,14,794,61.627891540527344,0.0,76.5,74.81852513419142,0.008360631,0.019727454,1.4189401,91135
0.019391088,0.9955258225090802,13,807,62.327168226242065,0.0,76.15,75.96752903287467,0.00944432,0.019391088,1.4189401,92120
0.015061503,0.9936695578508079,13,820,63.00888466835022,0.0,76.775,76.14472810918195,0.008085973,0.015061503,1.4189401,93140
0.013458741,0.9894681954756379,13,833,63.70826721191406,0.0,77.55,76.12147543507936,0.00943883,0.013458741,1.4189401,94160
0.016442778,0.9955128626897931,13,846,64.40193700790405,0.0,77.85,74.91488446043533,0.009569733,0.016442778,1.4189401,95161
0.010953702,0.9941164837218821,14,860,65.0902931690216,0.0,77.425,75.48319317527216,0.0074414453,0.010953702,1.4189401,96237
0.011598877,0.9934715912677348,13,873,65.78989148139954,0.0,76.9,75.70191559062367,0.008893737,0.011598877,1.4189401,97236
0.014447834,0.9892532071098685,13,886,66.4808509349823,0.0,77.725,76.27520131414386,0.009004555,0.014447834,1.4189401,98270
0.021544045,0.9907805668190122,13,899,67.18692445755005,0.0,78.65,76.01198069204374,0.0088323,0.021544045,1.4189401,99307
0.013835569,0.9956475785002112,13,912,67.88261485099792,0.0,79.225,75.6744694312882,0.007395911,0.013835569,1.4189401,100330
