entloss,optimgain,EpRewMean,meankl,TimeElapsed,entropy,EpisodesSoFar,TimestepsSoFar,EpLenMean,ev_tdlam_before,surrgain,EpThisIter
0.0,0.16858238,374.07337864567864,0.008959887,569.2433080673218,23.562998,3298,181208,76.5,0.8593516796827316,0.16858238,13
0.0,0.15374324,389.67067892863315,0.008677121,572.1543629169464,23.53317,3310,182252,79.2,0.921372301876545,0.15374324,12
0.0,0.1630817,386.5571185074019,0.008338865,574.8346617221832,23.532225,3324,183261,78.95,0.9252528175711632,0.1630817,14
0.0,0.1788322,396.971876420654,0.009141307,577.3425619602203,23.550455,3336,184318,81.325,0.8444483727216721,0.1788322,12
0.0,0.15616028,409.4872813328924,0.009773284,579.9188690185547,23.537556,3348,185342,82.375,0.8958091214299202,0.15616028,12
0.0,0.1537194,404.0080800810635,0.00868029,582.4901916980743,23.539417,3362,186366,81.025,0.906979463994503,0.1537194,14
0.0,0.16183183,387.047361186569,0.009410607,585.0087339878082,23.520351,3375,187342,77.925,0.8803645670413971,0.16183183,13
0.0,0.17347804,368.5100540220149,0.009240784,587.5345237255096,23.517078,3389,188376,74.625,0.8879084810614586,0.17347804,14
0.0,0.16834137,374.26727086882056,0.008924254,590.111665725708,23.517735,3402,189391,75.625,0.8772027716040611,0.16834137,13
0.0,0.17412171,381.1119517362128,0.009901961,592.6817300319672,23.510775,3415,190461,77.975,0.8340825289487839,0.17412171,13
0.0,0.193729,401.568630127333,0.009822777,595.3344089984894,23.50182,3426,191442,82.15,0.7998140454292297,0.193729,11
0.0,0.16077882,398.5505011814097,0.00874064,598.3031296730042,23.51364,3440,192481,82.425,0.8971311897039413,0.16077882,14
0.0,0.16945355,400.0271882481567,0.009454954,601.4136598110199,23.512705,3453,193521,80.3,0.7771292179822922,0.16945355,13
0.0,0.15986559,397.078948214258,0.008920854,604.3935527801514,23.501432,3465,194557,79.725,0.856994554400444,0.15986559,12
0.0,0.16651082,391.8773378644613,0.008766679,607.3334839344025,23.50484,3478,195533,79.125,0.8660327792167664,0.16651082,13
0.0,0.18819098,391.70070518848934,0.009529734,610.2679979801178,23.487635,3491,196542,80.2,0.8717267066240311,0.18819098,13
0.0,0.16268533,376.2315593751568,0.008847762,612.9926426410675,23.506346,3505,197630,76.825,0.9110571816563606,0.16268533,14
0.0,0.18158022,379.4279215194873,0.010050865,615.5335657596588,23.500448,3518,198587,76.35,0.8629812002182007,0.18158022,13
0.0,0.16446477,393.94370394530205,0.009458417,618.1599597930908,23.494106,3530,199621,78.9,0.8699098825454712,0.16446477,12
0.0,0.15693569,382.888188302269,0.010036395,620.7952268123627,23.495935,3544,200650,77.325,0.8879348337650299,0.15693569,14
0.0,0.1772469,373.3756296984894,0.00939947,623.6110718250275,23.504843,3558,201652,76.625,0.8866674676537514,0.1772469,14
0.0,0.18069717,354.3925501861798,0.009528313,626.3199398517609,23.510296,3572,202696,72.925,0.8939643055200577,0.18069717,14
0.0,0.16182023,356.673580774511,0.0095339315,629.3654100894928,23.482782,3585,203717,73.775,0.9157158583402634,0.16182023,13
0.0,0.14934209,374.1885745677449,0.009367502,632.6917638778687,23.476603,3598,204716,76.6,0.881908655166626,0.14934209,13
0.0,0.15827252,381.152076895419,0.009897978,635.6054437160492,23.4725,3611,205737,77.775,0.9015494883060455,0.15827252,13
0.0,0.15394436,390.20406883255816,0.008597016,638.4542379379272,23.450556,3624,206794,78.775,0.9241766631603241,0.15394436,13
0.0,0.16520122,388.3229245544764,0.008809536,641.4766118526459,23.462568,3638,207866,78.75,0.8696923851966858,0.16520122,14
0.0,0.15900248,383.01034140618424,0.009828973,644.273206949234,23.439943,3651,208859,78.05,0.880008652806282,0.15900248,13
0.0,0.1668572,399.9305585709443,0.010222776,646.9693019390106,23.4279,3661,209826,81.9,0.8421244919300079,0.1668572,10
0.0,0.19460113,405.95260379777085,0.009350248,649.8634879589081,23.4482,3674,210920,83.0,0.823397621512413,0.19460113,13
0.0,0.16171935,401.7362017832401,0.009647081,652.6627199649811,23.442547,3688,211957,82.825,0.8287618309259415,0.16171935,14
0.0,0.16019063,374.2400899060078,0.010236714,655.7679898738861,23.432491,3701,212935,77.725,0.8586495816707611,0.16019063,13
0.0,0.15875663,374.4331264094628,0.009020874,658.5925858020782,23.44544,3714,214015,77.375,0.869962528347969,0.15875663,13
0.0,0.17085737,384.0288828881834,0.009609643,661.5868678092957,23.452188,3727,215039,78.35,0.899129144847393,0.17085737,13
0.0,0.18806177,388.95495857519296,0.010302816,664.1186907291412,23.455564,3740,216015,78.525,0.8892639875411987,0.18806177,13
0.0,0.17362702,390.5107971891915,0.009584589,667.00767993927,23.455038,3753,217033,78.7,0.8737102299928665,0.17362702,13
0.0,0.16191855,401.49123642630013,0.008594479,669.661477804184,23.45992,3765,218096,80.825,0.8525692820549011,0.16191855,12
