surrgain,EpThisIter,TimeElapsed,entropy,entloss,TimestepsSoFar,EpisodesSoFar,EpLenMean,meankl,optimgain,EpTrueRewMean,ev_tdlam_before,EpRewMean
0.16263507,13,2084.171591758728,23.504377,0.0,455158,5962,80.45,0.0051309676,0.16263507,378.6599332249325,0.47405171394348145,1.4957616
0.17241226,12,2089.0407705307007,23.504068,0.0,456173,5974,80.125,0.004759544,0.17241226,379.48858943747103,-0.8096920251846313,1.541501
0.1568487,13,2093.7161474227905,23.503584,0.0,457217,5987,81.025,0.0051689553,0.1568487,384.6491290991708,0.35193485021591187,1.541097
0.24745235,12,2098.790141582489,23.503595,0.0,458287,5999,83.1,0.005636627,0.24745235,399.2405079781572,0.23948585987091064,1.5988777
0.15344137,11,2103.5403821468353,23.50397,0.0,459297,6010,86.5,0.004941787,0.15344137,415.69369191550084,0.5159414112567902,1.5570068
0.25234726,12,2108.2299089431763,23.50358,0.0,460332,6022,87.825,0.0053839027,0.25234726,421.76230021552766,0.14909452199935913,1.7783139
0.26811427,14,2112.8954498767853,23.5034,0.0,461402,6036,84.375,0.0054870327,0.26811427,409.8790467906532,0.2565104365348816,1.7407091
0.21426633,10,2117.583014011383,23.503153,0.0,462355,6046,86.2,0.004188356,0.21426633,415.80868121799176,0.19762378931045532,1.8212292
0.18113749,12,2122.959399700165,23.502748,0.0,463404,6058,85.125,0.0051251766,0.18113749,411.7098800415346,0.5453853607177734,1.611359
0.15639544,12,2127.63698220253,23.504557,0.0,464428,6070,87.125,0.004683802,0.15639544,422.6000961017611,0.6718640923500061,1.5641091
0.14819655,12,2132.308807849884,23.504461,0.0,465492,6082,87.025,0.0056555835,0.14819655,415.6513528185601,0.5655021667480469,1.4112822
0.1642496,13,2137.010011911392,23.505194,0.0,466579,6095,87.625,0.004770606,0.1642496,420.40625622902206,0.6606242954730988,1.3622572
0.6115898,11,2141.701719045639,23.505293,0.0,467585,6106,86.75,0.005315113,0.6115898,412.5547777657854,0.5793973505496979,1.5756832
0.17229436,11,2146.4246377944946,23.504313,0.0,468702,6117,92.1,0.0046329033,0.17229436,435.1093940616709,0.2056329846382141,1.7409346
0.14841768,12,2151.1231231689453,23.504965,0.0,469685,6129,90.825,0.0044856705,0.14841768,432.98538196659047,0.5264929234981537,1.732549
0.1709885,13,2155.8053200244904,23.504377,0.0,470699,6142,87.525,0.005308037,0.1709885,418.0459178071307,0.4492563009262085,1.48728
0.16009027,11,2160.490166902542,23.504574,0.0,471720,6153,85.3,0.0048719137,0.16009027,408.64723344949687,0.612572193145752,1.3489916
0.18538433,13,2165.2675261497498,23.503355,0.0,472756,6166,83.35,0.0044434117,0.18538433,398.7107178393445,0.5298092663288116,1.2353995
0.18469301,12,2169.920196533203,23.502523,0.0,473720,6178,82.75,0.00561161,0.18469301,389.8091672909289,0.49499577283859253,1.2948487
0.16677797,10,2174.8170828819275,23.50138,0.0,474665,6188,87.2,0.0051762606,0.16677797,419.91014956629186,0.2675597667694092,1.4199636
0.18011376,10,2179.631878376007,23.501646,0.0,475664,6198,89.125,0.0052918196,0.18011376,426.41768267767964,0.5193223059177399,1.625099
0.21168312,11,2184.3257007598877,23.502707,0.0,476702,6209,91.5,0.0047132275,0.21168312,441.5944335369339,0.39068126678466797,1.730284
0.17757457,14,2189.021206140518,23.503645,0.0,477783,6223,90.1,0.005003459,0.17757457,434.45590851252837,0.533874899148941,1.6947743
0.16202092,12,2193.7125945091248,23.504152,0.0,478845,6235,86.725,0.004953863,0.16202092,411.6678828570546,0.549407571554184,1.4123039
0.15921628,9,2198.4115829467773,23.503641,0.0,479831,6244,89.85,0.004530899,0.15921628,430.1543238802971,0.6292940080165863,1.4475942
0.23936127,11,2203.034993171692,23.504557,0.0,480895,6255,92.025,0.005436661,0.23936127,441.95144439727835,0.4625774621963501,1.536574
0.24827673,11,2208.139446735382,23.504719,0.0,481879,6266,93.975,0.0059733544,0.24827673,456.8544092764729,0.4612078070640564,1.5546484
0.29817128,12,2212.795326948166,23.504866,0.0,482922,6278,92.95,0.0051115337,0.29817128,453.2562741938853,-0.02902674674987793,1.8827921
