entropy,meankl,EpThisIter,optimgain,EpRewMean,EpisodesSoFar,TimestepsSoFar,entloss,ev_tdlam_before,TimeElapsed,EpLenMean,surrgain
3.5915399,0.0109973075,2,0.10637692,2421.0985274829786,3237,685725,0.0,0.9540782086551189,1082.9997642040253,579.5,0.10637692
3.5849645,0.012046889,2,0.11942494,2355.8485379248123,3239,686673,0.0,0.9408295005559921,1084.424468278885,564.875,0.11942494
3.5737784,0.012176544,2,0.10934497,2413.429184397243,3241,687759,0.0,0.9360874369740486,1086.0173921585083,576.4,0.10934497
3.5937371,0.011418873,1,0.08881593,2469.838664974356,3242,688470,0.0,0.9407470226287842,1087.8709852695465,588.3,0.08881593
3.6095138,0.012512554,3,0.23904374,2420.746941518248,3245,690035,0.0,0.8782564625144005,1089.4591212272644,578.275,0.23904374
3.6293347,0.01286367,3,0.120599635,2362.9934229487963,3248,691179,0.0,0.9528076611459255,1090.8919732570648,565.65,0.120599635
3.5931525,0.013094616,3,0.088508494,2242.0132222288607,3251,692089,0.0,0.9203195795416832,1092.34947514534,539.6,0.088508494
3.5672126,0.013381117,2,0.09658263,2246.9414666090624,3253,693246,0.0,0.835194319486618,1093.787513256073,543.3,0.09658263
3.5485265,0.010695314,2,0.09518372,2156.954505627342,3255,693923,0.0,0.9289657846093178,1095.25448513031,523.825,0.09518372
3.5404794,0.014133263,1,0.11057366,2200.6991021648896,3256,694847,0.0,0.8877981752157211,1096.6070063114166,535.3,0.11057366
3.5089884,0.014054111,2,0.09157516,2186.3521353813585,3258,696028,0.0,0.929217092692852,1098.0189952850342,534.275,0.09157516
3.4867542,0.01286098,3,0.10655447,2088.8445113891053,3261,697150,0.0,0.8987506479024887,1099.4788410663605,514.75,0.10655447
3.461135,0.0116036255,1,0.08365215,2103.957654216801,3262,697750,0.0,0.9372543171048164,1100.939450263977,517.775,0.08365215
3.4584491,0.0145736765,2,0.0756715,2234.1533138158175,3264,699247,0.0,0.8279253095388412,1102.3876512050629,545.975,0.0756715
3.4324963,0.013726117,2,0.09444296,2194.6058853286004,3266,700245,0.0,0.9613992944359779,1103.9084463119507,535.625,0.09444296
3.4217572,0.012015559,2,0.08626309,2218.5914845811576,3268,701328,0.0,0.9111190885305405,1105.4022071361542,541.45,0.08626309
3.4249883,0.0110334065,1,0.095651254,2218.7957260369644,3269,701745,0.0,0.8445229083299637,1106.7838411331177,542.225,0.095651254
3.417909,0.011254504,1,0.073428914,2242.7489065942304,3270,702745,0.0,0.19654977321624756,1108.3314712047577,548.225,0.073428914
3.4238286,0.0047471677,2,0.053231396,2208.250507933159,3272,704009,0.0,0.9245591312646866,1109.8469140529633,543.65,0.053231396
3.4349988,0.011948,3,0.08548553,2087.349036001484,3275,705269,0.0,0.8634798675775528,1111.3521831035614,516.875,0.08548553
3.4395754,0.01177703,1,0.08637281,2129.4119209823984,3276,706230,0.0,0.9225417301058769,1112.8341131210327,525.85,0.08637281
3.418989,0.014577726,2,0.08113246,2147.877603671586,3278,707497,0.0,0.9413223154842854,1114.3066720962524,530.0,0.08113246
3.4400778,0.012930885,2,0.10021561,2128.163173169668,3280,708542,0.0,0.9618329480290413,1115.946447134018,527.925,0.10021561
3.4240115,0.012940768,2,0.085578665,2097.7103199226244,3282,709342,0.0,0.9093198925256729,1117.4404411315918,521.8,0.085578665
3.4009964,0.014125507,3,0.099447206,2054.7444120555683,3285,710504,0.0,0.9356587529182434,1118.9017462730408,511.725,0.099447206
3.4238715,0.012366703,2,0.095717296,2100.4364475223,3287,711635,0.0,0.9194730967283249,1120.2910091876984,523.6,0.095717296
3.4179676,0.012861784,2,0.09799914,2067.5697806149165,3289,712233,0.0,0.9144449681043625,1121.711501121521,517.725,0.09799914
3.4356644,0.012350403,1,0.1286507,2095.52828022003,3290,712775,0.0,0.9226390197873116,1123.0877702236176,525.4,0.1286507
3.4557498,0.012287267,2,0.09305306,2220.729528096005,3292,714668,0.0,0.6126821637153625,1124.6493272781372,554.275,0.09305306
3.4556918,0.013420797,2,0.1127608,2229.0505863015046,3294,715545,0.0,0.9349857270717621,1126.058039188385,553.875,0.1127608
3.455705,0.012349907,2,0.0881087,2200.753633676127,3296,716703,0.0,0.870019257068634,1127.555937051773,546.4,0.0881087
3.4745493,0.012357659,1,0.13093075,2213.813969919002,3297,717474,0.0,0.8820360079407692,1128.99267411232,548.35,0.13093075
3.4828327,0.012348345,1,0.11270067,2219.155358978393,3298,717968,0.0,0.919814869761467,1130.3562281131744,548.5,0.11270067
3.4850638,0.013175541,2,0.08055139,2314.957877032156,3300,719516,0.0,0.6169430613517761,1131.8469350337982,567.5,0.08055139
3.4548197,0.012139241,1,0.089356214,2385.6029195252568,3301,720516,0.0,0.46096694469451904,1133.2916133403778,584.15,0.089356214
3.422302,0.0147820655,2,0.097013205,2311.820270202664,3303,721544,0.0,0.9145253822207451,1134.790125131607,569.85,0.097013205
3.417538,0.012352121,1,0.090001255,2362.417265250203,3304,722544,0.0,0.48392295837402344,1136.2986781597137,582.425,0.090001255
3.4141192,0.011887501,1,0.09110582,2384.2867135759543,3305,723477,0.0,0.8537474274635315,1137.9624481201172,588.325,0.09110582
3.3915393,0.013601037,2,0.09761197,2411.0810533603553,3307,724774,0.0,0.9270544126629829,1139.4363701343536,595.4,0.09761197
3.376094,0.011897864,3,0.08702045,2339.888699501943,3310,725861,0.0,0.9077073782682419,1140.9483211040497,577.9,0.08702045
3.3725624,0.012395381,1,0.11277779,2282.3610633747267,3311,726201,0.0,0.8844982162117958,1142.5463201999664,565.125,0.11277779
3.3992884,0.011303355,1,0.0669356,2355.2051573760655,3312,727201,0.0,0.13746047019958496,1143.934741973877,579.8,0.0669356
3.4055617,0.012065109,4,0.06763816,2296.0212091344824,3316,728964,0.0,0.7368690967559814,1145.370637178421,568.35,0.06763816
3.3874655,0.012027152,1,0.07729403,2304.941856528623,3317,729964,0.0,-0.02292013168334961,1146.7573580741882,570.025,0.07729403
3.37639,0.01204553,4,0.08586575,2245.7771332654506,3321,731112,0.0,0.9225241243839264,1148.2058591842651,555.25,0.08586575
