entropy,TimeElapsed,optimgain,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,meankl,surrgain,ev_tdlam_before,EpLenMean,EpRewMean,entloss
8.111954,765.878288269043,0.09278235,779.1247214149364,2,446,202945,0.007849776,0.09278235,0.8980393335223198,529.825,219.43608,0.0
8.121882,769.8930790424347,0.11832251,788.2641148561212,1,447,203700,0.008973476,0.11832251,0.9423314034938812,539.375,221.02373,0.0
8.130081,773.9052178859711,0.10909772,805.8189457805607,2,449,204849,0.008329909,0.10909772,0.8661222010850906,556.275,224.37082,0.0
8.124146,777.9205131530762,0.09056817,813.1832351906933,1,450,205849,0.009067573,0.09056817,0.06960093975067139,564.925,225.08316,0.0
8.133533,781.9296696186066,0.11147185,832.9276942203076,1,451,206741,0.008267332,0.11147185,0.9469515345990658,576.025,228.7376,0.0
8.1019745,785.9456889629364,0.09974679,814.6459925757447,3,454,207582,0.008841334,0.09974679,0.9175091087818146,565.725,223.2087,0.0
8.091418,789.9570288658142,0.18170786,831.7927183727446,1,455,208554,0.008672053,0.18170786,0.7727062702178955,576.475,225.32515,0.0
8.10768,793.9686205387115,0.09741958,821.8230055273332,3,458,210220,0.00940848,0.09741958,0.7236839234828949,568.825,219.8702,0.0
8.106751,797.9736428260803,0.0959052,818.2367692439999,3,461,211793,0.008552669,0.0959052,0.706171452999115,552.0,214.85754,0.0
8.125673,801.9808657169342,0.10343233,813.897421962399,1,462,212730,0.008528251,0.10343233,0.827482059597969,555.2,213.68582,0.0
8.1245,805.9962821006775,0.08618751,815.2931123753918,1,463,213730,0.008911392,0.08618751,0.016785264015197754,555.2,212.64876,0.0
8.140124,810.3056378364563,0.090480514,825.6317003109567,2,465,215347,0.008396236,0.090480514,0.8517876267433167,554.775,211.8035,0.0
8.133116,814.3131051063538,0.08570331,849.1409729189685,1,466,216347,0.00881889,0.08570331,0.006013810634613037,575.55,216.43802,0.0
