TimeElapsed,entropy,EpTrueRewMean,ev_tdlam_before,surrgain,EpThisIter,TimestepsSoFar,entloss,meankl,EpisodesSoFar,EpLenMean,EpRewMean,optimgain
4173.126692533493,21.727955,473.9636815107895,0.5137717723846436,0.16319148,10,888250,0.0,0.005418203,10565,93.625,1.0548207,0.16319148
4177.767064809799,21.723305,453.3283748970627,0.2814885377883911,0.18645173,12,889269,0.0,0.0049937014,10577,90.55,0.9107946,0.18645173
4182.412788629532,21.728249,447.57217142806104,-0.28795909881591797,0.17490982,11,890258,0.0,0.0054514185,10588,89.175,0.9055998,0.17490982
4187.048274278641,21.728008,448.3130856481986,-0.11768960952758789,0.16681042,12,891328,0.0,0.0074966876,10600,88.825,0.8704456,0.16681042
4191.745708703995,21.731129,457.109874006097,0.22996830940246582,0.26373163,11,892384,0.0,0.0063804844,10611,89.3,0.95873976,0.26373163
4196.42373418808,21.733814,481.91988588561526,0.14893418550491333,0.19313928,11,893415,0.0,0.0048677777,10622,94.3,1.0711101,0.19313928
4201.092893838882,21.730003,487.9910784104849,0.24368888139724731,0.20088375,10,894403,0.0,0.0051626265,10632,94.4,1.2523365,0.20088375
4206.358696937561,21.734062,493.6991139034679,0.16259700059890747,0.28024715,11,895431,0.0,0.0049159206,10643,96.075,1.3304949,0.28024715
4211.049627542496,21.729998,481.0967453182453,0.18072354793548584,0.2810981,11,896436,0.0,0.005902144,10654,94.45,1.2986876,0.2810981
4216.067839622498,21.735334,478.89594659948506,0.32700276374816895,0.17949732,11,897472,0.0,0.0048076157,10665,94.475,1.2559412,0.17949732
4220.898621082306,21.7456,479.3632247674983,0.12987059354782104,0.2801508,10,898478,0.0,0.004462931,10675,95.325,1.1274657,0.2801508
4225.794529676437,21.751623,477.0193141232785,0.10614001750946045,0.50329006,11,899394,0.0,0.0055649746,10686,93.85,1.1635494,0.50329006
4231.32542848587,21.755133,463.6877594391018,-0.009746432304382324,0.18768588,12,900460,0.0,0.0049688118,10698,91.6,1.1277078,0.18768588
4236.292687892914,21.755617,449.51054321232186,0.5548811256885529,0.18631405,12,901531,0.0,0.005663273,10710,87.525,1.080303,0.18631405
4240.972541332245,21.752613,452.41891257256384,0.15177041292190552,0.1818837,12,902582,0.0,0.004889481,10722,89.45,0.9892008,0.1818837
4246.135723590851,21.749687,464.40605287801117,0.1608942747116089,0.20103648,12,903686,0.0,0.004846161,10734,90.625,0.9687298,0.20103648
4250.812045812607,21.747978,465.24263506229227,0.21597260236740112,0.15203308,11,904664,0.0,0.0043468,10745,90.8,1.0299321,0.15203308
4255.47961139679,21.744896,464.31078016203145,0.23339629173278809,0.18773611,11,905670,0.0,0.005089216,10756,89.5,0.9952553,0.18773611
4260.14990735054,21.736748,459.39718004267723,0.48854029178619385,0.1594683,11,906636,0.0,0.005768569,10767,90.625,0.8955965,0.1594683
4264.984818458557,21.742836,473.7940252013683,0.08898603916168213,0.27055728,9,907619,0.0,0.005472032,10776,94.05,1.0736374,0.27055728
4269.992944717407,21.740639,469.868219641835,0.48473548889160156,0.20967111,12,908676,0.0,0.005379117,10788,92.6,1.0914698,0.20967111
4274.836095571518,21.734154,476.81675824999473,0.3183929920196533,0.17436963,12,909748,0.0,0.004617107,10800,93.1,1.1939397,0.17436963
4279.763213396072,21.749733,466.4141069298406,0.08037298917770386,0.23137534,12,910816,0.0,0.0042507653,10812,91.725,1.1907653,0.23137534
4284.483616113663,21.745451,478.78239132234285,0.0854332447052002,0.20924997,8,911830,0.0,0.004290642,10820,95.775,1.2353375,0.20924997
4289.183764219284,21.749668,475.5825712067037,0.18562114238739014,0.53522146,12,912901,0.0,0.0063598487,10832,95.575,1.1296251,0.53522146
4293.87508058548,21.75277,476.59218370402704,0.18298643827438354,0.19627865,12,913957,0.0,0.0056850873,10844,96.15,1.0535412,0.19627865
4298.572601318359,21.74682,472.7785895113035,-1.7388255596160889,0.17224655,12,915052,0.0,0.0060677296,10856,93.475,0.9851224,0.17224655
4303.26215839386,21.747047,456.9255577418633,0.09354889392852783,0.18301728,11,916082,0.0,0.0062511293,10867,89.625,0.93759567,0.18301728
4307.9778881073,21.755377,461.6139810200072,0.14102840423583984,0.24613845,12,917120,0.0,0.0052853897,10879,90.525,1.0170053,0.24613845
4313.333409547806,21.756193,467.87945704788217,0.2835419774055481,0.17716825,12,918210,0.0,0.0058018547,10891,90.975,1.0463587,0.17716825
4318.03675365448,21.748625,452.7174532607436,0.007432818412780762,0.294886,10,919152,0.0,0.0056837704,10901,88.95,1.0642889,0.294886
