optimgain,meankl,EpLenMean,EpTrueRewMean,EpThisIter,EpRewMean,entloss,EpisodesSoFar,surrgain,TimestepsSoFar,TimeElapsed,entropy,ev_tdlam_before
0.03294048,0.0069607887,674.025,730.0039513252018,1,448.3183,0.0,106,0.03294048,30552,178.00036478042603,3.8760092,-0.006718993186950684
0.03492089,0.0069961324,696.65,753.1299175061356,1,459.46884,0.0,107,0.03492089,31552,183.61091804504395,3.8554997,0.00483018159866333
0.05499045,0.006952256,726.25,785.3988922920939,2,473.64667,0.0,109,0.05499045,32962,189.24076509475708,3.8651128,-0.03454875946044922
0.067393295,0.006795527,749.475,808.7113043185693,1,484.93155,0.0,110,0.067393295,33943,194.87347722053528,3.8239443,0.1895412802696228
0.04832811,0.0061891624,772.6,831.6142410970667,1,496.01187,0.0,111,0.04832811,34943,200.4616756439209,3.8219376,0.04303938150405884
0.044294342,0.006314877,794.25,850.1733469390663,1,505.47412,0.0,112,0.044294342,35943,206.04408288002014,3.791473,-0.06705498695373535
0.04652129,0.006263543,803.525,854.852031252533,1,508.04633,0.0,113,0.04652129,36530,211.63735365867615,3.8089843,0.32327836751937866
0.037765354,0.0068464275,823.575,873.4058610553369,1,515.5275,0.0,114,0.037765354,37530,217.22451186180115,3.8107235,0.03757566213607788
0.05245581,0.006690436,846.55,891.3618632224527,2,522.31116,0.0,116,0.05245581,38946,222.83409523963928,3.7903447,0.27654510736465454
0.040235247,0.0069224136,864.75,908.383158767999,1,528.2751,0.0,117,0.040235247,39946,228.45418071746826,3.7912898,-0.07177460193634033
0.0399492,0.0069092563,886.925,930.4329900014636,1,537.8822,0.0,118,0.0399492,40946,234.0637240409851,3.80118,-0.03633105754852295
0.040784955,0.0067099147,906.55,947.4961942674566,1,545.2873,0.0,119,0.040784955,41946,239.69109988212585,3.8224485,-0.019056081771850586
0.037264414,0.0079178605,917.0,954.7864094071301,1,545.26074,0.0,120,0.037264414,42946,245.31062865257263,3.832405,-0.02839803695678711
0.027706664,0.0068314914,934.25,969.6686474928389,1,550.6642,0.0,121,0.027706664,43946,250.90507006645203,3.840338,-0.026813268661499023
0.031217672,0.0072961114,934.5,967.5925078510888,1,542.26935,0.0,122,0.031217672,44946,256.4625220298767,3.865692,-0.014902353286743164
0.046659146,0.0052566803,943.675,974.883336533856,1,540.84314,0.0,123,0.046659146,45946,261.97605872154236,3.8736265,0.06817072629928589
0.03969719,0.00791259,943.675,974.4108303363677,1,532.8786,0.0,124,0.03969719,46946,267.48896837234497,3.9033434,-0.02151942253112793
0.052066132,0.0066923182,937.675,965.8962755249086,2,513.97986,0.0,126,0.052066132,48706,272.97986006736755,3.8838747,0.5050887763500214
0.03817152,0.0061720586,937.675,964.3007387952166,1,505.85678,0.0,127,0.03817152,49706,278.47408723831177,3.8627913,0.003924548625946045
0.033121627,0.006277694,937.675,963.9455018523247,1,498.52637,0.0,128,0.033121627,50706,283.9589731693268,3.8816147,-0.015285730361938477
0.04295442,0.007649471,937.675,963.6912804856929,1,491.34155,0.0,129,0.04295442,51706,289.4564003944397,3.8874147,-0.023950815200805664
0.031083487,0.0065568667,945.275,971.5023173563608,1,489.69888,0.0,130,0.031083487,52706,294.9624915122986,3.9068925,-0.004258275032043457
0.03571242,0.0065358817,945.275,970.9835194145995,1,482.513,0.0,131,0.03571242,53706,300.4201376438141,3.906464,-0.04488861560821533
0.04550512,0.00726512,945.275,970.5649927392958,1,475.67636,0.0,132,0.04550512,54706,305.8942029476166,3.9318829,-0.06854903697967529
0.047618024,0.006941435,930.875,954.7197735094476,2,456.50888,0.0,134,0.047618024,56130,311.325293302536,3.9526997,0.44173556566238403
0.03728639,0.007623265,933.5,956.9951059638983,1,451.45435,0.0,135,0.03728639,57130,316.7804636955261,3.9297469,-0.007961392402648926
