optimgain,EpisodesSoFar,ev_tdlam_before,EpRewMean,meankl,TimestepsSoFar,EpLenMean,entropy,TimeElapsed,entloss,EpThisIter,surrgain
0.009795705,153,0.8739212602376938,71.1112078025144,0.008363279,33594,180.5,1.4189401,21.930497646331787,0.0,5,0.009795705
0.011375282,159,0.9136888310313225,70.88393725033174,0.007930305,34713,181.65,1.4189401,22.590081453323364,0.0,6,0.011375282
0.012689395,164,0.8738729953765869,69.98472625489786,0.007733026,35641,185.05,1.4189401,23.251002311706543,0.0,5,0.012689395
0.013205653,169,0.8078111559152603,68.88133749466874,0.005691783,36858,192.125,1.4189401,23.915836095809937,0.0,5,0.013205653
0.010873532,175,0.902821384370327,68.7373934795697,0.0066504544,37885,190.75,1.4189401,24.57945990562439,0.0,6,0.010873532
0.017404517,181,0.9333116337656975,69.59009730482657,0.008391337,38797,182.2,1.4189401,25.236268043518066,0.0,6,0.017404517
0.007684267,187,0.8574953973293304,68.9190820386323,0.0051271804,39836,182.075,1.4189401,25.89534878730774,0.0,6,0.007684267
0.010850714,195,0.9272826835513115,68.7971776160044,0.0053149383,40893,173.25,1.4189401,26.545630931854248,0.0,8,0.010850714
0.018287908,202,0.8843033835291862,68.75562720750533,0.006657609,41890,168.025,1.4189401,27.2061505317688,0.0,7,0.018287908
0.019428506,209,0.8577095568180084,70.43699959217062,0.010268122,42998,153.5,1.4189401,27.859912872314453,0.0,7,0.019428506
0.01061399,215,0.9387008287012577,70.13050097938691,0.007451617,43938,151.325,1.4189401,28.52013850212097,0.0,6,0.01061399
0.017593607,222,0.934160627424717,70.13888413614615,0.0069288914,44964,148.325,1.4189401,29.176764488220215,0.0,7,0.017593607
0.0044146767,228,0.9381645433604717,69.75241555216948,0.005482939,46007,150.125,1.4189401,29.83537459373474,0.0,6,0.0044146767
0.007789544,235,0.9449065662920475,69.03122673551373,0.007684759,47066,154.325,1.4189401,30.496811389923096,0.0,7,0.007789544
0.010449541,242,0.9085496738553047,69.14933599790285,0.0068025496,48123,155.825,1.4189401,31.160778284072876,0.0,7,0.010449541
0.017877024,250,0.9058365225791931,70.2155739446147,0.006798664,49150,150.725,1.4189401,31.80721378326416,0.0,8,0.017877024
0.011846844,256,0.9382941387593746,70.53439809066356,0.008070517,50076,150.6,1.4189401,32.46053504943848,0.0,6,0.011846844
0.00901219,264,0.90970429033041,71.16863087223366,0.0070978454,51162,146.35,1.4189401,33.11498546600342,0.0,8,0.00901219
0.009577287,272,0.9617130197584629,71.61194148067986,0.007973682,52188,138.925,1.4189401,33.76689124107361,0.0,8,0.009577287
0.008667899,281,0.9633848294615746,71.82707169720388,0.006537035,53247,132.05,1.4189401,34.414897441864014,0.0,9,0.008667899
0.010091832,289,0.9406238347291946,71.13777027238473,0.005060725,54237,130.85,1.4189401,35.076781034469604,0.0,8,0.010091832
