entropy,EpThisIter,EpisodesSoFar,TimeElapsed,EpRewMean,meankl,surrgain,entloss,EpLenMean,ev_tdlam_before,optimgain,TimestepsSoFar
2.0671923,1,2018,499.0076479911804,2555.323510680572,0.008751193,0.06529021,0.0,691.175,0.9671906866133213,0.06529021,605395
2.0868535,2,2020,499.96185398101807,2622.1260344321795,0.0136561785,0.048747774,0.0,708.9,0.7548737078905106,0.048747774,607219
2.1338892,1,2021,500.91653513908386,2668.731912690846,0.009710601,0.042768687,0.0,722.375,0.0574612021446228,0.042768687,608219
2.140008,1,2022,501.87623405456543,2694.4826055975773,0.008825851,0.05476433,0.0,730.375,0.607519268989563,0.05476433,609219
2.1338282,1,2023,502.9322021007538,2716.0769437686213,0.009968573,0.04371024,0.0,737.375,-0.01522219181060791,0.04371024,610219
2.1392827,1,2024,503.92263293266296,2704.7044855635627,0.009595878,0.07983247,0.0,733.65,0.8564966917037964,0.07983247,611070
2.12197,2,2026,504.9319839477539,2653.1342382670296,0.010311583,0.068560876,0.0,720.05,0.9669616371393204,0.068560876,612228
2.1158445,1,2027,505.9250440597534,2652.7786683844415,0.009899726,0.040129796,0.0,720.05,0.051779747009277344,0.040129796,613228
2.1034207,1,2028,506.917680978775,2660.3227459276436,0.010648644,0.08349976,0.0,721.875,0.9712025672197342,0.08349976,613865
2.1331172,2,2030,507.89768981933594,2643.449525341977,0.0091895,0.03851419,0.0,718.8,0.5573092401027679,0.03851419,615166
2.1205769,1,2031,508.92631673812866,2647.059030730521,0.009478923,0.062400244,0.0,719.75,0.8447118401527405,0.062400244,615549
2.0884736,2,2033,510.0961289405823,2730.919058592792,0.010651385,0.05975118,0.0,741.275,0.9539631567895412,0.05975118,617425
2.0846279,2,2035,511.1238570213318,2696.292721048644,0.009749165,0.06654079,0.0,731.65,0.9403525106608868,0.06654079,618088
2.084169,1,2036,512.1237478256226,2695.1132403086244,0.009434733,0.045573164,0.0,731.65,0.04460799694061279,0.045573164,619088
2.096042,1,2037,513.1450779438019,2682.0922035472695,0.009754035,0.06371576,0.0,726.825,0.9647926278412342,0.06371576,619895
2.0770893,1,2038,514.1470489501953,2682.8492035348595,0.009293436,0.06510917,0.0,726.95,0.9286554604768753,0.06510917,620895
2.105103,2,2040,515.1557130813599,2709.5738851018164,0.007847615,0.09377864,0.0,733.45,0.9709152914583683,0.09377864,622450
2.0947807,1,2041,516.1939089298248,2680.9087939803785,0.010791188,0.0556406,0.0,723.9,0.9833503309637308,0.0556406,623068
2.0704067,4,2045,517.1948947906494,2636.703962457578,0.00847036,0.052810162,0.0,710.5,0.8207575231790543,0.052810162,624544
2.0674121,1,2046,518.1853759288788,2662.3162700773937,0.011519321,0.04027974,0.0,718.275,0.058814942836761475,0.04027974,625544
2.0892262,1,2047,519.1990060806274,2610.211483274593,0.0102501605,0.07253155,0.0,702.75,0.9286489710211754,0.07253155,625923
2.039277,2,2049,520.2575559616089,2661.8407368799526,0.011915185,0.05468323,0.0,717.275,0.549148440361023,0.05468323,627278
2.0748625,1,2050,521.275915145874,2662.351005595259,0.008917911,0.040803395,0.0,717.275,0.014298558235168457,0.040803395,628278
2.0977244,2,2052,522.3584899902344,2672.039659532172,0.009401966,0.047950223,0.0,721.875,0.5069425702095032,0.047950223,629537
2.1012337,2,2054,523.8960139751434,2590.132438559584,0.011056926,0.06015784,0.0,700.1,0.14066863059997559,0.06015784,630666
2.0673277,1,2055,525.1502799987793,2618.1126163897557,0.008967679,0.045406953,0.0,708.475,0.22058862447738647,0.045406953,631666
2.0736933,1,2056,526.5423889160156,2658.2505855583695,0.008325088,0.063967414,0.0,717.85,0.891391783952713,0.063967414,632186
2.084107,2,2058,528.0201947689056,2585.394908028701,0.009348409,0.053653166,0.0,697.6,0.9135080650448799,0.053653166,633299
2.0676937,3,2061,529.4174869060516,2475.630433490032,0.00991044,0.060711376,0.0,666.375,0.9703631363809109,0.060711376,634874
2.0763547,1,2062,530.919980764389,2451.376513359285,0.0091424305,0.068445146,0.0,658.7,0.9749716855585575,0.068445146,635567
2.0710452,1,2063,532.6854469776154,2454.524306210876,0.009246458,0.040757988,0.0,658.7,0.8071923106908798,0.040757988,636567
2.0671313,1,2064,534.0619239807129,2461.9336301205476,0.008606308,0.08424577,0.0,660.05,0.9225599095225334,0.08424577,637472
2.0784633,2,2066,535.2531368732452,2470.8303949118026,0.010610759,0.05791574,0.0,662.1,0.9454352334141731,0.05791574,638712
2.05213,2,2068,536.2900288105011,2405.616644171517,0.009877788,0.058476504,0.0,644.4,0.9836400207132101,0.058476504,639641
2.0317664,1,2069,537.2906157970428,2407.822852837239,0.008283149,0.044724982,0.0,644.4,0.14537954330444336,0.044724982,640641
2.0388496,2,2071,538.2956748008728,2457.829103654412,0.009788487,0.065842204,0.0,657.575,0.9656939134001732,0.065842204,641852
2.0340192,1,2072,539.3030841350555,2451.75829945447,0.010222835,0.046252325,0.0,657.575,0.03503775596618652,0.046252325,642852
2.0241084,1,2073,540.4726929664612,2456.173911781607,0.010644301,0.042269416,0.0,660.675,0.06440699100494385,0.042269416,643852
2.0412314,1,2074,541.5310800075531,2522.6506377214546,0.009965374,0.042487998,0.0,679.5,0.30003082752227783,0.042487998,644852
2.0555139,3,2077,542.5428559780121,2430.5470731481932,0.009286089,0.05218616,0.0,655.575,0.9189015552401543,0.05218616,646118
2.072608,2,2079,543.5718400478363,2281.2724995580247,0.008292605,0.051755574,0.0,618.9,0.8324723243713379,0.051755574,646513
2.0739453,2,2081,544.5964560508728,2271.745870057173,0.009670271,0.058117043,0.0,616.6,0.9735874980688095,0.058117043,647732
2.0938997,3,2084,545.6219420433044,2293.1782424126304,0.008562682,0.04885328,0.0,625.65,0.7264078557491302,0.04885328,649163
2.0675275,1,2085,546.6439199447632,2342.924328251947,0.009122631,0.039205372,0.0,640.475,-0.0547332763671875,0.039205372,650163
2.0229127,1,2086,547.6475920677185,2309.1312709939843,0.0100620305,0.055827662,0.0,630.275,0.9404011927545071,0.055827662,650755
1.9885926,1,2087,548.6395280361176,2366.1453736184367,0.010433298,0.061022718,0.0,645.8,0.878489650785923,0.061022718,651755
1.9760804,2,2089,549.6270160675049,2352.5115007029463,0.01120663,0.0508157,0.0,641.65,0.8292820304632187,0.0508157,652944
1.983765,1,2090,550.6281070709229,2345.141009619537,0.0095417835,0.09126373,0.0,638.875,0.9572613537311554,0.09126373,653833
2.0020123,2,2092,551.6265258789062,2364.075141077183,0.009809042,0.04586,0.0,643.3,0.6127060353755951,0.04586,655269
1.9664365,1,2093,552.6559088230133,2364.6468328924493,0.009791416,0.04145737,0.0,643.3,0.04306912422180176,0.04145737,656269
1.9468458,1,2094,553.6996428966522,2447.0074241166767,0.009413415,0.046645794,0.0,665.075,0.6037770509719849,0.046645794,657269
1.9340271,2,2096,554.7008669376373,2401.552757808359,0.00993203,0.05001542,0.0,651.225,0.8385527729988098,0.05001542,658235
1.9767746,1,2097,555.7722570896149,2418.7552681150614,0.009454422,0.03682024,0.0,656.65,0.035931527614593506,0.03682024,659235
1.9714046,2,2099,556.9991519451141,2379.5157480082826,0.008757075,0.046487678,0.0,647.425,0.5362582504749298,0.046487678,659870
1.9960691,1,2100,557.9958107471466,2404.078958882075,0.009664387,0.06271197,0.0,654.5,0.9686007723212242,0.06271197,660791
1.9600506,2,2102,559.2926738262177,2459.250973926703,0.009787952,0.048631757,0.0,669.1,0.9711337704211473,0.048631757,662331
1.935728,2,2104,560.444746017456,2391.2624027306397,0.010598989,0.053767763,0.0,651.775,0.7108948528766632,0.053767763,663543
1.8893737,1,2105,561.5586898326874,2373.259709436045,0.010079723,0.05755699,0.0,646.3,0.9415722414851189,0.05755699,664125
1.8419805,1,2106,562.7102289199829,2420.9499861093072,0.0104097705,0.047330976,0.0,660.325,0.046070873737335205,0.047330976,665125
1.8312606,1,2107,563.7116968631744,2490.749514760956,0.009479576,0.06505074,0.0,678.175,0.9859502157196403,0.06505074,666121
1.7937863,2,2109,564.7091898918152,2450.1864642205082,0.010045817,0.04518961,0.0,669.475,0.604066401720047,0.04518961,667420
1.7999946,2,2111,565.8395569324493,2431.0046478251825,0.010288791,0.066083275,0.0,666.85,0.16488826274871826,0.066083275,668526
1.8109963,1,2112,566.9944038391113,2407.933769390823,0.010140196,0.060154393,0.0,658.75,0.8174815773963928,0.060154393,669202
1.7697078,2,2114,568.4008347988129,2364.0016339525746,0.010034809,0.04310095,0.0,644.25,0.5165153443813324,0.04310095,670622
1.746879,1,2115,569.7605369091034,2394.5308987055287,0.010868779,0.04915388,0.0,653.275,0.04085880517959595,0.04915388,671622
1.7648077,1,2116,571.0862979888916,2444.507333008477,0.009343782,0.044892807,0.0,668.225,0.08664709329605103,0.044892807,672622
1.8046281,2,2118,572.3921449184418,2490.59542172726,0.009658406,0.06214356,0.0,677.875,0.976512111723423,0.06214356,673479
1.8014548,2,2120,573.3944337368011,2499.1015928734455,0.010448375,0.057980534,0.0,678.625,0.9850428244099021,0.057980534,674441
1.8541937,1,2121,574.3971111774445,2547.6559531808516,0.009913763,0.03903323,0.0,692.725,0.0517612099647522,0.03903323,675441
1.877625,2,2123,575.4684679508209,2547.8741584360137,0.010767138,0.071340576,0.0,689.75,0.9769050274044275,0.071340576,676480
1.9082032,2,2125,576.7278380393982,2548.962957669949,0.01022785,0.042442128,0.0,689.325,0.5643589198589325,0.042442128,677736
1.9061586,1,2126,578.0125629901886,2582.4797490860165,0.013217904,0.08079109,0.0,699.525,0.8006140142679214,0.08079109,678736
1.8985976,1,2127,579.846275806427,2548.0193276281225,0.01182434,0.11474672,0.0,690.275,0.9528877213597298,0.11474672,679366
1.9030156,4,2131,581.5890829563141,2392.3032314994525,0.011350438,0.055321537,0.0,650.3,0.5588538646697998,0.055321537,680845
1.8554158,2,2133,583.7761240005493,2358.926854935227,0.010245651,0.053219743,0.0,640.825,0.8309839963912964,0.053219743,681902
1.8380369,4,2137,585.7555148601532,2162.3491736906935,0.011775045,0.057828218,0.0,589.4,0.6671425104141235,0.057828218,682811
1.8280641,1,2138,587.6905097961426,2188.836826264322,0.01048445,0.059920084,0.0,596.0,0.944970790296793,0.059920084,683571
1.8323907,2,2140,589.2331960201263,2205.8741848988147,0.00932317,0.05937282,0.0,598.75,0.9689669627696276,0.05937282,684741
1.8288859,3,2143,590.5153429508209,2097.3662442734612,0.0093424115,0.05585938,0.0,569.5,0.8907765597105026,0.05585938,685987
1.8306291,1,2144,591.9232420921326,2074.4747059270826,0.00940587,0.06252692,0.0,564.65,0.9023986756801605,0.06252692,686129
1.8400958,3,2147,593.4612817764282,1992.8686738494875,0.01162174,0.055493906,0.0,542.875,0.7159441411495209,0.055493906,687836
1.8529378,1,2148,594.9273269176483,1988.011189418524,0.01212621,0.06201767,0.0,540.025,0.8414242416620255,0.06201767,688722
1.8413309,3,2151,596.2653698921204,1994.3752156308324,0.010513867,0.060630795,0.0,539.675,0.9535533152520657,0.060630795,690113
1.8603194,1,2152,598.1683027744293,2020.402538644014,0.009603644,0.03571654,0.0,547.775,0.08899956941604614,0.03571654,691113
1.8397197,1,2153,599.6538569927216,2021.479115804134,0.009898164,0.07610853,0.0,546.8,0.889950767159462,0.07610853,692074
1.860999,1,2154,601.0826499462128,2047.4548648724347,0.0095429495,0.06429364,0.0,554.225,0.9797587804496288,0.06429364,692791
1.8662944,2,2156,602.5569911003113,1977.229750258421,0.010918239,0.04280681,0.0,534.875,0.5801480114459991,0.04280681,694017
1.8784175,1,2157,603.8593180179596,2012.6472011149685,0.0149391,0.06313159,0.0,545.5,0.7330262064933777,0.06313159,695017
1.8762895,3,2160,605.1673419475555,1983.9511116012975,0.010326182,0.06925951,0.0,540.075,0.933551512658596,0.06925951,696044
1.862298,1,2161,606.4897599220276,1984.9642675878495,0.010492436,0.047741026,0.0,540.075,0.06890678405761719,0.047741026,697044
1.860899,1,2162,607.9979360103607,1998.4558730279518,0.010269318,0.06361559,0.0,544.0,0.734205037355423,0.06361559,697713
1.8559575,1,2163,609.5952467918396,2019.8558186627336,0.008566368,0.07646601,0.0,549.5,0.9631110541522503,0.07646601,698460
1.8451864,2,2165,611.160434961319,2009.1986331158575,0.009568133,0.048232872,0.0,547.1,0.5889058709144592,0.048232872,699620
1.8465334,2,2167,612.5380008220673,1975.744721405438,0.009669645,0.039701894,0.0,538.675,0.5384742617607117,0.039701894,700913
1.8584223,2,2169,613.9681470394135,1986.8053919436763,0.008985819,0.035928905,0.0,541.675,0.6207799017429352,0.035928905,702172
1.8478998,2,2171,615.3138298988342,2021.8092167673217,0.01075076,0.067389354,0.0,550.125,0.9641686454415321,0.067389354,702850
1.8745406,1,2172,616.704607963562,2099.868323667063,0.009531496,0.04197768,0.0,571.55,0.045629262924194336,0.04197768,703850
1.8727707,1,2173,618.1828789710999,2100.35340218331,0.008575526,0.05510698,0.0,573.7,0.406403124332428,0.05510698,704850
