EpLenMean,entloss,EpRewMean,EpTrueRewMean,EpThisIter,TimeElapsed,surrgain,optimgain,meankl,entropy,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar
361.1,0.0,206.46439,294.83398477149524,1,146.79007267951965,0.06771048,0.06771048,0.007678968,7.9313507,-0.20707356929779053,37053,280
380.975,0.0,216.92293,315.5864180935464,1,151.07520151138306,0.056268353,0.056268353,0.0070521766,7.919796,-0.17435193061828613,38053,281
399.175,0.0,225.62094,326.7896012894476,1,155.35143518447876,0.058366787,0.058366787,0.0069463635,7.909359,-0.11330533027648926,39053,282
413.05,0.0,231.29736,332.1830324090982,2,159.6347119808197,0.06474968,0.06474968,0.0067953095,7.9232936,0.732852578163147,40202,284
420.725,0.0,234.66133,338.0446834820732,1,163.92339658737183,0.09210952,0.09210952,0.0061775045,7.9173,0.8932241275906563,41032,285
419.425,0.0,232.68999,342.4684846835489,2,168.2044997215271,0.08981751,0.08981751,0.0064447178,7.928115,0.8804644644260406,42072,287
433.875,0.0,237.91911,346.49837290546844,1,172.4881715774536,0.056839824,0.056839824,0.006291113,7.9192657,-0.04659104347229004,43072,288
449.325,0.0,245.6528,363.58990881667063,1,176.7564775943756,0.06628929,0.06628929,0.006994247,7.9201655,0.08990567922592163,44072,289
447.425,0.0,244.26755,355.79329763102976,1,181.03471875190735,0.09108411,0.09108411,0.0063035474,7.940555,0.8408315032720566,44203,290
487.55,0.0,263.4848,386.03572267607615,2,185.33833050727844,0.0713934,0.0713934,0.0066926004,7.9564857,0.010818898677825928,46203,292
504.9,0.0,271.2303,403.9963079534862,1,189.63372445106506,0.060882248,0.060882248,0.0057366122,7.961135,0.038138508796691895,47203,293
522.975,0.0,278.49258,410.9110521274706,1,193.93660855293274,0.07092665,0.07092665,0.0074502137,7.9598265,-0.008957862854003906,48203,294
536.325,0.0,284.0733,432.2655678711453,1,198.24484753608704,0.0849093,0.0849093,0.0071959672,7.970706,0.7346979677677155,49131,295
546.7,0.0,286.86954,446.4658588419717,1,202.53940320014954,0.08654757,0.08654757,0.006542121,7.949703,0.8798383176326752,50016,296
562.6,0.0,292.54462,458.1541336164736,1,206.83404731750488,0.06907092,0.06907092,0.007328855,7.9574466,-0.07770395278930664,51016,297
582.575,0.0,300.45963,467.3049704468249,1,211.13523030281067,0.07699543,0.07699543,0.008349508,7.9787745,0.025071680545806885,52016,298
621.575,0.0,316.91876,500.8121854416402,2,215.43426847457886,0.07896559,0.07896559,0.006367444,7.9615355,0.090595543384552,53931,300
634.15,0.0,320.89932,513.2083222191097,2,219.73741102218628,0.07305049,0.07305049,0.006945843,7.9425054,0.9139788001775742,54917,302
650.675,0.0,326.8919,527.6959035833638,1,224.04556608200073,0.061855275,0.061855275,0.0055234125,7.9583597,0.03440439701080322,55917,303
664.025,0.0,330.56964,534.2402149236466,1,228.3531413078308,0.075610444,0.075610444,0.006849435,7.9411764,0.07142853736877441,56917,304
682.1,0.0,337.221,546.6699635813392,1,232.65380215644836,0.0641107,0.0641107,0.0066136704,7.929627,0.023838281631469727,57917,305
719.6,0.0,350.2624,573.8268800356552,2,236.97985887527466,0.05975572,0.05975572,0.006458482,7.899596,0.10756027698516846,59917,307
719.5,0.0,347.68677,564.9685299443729,2,241.29366970062256,0.07155553,0.07155553,0.0069722626,7.884716,0.9193125069141388,60624,309
742.5,0.0,354.76746,586.3433860530704,2,245.59068059921265,0.07775582,0.07775582,0.0066400366,7.8861227,0.6202438175678253,62182,311
741.825,0.0,350.2987,592.7037263329315,2,249.89854645729065,0.091025725,0.091025725,0.005862429,7.8365602,0.8162498474121094,63249,313
747.925,0.0,349.45224,594.9542069373443,1,254.1818995475769,0.065335795,0.065335795,0.0069089625,7.837772,0.3078511953353882,64249,314
750.375,0.0,350.15717,598.4310635476879,1,258.45188164711,0.108218,0.108218,0.005952171,7.84686,0.9370758458971977,64527,315
770.875,0.0,356.58224,611.0765582063934,1,262.75655484199524,0.0785563,0.0785563,0.0069826106,7.843308,0.1652156114578247,65527,316
775.375,0.0,356.82498,637.555843889682,1,267.07041358947754,0.086267605,0.086267605,0.006946561,7.851807,0.04490596055984497,66527,317
785.7,0.0,359.49042,647.4227809970391,1,271.36930203437805,0.07138634,0.07138634,0.005970653,7.835575,0.9003631174564362,67215,318
804.05,0.0,364.32538,656.1399594107036,1,275.6855671405792,0.06932078,0.06932078,0.006559025,7.8220673,-0.04825747013092041,68215,319
804.05,0.0,359.12222,655.9852165120689,1,279.993271112442,0.063341446,0.063341446,0.0070135454,7.8460236,-0.048454880714416504,69215,320
