EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.004832875,2979.678786277771,930,0.0,0.09237482,0.6985152065753937,930000,-2739.256557487256,8.437148,1,0.09237482,85.81179
1000.0,0.0038747126,2983.528527021408,931,0.0,0.07273534,0.5305518507957458,931000,-2736.6671596217084,8.437743,1,0.07273534,85.563896
1000.0,0.014624612,2987.364504098892,932,0.0,0.15462467,0.6079812347888947,932000,-2735.78221614415,8.423761,1,0.15462467,85.726234
1000.0,0.0048179333,2991.173271179199,933,0.0,0.14080067,0.6457821130752563,933000,-2745.3959294449655,8.428089,1,0.14080067,82.07112
1000.0,0.014210749,2994.9926295280457,934,0.0,0.1472655,-0.06226694583892822,934000,-2746.070869537483,8.3862295,1,0.1472655,82.52494
1000.0,0.012069803,2999.293710708618,935,0.0,0.09451111,0.6081092953681946,935000,-2742.22463290584,8.360721,1,0.09451111,84.8809
1000.0,0.013622688,3003.151047706604,936,0.0,0.09677457,0.06336408853530884,936000,-2742.260573011048,8.348942,1,0.09677457,85.02498
1000.0,0.0118472325,3006.9990577697754,937,0.0,0.124911085,0.3862566351890564,937000,-2737.497223535891,8.292588,1,0.124911085,86.26057
1000.0,0.014875783,3010.847006082535,938,0.0,0.107970156,-0.11451387405395508,938000,-2750.5013742539645,8.291326,1,0.107970156,83.71465
1000.0,0.01442231,3014.697325706482,939,0.0,0.12960337,0.4965279698371887,939000,-2756.637722049044,8.253951,1,0.12960337,83.02454
1000.0,0.003793934,3018.5529074668884,940,0.0,0.06812215,0.700870931148529,940000,-2763.4803223697663,8.226916,1,0.06812215,81.398926
1000.0,0.0045383666,3022.430784702301,941,0.0,0.09439148,0.4042850136756897,941000,-2764.1858888256775,8.221939,1,0.09439148,80.74363
1000.0,0.0041214125,3026.3070673942566,942,0.0,0.06795797,0.4271063208580017,942000,-2757.715031544137,8.213812,1,0.06795797,81.86875
1000.0,0.003781482,3030.1397697925568,943,0.0,0.09825531,0.7753858715295792,943000,-2752.3293824908774,8.203842,1,0.09825531,81.39885
1000.0,0.004033151,3033.9888820648193,944,0.0,0.08668074,0.8276444375514984,944000,-2759.0911929874574,8.2008505,1,0.08668074,80.26665
1000.0,0.004307256,3037.834418773651,945,0.0,0.08762811,0.7260906100273132,945000,-2760.292248066916,8.198353,1,0.08762811,80.68744
1000.0,0.014344528,3041.6676046848297,946,0.0,0.12226345,0.6467270255088806,946000,-2763.9160379879877,8.19495,1,0.12226345,80.19779
1000.0,0.013619295,3045.502340078354,947,0.0,0.15394206,0.7054867446422577,947000,-2770.435844098716,8.187027,1,0.15394206,79.846115
1000.0,0.004082589,3049.3371472358704,948,0.0,0.07301667,0.5623150765895844,948000,-2762.3004260670305,8.17767,1,0.07301667,81.598915
1000.0,0.013307681,3053.164293527603,949,0.0,0.15176739,0.6548844873905182,949000,-2759.704425518245,8.184023,1,0.15176739,82.04939
1000.0,0.014475118,3056.9731080532074,950,0.0,0.15668488,0.8007565140724182,950000,-2762.6355769853785,8.188658,1,0.15668488,81.88338
1000.0,0.0042208517,3060.760896205902,951,0.0,0.08984618,0.8284021764993668,951000,-2756.1435703700536,8.184385,1,0.08984618,83.160995
1000.0,0.013875232,3064.5255558490753,952,0.0,0.109868884,0.0847938060760498,952000,-2750.5415663406757,8.167722,1,0.109868884,84.61591
1000.0,0.014554862,3068.3154208660126,953,0.0,0.14467312,0.3345370292663574,953000,-2747.864163162937,8.174377,1,0.14467312,86.33236
1000.0,0.0040404564,3072.0960173606873,954,0.0,0.078844234,0.6616943180561066,954000,-2745.256418822721,8.170528,1,0.078844234,87.35858
1000.0,0.004819598,3075.877675294876,955,0.0,0.0876313,0.14436709880828857,955000,-2744.469681857699,8.158751,1,0.0876313,84.09389
1000.0,0.0039091557,3079.6519351005554,956,0.0,0.07634176,0.4656038284301758,956000,-2737.247085927313,8.167236,1,0.07634176,83.76366
1000.0,0.0038942099,3083.4714484214783,957,0.0,0.080256455,0.713331937789917,957000,-2739.386850756814,8.168503,1,0.080256455,83.62754
1000.0,0.012843663,3087.318489551544,958,0.0,0.12946847,0.5098861157894135,958000,-2732.6020048137825,8.128906,1,0.12946847,85.40354
1000.0,0.0041630478,3091.2023437023163,959,0.0,0.09037484,0.8359069973230362,959000,-2741.5743455536685,8.126941,1,0.09037484,85.102905
1000.0,0.0038276864,3095.092959880829,960,0.0,0.081204355,0.3848761320114136,960000,-2740.933236010304,8.119217,1,0.081204355,85.43707
1000.0,0.004009256,3098.974975347519,961,0.0,0.080385774,0.258855402469635,961000,-2743.897530635969,8.104802,1,0.080385774,87.2668
1000.0,0.004179633,3102.9148054122925,962,0.0,0.08835618,0.5379953682422638,962000,-2744.998683366124,8.119444,1,0.08835618,87.56642
1000.0,0.0041975356,3106.8647553920746,963,0.0,0.07764362,0.504711776971817,963000,-2740.5424630119983,8.085146,1,0.07764362,89.30101
1000.0,0.0041177394,3110.7348697185516,964,0.0,0.06953123,-0.3060488700866699,964000,-2742.6078386387244,8.0793,1,0.06953123,88.95079
1000.0,0.013652254,3114.587564468384,965,0.0,0.11589282,0.6107034385204315,965000,-2738.162422824209,8.080763,1,0.11589282,89.047745
1000.0,0.014827455,3118.4230811595917,966,0.0,0.13673142,0.22552454471588135,966000,-2741.1643607806113,8.057675,1,0.13673142,89.21919
1000.0,0.004499276,3122.2668392658234,967,0.0,0.07055661,-0.08817100524902344,967000,-2736.548890740305,8.065739,1,0.07055661,91.49196
1000.0,0.004200969,3126.098092317581,968,0.0,0.07326174,0.5588103234767914,968000,-2735.407723215045,8.024535,1,0.07326174,93.01969
1000.0,0.004716481,3129.9185807704926,969,0.0,0.095589265,0.8009772151708603,969000,-2741.1675203304258,8.021426,1,0.095589265,91.38813
