entloss,EpTrueRewMean,TimestepsSoFar,optimgain,EpLenMean,meankl,EpisodesSoFar,TimeElapsed,surrgain,EpThisIter,entropy,ev_tdlam_before,EpRewMean
0.0,-4939.912780160163,819000,0.066324055,1000.0,0.0046139304,819,2588.145589351654,0.066324055,1,5.145258,0.8803272992372513,371.5494
0.0,-4989.906483188187,820000,0.050504908,1000.0,0.011566272,820,2591.586854696274,0.050504908,1,5.097052,0.7572717517614365,385.09625
0.0,-5030.138313177937,821000,0.028984364,1000.0,0.01018123,821,2595.460130929947,0.028984364,1,5.0774117,0.8076675832271576,395.30048
0.0,-5067.734745838758,822000,0.026555043,1000.0,0.00964343,822,2598.944883108139,0.026555043,1,5.1580586,0.8516017645597458,400.5943
0.0,-5106.106601743538,823000,0.06341078,1000.0,0.01014581,823,2602.428686618805,0.06341078,1,5.1608086,0.9534641019999981,399.5252
0.0,-5141.780453030161,824000,0.09052897,1000.0,0.007037676,824,2605.906580209732,0.09052897,1,5.219887,0.26749593019485474,403.08398
0.0,-5201.365198664857,825000,0.6051619,1000.0,0.013890021,825,2609.3795850276947,0.6051619,1,5.261029,0.9275403469800949,394.04813
0.0,-5225.167461024215,826000,0.07389171,1000.0,0.00542913,826,2612.863176584244,0.07389171,1,5.2699633,-0.02465963363647461,390.07104
0.0,-5228.095031304273,827000,0.101823315,1000.0,0.01401508,827,2616.3215596675873,0.101823315,1,5.2513423,0.28631412982940674,383.58145
0.0,-5247.275610254816,828000,0.061934438,1000.0,0.0064795753,828,2619.8024916648865,0.061934438,1,5.2534804,-0.009747147560119629,377.15753
0.0,-5264.71941613003,829000,0.085416466,1000.0,0.011380102,829,2623.2740285396576,0.085416466,1,5.319052,-0.22133994102478027,364.9125
0.0,-5294.559028959813,830000,0.08077955,1000.0,0.0063879862,830,2626.7672576904297,0.08077955,1,5.313825,-0.07238316535949707,360.39313
0.0,-5319.314680784963,831000,0.07131077,1000.0,0.011769288,831,2630.249042749405,0.07131077,1,5.2494555,0.698638528585434,356.44366
0.0,-5343.447460633664,832000,0.12852886,1000.0,0.014029648,832,2633.731743812561,0.12852886,1,5.28039,0.59834423661232,350.0825
0.0,-5363.4639976495555,833000,0.06419286,1000.0,0.003740103,833,2637.2044966220856,0.06419286,1,5.263954,0.13277816772460938,345.38788
0.0,-5384.072937889371,834000,0.029990144,1000.0,0.012457665,834,2640.6960093975067,0.029990144,1,5.2728877,-0.16397857666015625,341.98532
0.0,-5384.014255375907,835000,0.059806526,1000.0,0.0066464916,835,2644.172463417053,0.059806526,1,5.2455826,-0.14868879318237305,341.14297
0.0,-5404.245484210214,836000,0.029801467,1000.0,0.0046266005,836,2647.6685326099396,0.029801467,1,5.2273574,-0.12087750434875488,338.43988
0.0,-5419.932157125705,837000,0.2870717,1000.0,0.0048435414,837,2651.1646518707275,0.2870717,1,5.1982203,-0.2427576780319214,337.3487
0.0,-5434.702722883545,838000,0.16409397,1000.0,0.0125641115,838,2654.626447916031,0.16409397,1,5.2187486,0.51380255818367,336.4406
0.0,-5456.223433311753,839000,0.08330336,1000.0,0.0040129637,839,2658.117491722107,0.08330336,1,5.222041,0.4492935538291931,335.57037
0.0,-5439.177557282975,840000,0.089750126,1000.0,0.013387081,840,2661.5929646492004,0.089750126,1,5.2506537,0.5302712917327881,351.75714
0.0,-5419.418026471944,841000,0.043170206,1000.0,0.0066063823,841,2665.0741345882416,0.043170206,1,5.241294,0.5011892914772034,374.93536
0.0,-5412.046053784944,842000,0.11761423,1000.0,0.014309685,842,2668.5427844524384,0.11761423,1,5.239239,0.7651787549257278,378.99738
0.0,-5407.034127824734,843000,0.10553029,1000.0,0.0124612,843,2672.011025905609,0.10553029,1,5.2057114,-0.09847187995910645,380.26532
0.0,-5429.076374220441,844000,0.6690282,1000.0,0.011387005,844,2675.471612930298,0.6690282,1,5.2141905,-0.03307700157165527,411.91766
0.0,-5448.971740000785,845000,0.036408864,1000.0,0.0051033725,845,2678.9117481708527,0.036408864,1,5.2525253,0.42558395862579346,441.7063
0.0,-5471.13228102305,846000,0.031447265,1000.0,0.010582067,846,2682.369028568268,0.031447265,1,5.2387133,0.9010580256581306,444.00122
0.0,-5500.805999828985,847000,0.10761556,1000.0,0.011818698,847,2685.8682458400726,0.10761556,1,5.223811,-0.05851006507873535,448.0585
0.0,-5526.72867157819,848000,0.43271354,1000.0,0.009905985,848,2689.371397256851,0.43271354,1,5.2453995,-0.054699063301086426,455.34488
0.0,-5555.804041007346,849000,0.09894267,1000.0,0.010456754,849,2692.8688848018646,0.09894267,1,5.2370987,-0.028222203254699707,455.26923
0.0,-5582.214627681537,850000,0.27226177,1000.0,0.010961615,850,2696.3676059246063,0.27226177,1,5.254577,-0.025921940803527832,453.13153
0.0,-5609.209003545603,851000,0.034142464,1000.0,0.005794763,851,2699.8428020477295,0.034142464,1,5.274392,0.747509628534317,452.19037
0.0,-5591.556180579348,852000,0.081136756,1000.0,0.01097065,852,2703.3164117336273,0.081136756,1,5.2450943,-0.22080755233764648,453.24005
0.0,-5561.249945774558,853000,0.09075751,1000.0,0.012676275,853,2706.7716817855835,0.09075751,1,5.2656875,0.25966590642929077,448.4293
0.0,-5557.721843565388,854000,0.0386904,1000.0,0.0056602294,854,2710.246324777603,0.0386904,1,5.3087153,-0.005285024642944336,453.11456
