entloss,EpThisIter,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,TimestepsSoFar,meankl,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,optimgain
0.0,13,22.29961,1496,23.598967,0.8232961744070053,102556,0.0116057135,3208.9107921123505,84.625,403.8825337639476,0.24436793,0.24436793
0.0,11,21.15536,1507,23.58385,0.7537916153669357,103600,0.01123675,3245.676810979843,85.35,403.9746873623963,0.2332066,0.2332066
0.0,13,20.89578,1520,23.575642,0.7768343091011047,104585,0.013270365,3269.1838839054108,82.375,391.8983666751868,0.25404674,0.25404674
0.0,10,21.688124,1530,23.571135,0.7750009149312973,105490,0.012530409,3291.9604399204254,84.85,404.454393091871,0.2734024,0.2734024
0.0,12,21.973398,1542,23.56885,0.8045893311500549,106509,0.0115402285,3315.271525144577,84.725,404.07377281504085,0.25895572,0.25895572
0.0,13,20.506046,1555,23.568514,0.8453283458948135,107523,0.012389673,3337.8401560783386,81.55,389.2924776727673,0.34434444,0.34434444
0.0,12,20.67757,1567,23.56885,0.871230810880661,108579,0.011576309,3360.2302701473236,83.075,392.7844955487975,0.22830272,0.22830272
0.0,13,20.046139,1580,23.552868,0.8924936428666115,109640,0.013206028,3383.096041202545,82.275,391.92626157725437,0.30092528,0.30092528
0.0,14,19.827991,1594,23.54244,0.8120952099561691,110730,0.012944575,3405.73321890831,82.45,392.30192639133776,0.27718088,0.27718088
0.0,13,20.01953,1607,23.542967,0.8777198493480682,111753,0.010710182,3428.5638020038605,79.35,387.0839015607386,0.22964218,0.22964218
0.0,13,20.645634,1620,23.534504,0.8513716012239456,112740,0.01170598,3451.2136850357056,77.5,383.3221814510945,0.2686974,0.2686974
0.0,13,21.097813,1633,23.538935,0.8240023255348206,113837,0.012049345,3474.1421461105347,79.8,397.6360415265823,0.25890666,0.25890666
0.0,12,21.604498,1645,23.536495,0.8268021047115326,114859,0.012460166,3496.915452003479,81.625,407.1287636040885,0.24223159,0.24223159
0.0,13,19.96396,1658,23.544962,0.8369254171848297,115871,0.01210696,3519.6916179656982,81.75,402.95167942076466,0.2609138,0.2609138
0.0,13,20.020157,1671,23.540493,0.7975289076566696,116884,0.012150101,3542.3783552646637,79.8,398.67508761673014,0.26326203,0.26326203
0.0,12,18.887274,1683,23.533724,0.8633274734020233,117917,0.012060722,3565.5047080516815,79.7,391.99597954240267,0.26552904,0.26552904
0.0,12,19.515026,1695,23.528448,0.8152448385953903,118970,0.011698047,3588.4810440540314,82.75,406.2560792623162,0.22944173,0.22944173
0.0,15,20.284733,1710,23.52425,0.8124244213104248,120110,0.0118719265,3611.4488842487335,83.05,405.8265597979022,0.22295609,0.22295609
0.0,12,21.050951,1722,23.522596,0.789552167057991,121115,0.012259739,3634.4742090702057,83.625,411.71029843129327,0.25016105,0.25016105
0.0,13,21.342466,1735,23.517933,0.8467351049184799,122122,0.012744026,3657.20764708519,78.8,395.37788778469286,0.28811166,0.28811166
0.0,14,20.601934,1749,23.51468,0.6982776522636414,123184,0.011999414,3680.189414024353,79.275,398.0874234193089,0.30031538,0.30031538
0.0,13,20.160748,1762,23.504879,0.7594669610261917,124218,0.012349826,3702.9098660945892,77.575,390.51404169254135,0.2631633,0.2631633
0.0,14,19.756643,1776,23.49756,0.847208634018898,125241,0.012343813,3725.636489868164,76.375,382.97460552146197,0.24295664,0.24295664
0.0,14,20.00517,1790,23.497889,0.8777937591075897,126268,0.012672838,3748.4384281635284,75.125,377.13890225808393,0.26073796,0.26073796
0.0,14,18.606152,1804,23.486813,0.8271601051092148,127311,0.013008172,3771.0668652057648,73.75,369.6166111021834,0.23378474,0.23378474
0.0,13,18.5304,1817,23.478062,0.821825698018074,128303,0.012189493,3793.869724035263,74.85,374.72157776440787,0.25572127,0.25572127
0.0,13,18.066801,1830,23.477177,0.8363680392503738,129395,0.012733614,3817.1217861175537,78.175,390.3309528343772,0.26889646,0.26889646
0.0,13,18.964422,1843,23.47624,0.8522431552410126,130384,0.01248356,3839.85142493248,78.325,391.56993411986406,0.2450105,0.2450105
0.0,13,19.5088,1856,23.480635,0.8284885287284851,131406,0.012002689,3862.6718072891235,79.2,396.9311834716925,0.32789415,0.32789415
0.0,14,19.833149,1870,23.481604,0.8660243302583694,132439,0.0144684035,3886.6097240448,76.1,385.05799083062,0.24920742,0.24920742
0.0,13,20.053173,1883,23.473637,0.808917373418808,133489,0.011890458,3910.857738018036,77.625,394.2552852104894,0.32439184,0.32439184
0.0,15,19.076145,1898,23.475939,0.868338406085968,134508,0.011718234,3933.5269219875336,72.95,371.3090220697262,0.2362849,0.2362849
0.0,14,18.566341,1912,23.472128,0.8517846614122391,135552,0.011985914,3956.5614519119263,74.45,375.96091217541596,0.23865461,0.23865461
0.0,15,17.200108,1927,23.470829,0.8503347486257553,136591,0.011076279,3979.4140310287476,71.275,359.534238278735,0.23094842,0.23094842
0.0,15,16.978586,1942,23.476065,0.8733501136302948,137573,0.011442147,4002.2795691490173,68.5,347.8830258917363,0.23231086,0.23231086
0.0,15,15.858411,1957,23.471355,0.8928182944655418,138621,0.014108381,4025.225606203079,67.55,344.7405057324037,0.30292907,0.30292907
0.0,14,15.852056,1971,23.467325,0.8102472424507141,139671,0.012197538,4048.1453201770782,70.875,358.7764247786987,0.21077862,0.21077862
0.0,14,15.012991,1985,23.454456,0.8443907499313354,140653,0.0120485695,4071.519161939621,71.4,360.73333048449774,0.23987347,0.23987347
0.0,14,15.673279,1999,23.448277,0.8311081677675247,141663,0.011766674,4094.700854063034,71.975,362.9974183420064,0.23989376,0.23989376
0.0,14,15.497638,2013,23.447224,0.8121704310178757,142708,0.012187446,4117.801778078079,72.525,367.71305515314816,0.25619537,0.25619537
0.0,15,16.585314,2028,23.454746,0.8495888262987137,143784,0.011970368,4140.884724140167,72.325,367.8418028548882,0.3059138,0.3059138
