surrgain,EpRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,EpTrueRewMean,EpThisIter,entloss,TimeElapsed,optimgain
0.064275116,534.5505,0.0071734246,807.45,8.192198,64095,245,0.01898181438446045,697.7832240391665,1,0.0,256.61057567596436,0.064275116
0.07470636,545.73114,0.0070721554,826.15,8.183853,65295,247,0.5866250991821289,727.0578896227903,2,0.0,260.6120216846466,0.07470636
0.07921048,543.43713,0.0066113425,826.15,8.186091,66295,248,0.6828762590885162,724.489475923345,1,0.0,264.6075210571289,0.07921048
0.05695937,541.0836,0.0068635596,826.15,8.158935,67295,249,-0.01730048656463623,722.8226675663957,1,0.0,268.6031069755554,0.05695937
0.07127774,539.5223,0.0075320587,826.15,8.154675,68295,250,-0.13688015937805176,726.2786811238071,1,0.0,272.60062432289124,0.07127774
0.094947584,537.47797,0.0068394653,826.15,8.147631,69295,251,-0.27598536014556885,731.0880996823523,1,0.0,276.60860538482666,0.094947584
0.055211,542.45667,0.0076639266,835.7,8.144485,70295,252,-0.15184855461120605,746.0313704034081,1,0.0,280.6069052219391,0.055211
0.062192,540.5728,0.006639451,835.7,8.108639,71295,253,-0.11802947521209717,750.4516672116246,1,0.0,284.60873675346375,0.062192
0.06379047,538.368,0.0065143323,835.7,8.0804405,72295,254,-0.0020284652709960938,749.1665266462364,1,0.0,288.6100685596466,0.06379047
0.11076387,536.9789,0.006850764,835.7,8.088303,73295,255,-0.39676523208618164,754.8600015387123,1,0.0,292.6056618690491,0.11076387
0.07408795,534.5323,0.0077557866,835.7,8.090442,74295,256,-0.04364001750946045,757.5129155227003,1,0.0,296.5993957519531,0.07408795
0.06481846,532.34485,0.0068809465,835.7,8.093861,75295,257,-0.06857216358184814,756.2795295247504,1,0.0,300.5966787338257,0.06481846
0.07320872,531.20105,0.008439187,839.425,8.109678,76676,259,0.46305620670318604,753.4387647822682,2,0.0,304.6067600250244,0.07320872
0.06271829,529.0852,0.0069970544,839.425,8.109008,77676,260,-0.0021861791610717773,756.1399686194237,1,0.0,308.60994243621826,0.06271829
0.0818971,530.733,0.00788329,844.8,8.110031,78676,261,0.15874165296554565,761.4651643590445,1,0.0,312.6143686771393,0.0818971
0.074341565,514.7084,0.0071381647,823.625,8.141923,79829,263,0.633649617433548,744.9315827130774,2,0.0,316.626168012619,0.074341565
0.061547596,521.4641,0.006911145,836.95,8.153073,80829,264,-0.0015261173248291016,753.6733046219775,1,0.0,320.64480352401733,0.061547596
0.06226578,529.4017,0.0076104333,852.575,8.148437,81829,265,-0.004041194915771484,763.0960141039559,1,0.0,324.6575663089752,0.06226578
0.07725316,511.8087,0.0068153036,828.9,8.155759,83052,268,0.5244258344173431,745.4114370113073,3,0.0,328.6550118923187,0.07725316
0.08730331,510.11392,0.007072771,828.9,8.166215,84052,269,-0.116455078125,745.5205938493237,1,0.0,332.6547782421112,0.08730331
0.080862254,507.8896,0.007033907,828.9,8.165879,85052,270,-0.19181740283966064,742.0685397183474,1,0.0,336.6666314601898,0.080862254
0.077171616,502.0988,0.0076238518,824.4,8.184329,86872,272,0.5353517532348633,741.475500479831,2,0.0,340.67804646492004,0.077171616
0.06971195,499.82977,0.006498187,824.4,8.178207,87872,273,0.04276543855667114,738.8394904167887,1,0.0,344.69237518310547,0.06971195
0.089171216,484.40488,0.006866254,802.5,8.162184,88996,275,0.02947413921356201,721.1055982348395,2,0.0,348.7031056880951,0.089171216
