EpLenMean,EpTrueRewMean,EpRewMean,entropy,EpisodesSoFar,optimgain,EpThisIter,ev_tdlam_before,meankl,surrgain,TimestepsSoFar,TimeElapsed,entloss
57.4,266.28011003858,31.363134,23.813227,633,0.17160933,18,0.8240104466676712,0.00853551,0.17160933,23551,107.39826679229736,0.0
60.125,277.30827905291335,31.958843,23.798891,649,0.20846216,16,0.8220923542976379,0.008719588,0.20846216,24588,111.94767022132874,0.0
63.025,292.48700200114143,32.51677,23.765627,666,0.20812243,17,0.7123432159423828,0.0085694045,0.20812243,25630,116.50117182731628,0.0
60.0,280.15762546385906,30.357525,23.740961,684,0.19714202,18,0.8307348787784576,0.0087426705,0.19714202,26645,121.06628894805908,0.0
62.575,294.16724350779856,30.890635,23.706524,700,0.20007336,16,0.8102205693721771,0.008742141,0.20007336,27716,125.64780497550964,0.0
65.675,310.22950574905497,31.263264,23.702372,715,0.20081897,15,0.853536382317543,0.008817222,0.20081897,28731,130.23290967941284,0.0
66.7,311.7183393090935,30.584866,23.686522,730,0.20448634,15,0.8360875397920609,0.009884015,0.20448634,29739,134.82255721092224,0.0
70.2,326.9609936071427,31.623419,23.697021,743,0.20523028,13,0.8400261253118515,0.009472197,0.20523028,30734,139.40176963806152,0.0
72.35,335.93863024298054,32.197582,23.676023,757,0.22305472,14,0.8282106816768646,0.009476978,0.22305472,31715,143.98393392562866,0.0
72.9,338.55146768292894,32.329704,23.67309,771,0.21015668,14,0.8296346664428711,0.009327682,0.21015668,32718,148.54708528518677,0.0
72.25,337.98239694228494,31.496113,23.659918,785,0.21731192,14,0.8519331514835358,0.008963347,0.21731192,33735,153.11478519439697,0.0
71.85,336.5007688955676,30.942852,23.670965,799,0.18921909,14,0.8893785551190376,0.009632774,0.18921909,34730,157.69682145118713,0.0
68.725,325.0099570404056,29.434616,23.687254,815,0.21893747,16,0.8484985530376434,0.010067145,0.21893747,35743,162.32272624969482,0.0
66.025,311.0963661784079,27.890696,23.659504,830,0.3113203,15,0.8910734578967094,0.009466788,0.3113203,36779,166.9049437046051,0.0
67.05,314.54793397197534,27.71577,23.65236,845,0.22723179,15,0.8950010314583778,0.009673688,0.22723179,37782,171.47700762748718,0.0
69.95,322.5471381602398,28.495792,23.671694,860,0.24450581,15,0.7952282428741455,0.010562747,0.24450581,38855,176.03808188438416,0.0
72.7,334.5872572854352,29.514587,23.656672,874,0.22836083,14,0.876161016523838,0.010651654,0.22836083,39915,180.62454509735107,0.0
73.75,338.898621020174,29.583126,23.670902,887,0.21847662,13,0.8330206573009491,0.0100266,0.21847662,40900,185.37783432006836,0.0
72.45,337.3298166481155,28.714895,23.6451,902,0.23793781,15,0.8898056074976921,0.0104786735,0.23793781,41899,189.90487432479858,0.0
74.175,347.51351765327047,29.382278,23.621662,915,0.2217543,13,0.8228918612003326,0.0105144195,0.2217543,42933,194.43241381645203,0.0
74.425,350.4702204373837,28.9268,23.645082,928,0.24507238,13,0.7959787547588348,0.009513164,0.24507238,43968,198.97777605056763,0.0
78.675,373.3819496575847,29.947128,23.623295,942,0.2081665,14,0.8436159491539001,0.010449451,0.2081665,45046,203.4939489364624,0.0
79.375,374.58059780234413,29.672031,23.58856,955,0.25501058,13,0.8492964059114456,0.010431636,0.25501058,46108,208.12757563591003,0.0
77.1,363.37637142546066,28.974863,23.590801,969,0.22037855,14,0.8135148286819458,0.010945721,0.22037855,47118,212.7034592628479,0.0
76.175,357.2405528375696,28.645996,23.566713,982,0.23011065,13,0.8092976361513138,0.010245297,0.23011065,48093,217.38175868988037,0.0
72.975,345.73015518339764,27.63396,23.555342,997,0.20653471,15,0.8988652601838112,0.010473311,0.20653471,49144,222.01814198493958,0.0
71.8,340.9159603811483,26.685383,23.535482,1012,0.21697345,15,0.8605315834283829,0.010429628,0.21697345,50179,226.6158561706543,0.0
75.7,357.5840862109798,27.376118,23.5342,1024,0.21471995,12,0.8132632225751877,0.0098934015,0.21471995,51248,231.22969818115234,0.0
76.15,359.44914377050287,27.080297,23.54193,1038,0.23023884,14,0.8860474228858948,0.01161015,0.23023884,52253,235.83440589904785,0.0
76.85,367.5484325411238,27.864344,23.54051,1052,0.21313354,14,0.8185171633958817,0.010914478,0.21313354,53253,240.44759941101074,0.0
77.35,368.59993034732247,28.023266,23.532248,1063,0.25245166,11,0.8343636095523834,0.010399788,0.25245166,54273,245.39520454406738,0.0
80.35,378.6873478257923,28.568686,23.525713,1075,0.23324269,12,0.84742471575737,0.0113814045,0.23324269,55225,250.79742860794067,0.0
80.25,374.9188515314885,27.824055,23.508139,1088,0.26517373,13,0.8899388760328293,0.011589868,0.26517373,56212,255.80223608016968,0.0
79.675,366.8355653395468,27.443045,23.50976,1102,0.24604696,14,0.8652636408805847,0.01157636,0.24604696,57289,261.33350467681885,0.0
75.75,347.86495036355063,26.803589,23.524967,1116,0.21781288,14,0.8531515747308731,0.011056157,0.21781288,58297,265.9803419113159,0.0
76.6,348.17530617911785,27.000061,23.50539,1128,0.24669439,12,0.8616878986358643,0.0104654115,0.24669439,59276,270.66370129585266,0.0
71.925,328.31684261901364,25.567225,23.507502,1144,0.2734192,16,0.9016741663217545,0.012002875,0.2734192,60313,275.2996575832367,0.0
75.125,349.1087420795916,26.612385,23.505148,1155,0.26138023,11,0.857524573802948,0.011527895,0.26138023,61259,279.95875787734985,0.0
74.525,345.62628747138234,26.054539,23.511719,1169,0.25823838,14,0.8224615007638931,0.012047322,0.25823838,62322,285.08243703842163,0.0
77.525,360.7194107132573,27.204132,23.49909,1183,0.26050317,14,0.85660819709301,0.011034239,0.26050317,63368,289.70300698280334,0.0
77.65,361.25031211085377,26.615488,23.488348,1195,0.21857485,12,0.8622978925704956,0.011257018,0.21857485,64365,294.3374037742615,0.0
74.725,347.6763946552479,25.969656,23.488527,1210,0.24775824,15,0.8403189480304718,0.012773536,0.24775824,65385,298.95540714263916,0.0
75.975,353.9269218975564,26.268494,23.490234,1222,0.25860333,12,0.7566219866275787,0.011902295,0.25860333,66336,303.58981800079346,0.0
73.25,342.2485843190339,25.7927,23.476068,1236,0.23999281,14,0.8681804686784744,0.011581651,0.23999281,67364,308.21139335632324,0.0
77.875,364.70549507423107,26.869028,23.473394,1248,0.4374991,12,0.8503779768943787,0.012911173,0.4374991,68380,312.8327443599701,0.0
78.975,370.79372607244557,26.755188,23.4607,1261,0.27062023,13,0.8444077670574188,0.012284895,0.27062023,69393,317.43849754333496,0.0
77.3,360.1195780021205,26.405045,23.473637,1275,0.25471318,14,0.8141483515501022,0.011852518,0.25471318,70391,322.0014600753784,0.0
75.45,350.1666931619073,26.134562,23.444824,1289,0.24354878,14,0.8977747112512589,0.012388607,0.24354878,71477,326.5574290752411,0.0
76.95,357.9786338198436,26.58488,23.448236,1302,0.25543183,13,0.8796871080994606,0.01216246,0.25543183,72522,331.0997655391693,0.0
77.2,358.4983084049612,26.15691,23.445864,1316,0.27585357,14,0.8667731732130051,0.013036699,0.27585357,73563,335.6648874282837,0.0
80.15,370.46242604803155,27.044315,23.454508,1329,0.26155382,13,0.9101325795054436,0.011171127,0.26155382,74683,340.2335686683655,0.0
80.8,371.34492303326016,27.688557,23.452616,1341,0.28665155,12,0.8638359010219574,0.012208894,0.28665155,75681,344.8122549057007,0.0
82.35,379.96309519842913,28.224468,23.441875,1354,0.23639104,13,0.8144488483667374,0.013357651,0.23639104,76743,349.35849618911743,0.0
82.125,380.72561124958776,28.217304,23.440912,1366,0.25965166,12,0.8387013077735901,0.011862252,0.25965166,77715,353.9312183856964,0.0
82.275,390.1402896963799,27.564224,23.429667,1378,0.2902606,12,0.8523673266172409,0.012071579,0.2902606,78714,358.5092816352844,0.0
83.45,392.5299796268772,27.673656,23.413336,1390,0.22986615,12,0.8835708647966385,0.012031842,0.22986615,79704,363.07827401161194,0.0
80.0,377.1421199008752,25.987011,23.402815,1404,0.2831975,14,0.8723192512989044,0.012627243,0.2831975,80737,367.6444504261017,0.0
77.675,360.19928778762176,25.824198,23.409174,1417,0.26387706,13,0.8608061671257019,0.012144527,0.26387706,81757,372.20881938934326,0.0
74.575,346.33103910194353,24.712563,23.420717,1431,0.30044234,14,0.8878352120518684,0.0135440035,0.30044234,82773,377.1770541667938,0.0
78.125,358.1260117512064,26.197443,23.408693,1443,0.25525814,12,0.846163809299469,0.013090178,0.25525814,83789,381.74137806892395,0.0
82.65,382.68554413369094,27.040363,23.414545,1455,0.30313388,12,0.8398598581552505,0.013037331,0.30313388,84858,386.33360981941223,0.0
86.075,399.0852796654026,27.765377,23.399921,1466,0.2574002,11,0.9084751978516579,0.013072893,0.2574002,85831,390.90337562561035,0.0
88.0,412.8323765334006,28.582596,23.399334,1477,0.31793255,11,0.7581158876419067,0.01304313,0.31793255,86818,395.4809272289276,0.0
84.45,401.6867070403754,27.039276,23.397932,1490,0.27237263,13,0.8520021587610245,0.013036241,0.27237263,87875,400.0487322807312,0.0
