TimeElapsed,entloss,EpTrueRewMean,EpThisIter,EpLenMean,TimestepsSoFar,meankl,EpRewMean,ev_tdlam_before,EpisodesSoFar,entropy,optimgain,surrgain
1117.0840692520142,0.0,871.4076001400383,1,619.375,218885,0.01006406,46.333725,0.8580667972564697,393,3.922858,0.06530479,0.06530479
1122.2439935207367,0.0,879.4015371837628,1,621.2,219355,0.009628871,46.307037,0.8603988289833069,394,3.9460812,0.08324996,0.08324996
1127.405240058899,0.0,868.9531971738958,1,608.6,219851,0.008759033,45.09023,0.7303514778614044,395,3.930235,0.099412516,0.099412516
1132.5702376365662,0.0,869.952178605841,1,608.6,220851,0.009945091,44.387688,-0.00037288665771484375,396,3.938141,0.056267153,0.056267153
1137.7386147975922,0.0,871.4501337140184,1,609.95,221604,0.0089911,43.783195,0.9082853049039841,397,3.9255064,0.09965761,0.09965761
1142.9055440425873,0.0,893.9447147771092,1,622.025,222307,0.009034599,44.95038,0.1831979751586914,398,3.9338381,0.09004299,0.09004299
1148.0649709701538,0.0,926.2823945253929,1,645.2,223307,0.008732453,46.234886,-0.007430315017700195,399,3.9267519,0.056969088,0.056969088
1153.229208946228,0.0,943.2888654830695,2,654.15,224901,0.0107035,45.80033,0.5609125196933746,401,3.9354002,0.059938394,0.059938394
1158.401867866516,0.0,940.817439018748,1,654.15,225901,0.00887369,45.238415,0.002361595630645752,402,3.9276197,0.0508433,0.0508433
1163.5594463348389,0.0,964.7537964799889,1,672.025,226901,0.009397219,45.97339,0.01057732105255127,403,3.90378,0.054818023,0.054818023
1168.7115335464478,0.0,967.7197257043381,1,668.725,227496,0.010384324,45.63137,0.6251544654369354,404,3.920143,0.10442546,0.10442546
1173.8725898265839,0.0,984.4542623237109,1,680.625,228059,0.0116025135,46.24632,0.015543758869171143,405,3.910034,0.0598083,0.0598083
1179.0268416404724,0.0,986.7547123402985,1,685.95,229059,0.008709522,45.73347,-0.0077713727951049805,406,3.9035876,0.050069295,0.050069295
1184.1900539398193,0.0,999.7768809560766,1,694.775,229717,0.007905506,45.78553,0.7282754480838776,407,3.9111342,0.0662024,0.0662024
1189.3420858383179,0.0,1001.2450422949292,3,684.45,231084,0.008956781,44.667725,0.4523146152496338,410,3.9134276,0.071006574,0.071006574
1194.5045981407166,0.0,1007.4640226592217,2,687.7,232356,0.01036004,44.251884,0.4038226008415222,412,3.9090955,0.066069454,0.066069454
1199.662134885788,0.0,1008.1958349412043,1,687.7,233356,0.009847969,43.72532,-0.0503382682800293,413,3.8815913,0.06244879,0.06244879
1204.818353652954,0.0,1000.4346770505933,1,679.625,234033,0.010366311,43.20744,0.6386008858680725,414,3.8618486,0.07340118,0.07340118
1209.977935552597,0.0,1018.4547056841586,2,690.375,235583,0.009588698,43.363655,0.5396705269813538,416,3.8653486,0.05709406,0.05709406
1215.1355285644531,0.0,1025.5950172740927,3,692.8,236709,0.0090243,43.807243,0.6633149087429047,419,3.8738117,0.091929175,0.091929175
1220.3012046813965,0.0,1030.3063322005023,2,697.075,237456,0.010336253,44.082664,0.07418930530548096,421,3.8849797,0.09398402,0.09398402
1225.4548642635345,0.0,998.8261172271395,3,669.45,238822,0.009682837,42.64457,0.7095299959182739,424,3.87287,0.086675085,0.086675085
