meankl,entropy,surrgain,entloss,EpThisIter,EpisodesSoFar,TimeElapsed,optimgain,ev_tdlam_before,EpLenMean,EpRewMean,TimestepsSoFar
0.008532779,1.4189401,0.009769564,0.0,4,47,12.005855083465576,0.009769564,0.931358627974987,287.725,63.29096327125448,17256
0.008897492,1.4189401,0.0061713643,0.0,7,54,12.66567850112915,0.0061713643,0.8742344677448273,217.2,69.86897445403466,18376
0.008021627,1.4189401,0.0075123906,0.0,6,60,13.377289533615112,0.0075123906,0.9088529497385025,195.35,71.12316164145633,19302
0.008452901,1.4189401,0.013439913,0.0,6,66,14.066582679748535,0.013439913,0.9073017612099648,185.9,71.3231180234649,20309
0.006009361,1.4189401,0.009126285,0.0,6,72,14.739256143569946,0.009126285,0.9617918916046619,176.55,70.39799579643514,21344
0.0056302436,1.4189401,0.014535577,0.0,8,80,15.413204669952393,0.014535577,0.8483033180236816,166.8,70.14890855618715,22495
0.00783824,1.4189401,0.011566199,0.0,7,87,16.114898443222046,0.011566199,0.9441280290484428,155.1,69.59103181271644,23460
0.009538727,1.4189401,0.01798496,0.0,9,96,16.790457248687744,0.01798496,0.9719834625720978,145.4,69.11120506287965,24523
0.005907748,1.4189401,0.006747693,0.0,9,105,17.48473072052002,0.006747693,0.969817228615284,135.3,68.84894663797685,25580
0.006381573,1.4189401,0.012376107,0.0,9,114,18.196234226226807,0.012376107,0.8984854593873024,122.0,70.71432723885516,26587
0.0043610926,1.4189401,0.007666343,0.0,11,125,18.89718461036682,0.007666343,0.9217556118965149,111.95,72.82390570070345,27622
0.008238313,1.4189401,0.020142913,0.0,9,134,19.597466468811035,0.020142913,0.9701120760291815,105.2,73.2745621099576,28535
0.011203363,1.4189401,0.01561081,0.0,12,146,20.297363996505737,0.01561081,0.9842518549412489,100.625,73.67768253975733,29687
0.009207647,1.4189401,0.0059179496,0.0,11,157,20.99508237838745,0.0059179496,0.950031939893961,94.35,74.71344595465523,30703
0.006538341,1.4189401,0.012694576,0.0,8,165,21.67956018447876,0.012694576,0.8929300978779793,102.2,73.2385676466447,31710
0.0056339987,1.4189401,0.013479477,0.0,9,174,22.36134934425354,0.013479477,0.9357020854949951,104.25,73.20132939625901,32705
0.007925438,1.4189401,0.01139662,0.0,11,185,23.053857564926147,0.01139662,0.8852579519152641,104.45,72.7282157084057,33785
0.00617307,1.4189401,0.01517134,0.0,9,194,23.734601259231567,0.01517134,0.9473638385534286,108.4,71.34103254485349,34807
0.0057210876,1.4189401,0.010181917,0.0,11,205,24.413453340530396,0.010181917,0.9120859727263451,102.025,72.1619607707186,35791
0.009589126,1.4189401,0.014306549,0.0,11,216,25.107489585876465,0.014306549,0.972261356189847,97.125,72.61314660451464,36766
0.007575376,1.4189401,0.022538593,0.0,12,228,25.796836137771606,0.022538593,0.9608801305294037,94.525,73.51225202173906,37881
0.009244155,1.4189401,0.0145929195,0.0,12,240,26.460867404937744,0.0145929195,0.992444287519902,87.2,74.6739999687338,38843
0.0036931403,1.4189401,0.010775374,0.0,13,253,27.15309166908264,0.010775374,0.9932950804941356,85.625,74.55234542052929,39880
0.005239268,1.4189401,0.015935816,0.0,12,265,27.82845187187195,0.015935816,0.8861428052186966,82.675,74.60406080244752,40933
0.005610642,1.4189401,0.0059105633,0.0,12,277,28.519291877746582,0.0059105633,0.9326774626970291,84.15,73.63325926429589,41976
0.004968177,1.4189401,0.0082172975,0.0,11,288,29.225859880447388,0.0082172975,0.9549056105315685,87.2,72.90192936994465,42977
0.007834339,1.4189401,0.011638369,0.0,13,301,29.92748999595642,0.011638369,0.9784972108900547,85.25,72.69562206135008,44021
0.008813299,1.4189401,0.019826528,0.0,13,314,30.610995769500732,0.019826528,0.9938999246805906,83.975,72.25425794188965,45026
0.008522477,1.4189401,0.017890442,0.0,13,327,31.30864644050598,0.017890442,0.9927194630727172,78.5,73.58136329925688,46038
0.005637247,1.4189401,0.015281404,0.0,11,338,31.98938012123108,0.015281404,0.9129061549901962,81.05,73.58928885969517,47027
0.009151867,1.4189401,0.010662555,0.0,14,352,32.69285750389099,0.010662555,0.994118089787662,81.525,74.16782661994452,48124
0.0057552783,1.4189401,0.011145908,0.0,10,362,33.37870478630066,0.011145908,0.7725143581628799,87.5,74.20284087732878,49142
0.008364171,1.4189401,0.0080141695,0.0,13,375,34.08505320549011,0.0080141695,0.9746801294386387,84.6,75.51631108659247,50170
0.0063581574,1.4189401,0.0149937915,0.0,10,385,34.78892397880554,0.0149937915,0.8677024990320206,88.475,75.7038843606307,51106
0.00830443,1.4189401,0.0062432503,0.0,13,398,35.47732758522034,0.0062432503,0.9768622145056725,85.725,75.76904847724305,52158
0.0075097103,1.4189401,0.0075669945,0.0,12,410,36.150790214538574,0.0075669945,0.9726105108857155,84.775,75.8504827935488,53171
0.009065444,1.4189401,0.013426536,0.0,14,424,36.84043049812317,0.013426536,0.9874629899859428,80.575,76.8137496306528,54254
0.007622506,1.4189401,0.022311036,0.0,11,435,37.52384662628174,0.022311036,0.9031246975064278,84.2,76.34701136941041,55293
0.0065454487,1.4189401,0.011757852,0.0,11,446,38.22266888618469,0.011757852,0.9663310274481773,86.8,75.62914640771004,56250
0.008398664,1.4189401,0.015152792,0.0,14,460,38.9230854511261,0.015152792,0.9854213586077094,84.5,74.95397206708715,57330
0.007119712,1.4189401,0.0064615496,0.0,13,473,39.612879276275635,0.0064615496,0.9928607372567058,79.875,75.66509491317512,58338
0.006926856,1.4189401,0.015282801,0.0,13,486,40.30078315734863,0.015282801,0.9907838916406035,77.575,75.7847292704738,59353
0.0076613966,1.4189401,0.012998834,0.0,14,500,40.99999928474426,0.012998834,0.9966512895189226,77.15,76.14193300404516,60416
0.008768341,1.4189401,0.01722867,0.0,12,512,41.66757321357727,0.01722867,0.9923524660989642,78.1,75.2197885687449,61386
0.0073903557,1.4189401,0.01938342,0.0,13,525,42.34172201156616,0.01938342,0.9917599996551871,78.375,74.22609107743227,62415
0.008242012,1.4189401,0.017812487,0.0,14,539,43.04047513008118,0.017812487,0.9942924669012427,78.075,73.37627325542114,63464
0.009723138,1.4189401,0.013597423,0.0,13,552,43.724796295166016,0.013597423,0.9938036203384399,77.25,73.7770466547161,64476
0.0072165546,1.4189401,0.017745834,0.0,13,565,44.400171995162964,0.017745834,0.9931997419334948,77.95,74.44954883257074,65533
0.007741393,1.4189401,0.013858135,0.0,13,578,45.086357831954956,0.013858135,0.9950688532553613,78.375,75.08196669116171,66518
0.008839311,1.4189401,0.011068154,0.0,13,591,45.76869511604309,0.011068154,0.9943238580599427,78.225,76.00209892044707,67527
0.00827384,1.4189401,0.014813782,0.0,13,604,46.44888234138489,0.014813782,0.9462402351200581,78.35,76.30596544247528,68587
