entropy,meankl,entloss,TimestepsSoFar,EpLenMean,surrgain,TimeElapsed,EpTrueRewMean,ev_tdlam_before,EpRewMean,EpThisIter,EpisodesSoFar,optimgain
2.4284854,0.0127407145,0.0,2067006,773.225,0.099807076,8041.142032146454,2484.8859138147805,0.4355124235153198,270.63147,1,3268,0.099807076
2.402069,0.013892939,0.0,2068063,753.25,0.12604348,8045.01682972908,2407.8821498652405,0.799569845199585,265.20367,2,3270,0.12604348
2.3933716,0.012117725,0.0,2069063,775.825,0.10898195,8048.893286705017,2481.2232838655655,0.39577001333236694,271.9214,1,3271,0.10898195
2.3996463,0.012956337,0.0,2070063,775.825,0.097725116,8052.770395994186,2480.373959560619,0.44804471731185913,273.31683,1,3272,0.097725116
2.4151125,0.014436976,0.0,2070503,781.65,0.14846031,8056.637852191925,2502.7761220337925,0.7921729385852814,274.8974,1,3273,0.14846031
2.4028008,0.013088701,0.0,2071503,781.65,0.103547946,8060.513850212097,2508.0921922949383,0.33121299743652344,273.7143,1,3274,0.103547946
2.3645327,0.013112153,0.0,2072503,781.65,0.085539915,8064.386118412018,2512.2431288836233,0.3134743571281433,273.17188,1,3275,0.085539915
2.3893735,0.013360644,0.0,2073503,781.65,0.1268777,8068.258219003677,2521.6029888917706,0.22642725706100464,271.1823,1,3276,0.1268777
2.356344,0.013048985,0.0,2075010,781.15,0.10326497,8072.124816894531,2525.931537922004,0.7526111453771591,269.0322,2,3278,0.10326497
2.3312082,0.013779215,0.0,2076120,772.05,0.1173366,8075.999458312988,2492.7976101132326,0.7464424669742584,263.78436,2,3280,0.1173366
2.3421335,0.0043820557,0.0,2076787,759.075,0.06914146,8079.8815240859985,2440.675857197181,0.7042666077613831,257.23932,2,3282,0.06914146
2.3207498,0.0129487505,0.0,2077787,764.65,0.11581304,8083.749884843826,2470.8012544389576,0.5636829137802124,261.00543,1,3283,0.11581304
2.3284938,0.013536923,0.0,2078787,766.475,0.12013897,8087.634443283081,2481.325994727581,0.4486687183380127,263.76764,1,3284,0.12013897
2.3001912,0.013187173,0.0,2079941,745.325,0.10932241,8091.499617815018,2414.428206031695,0.8617645800113678,257.51672,2,3286,0.10932241
2.2934544,0.011999911,0.0,2080585,742.725,0.12522416,8095.374177694321,2405.893020936865,0.7461886405944824,254.30928,1,3287,0.12522416
2.3023994,0.0039406703,0.0,2080935,729.025,0.07734017,8099.248013019562,2363.82806752909,0.767126053571701,249.15714,1,3288,0.07734017
2.314759,0.01288069,0.0,2082935,756.6,0.10623319,8103.123687505722,2459.7289329856485,0.03175234794616699,258.9598,2,3290,0.10623319
2.31268,0.011634124,0.0,2083935,756.6,0.08049948,8106.990025281906,2459.5186342238053,0.2515717148780823,258.81894,1,3291,0.08049948
2.3071718,0.011917527,0.0,2085307,763.85,0.104751125,8110.8624494075775,2483.479013778433,0.522985428571701,258.9067,2,3293,0.104751125
2.3108115,0.012943028,0.0,2086307,784.5,0.091079354,8114.725700616837,2555.7975960486897,0.29030078649520874,265.19415,1,3294,0.091079354
2.2918692,0.012569493,0.0,2087307,794.85,0.08091563,8118.586379289627,2601.6396260621673,0.34371137619018555,270.15546,1,3295,0.08091563
2.3030386,0.003774358,0.0,2088307,798.6,0.07950412,8122.453339576721,2621.1156532686837,0.5743675231933594,271.72873,1,3296,0.07950412
2.3108554,0.011553313,0.0,2089307,798.6,0.0858873,8126.321470975876,2625.517493593772,0.03175085783004761,271.69864,1,3297,0.0858873
2.299649,0.012330743,0.0,2090307,799.85,0.10230146,8130.199602842331,2635.0098182482907,-0.03265571594238281,271.79562,1,3298,0.10230146
2.2790112,0.0037920591,0.0,2091307,800.6,0.059282254,8134.075325965881,2644.912556078345,0.31486064195632935,270.97534,1,3299,0.059282254
2.2865298,0.0042148824,0.0,2091879,789.9,0.08773951,8137.956666707993,2615.7495048643495,0.7925470471382141,265.37482,1,3300,0.08773951
2.2793102,0.01348177,0.0,2092879,808.325,0.0801401,8141.824607849121,2680.32674440349,-0.011360526084899902,271.32153,1,3301,0.0801401
2.2867556,0.012190936,0.0,2093879,811.5,0.09764502,8145.701432466507,2695.526910538959,0.40497004985809326,273.0515,1,3302,0.09764502
2.2905576,0.014404466,0.0,2094879,811.5,0.10659942,8149.580269813538,2687.202164383329,0.4618397355079651,270.21353,1,3303,0.10659942
2.245696,0.014492163,0.0,2095879,811.5,0.104173705,8153.4443554878235,2691.6145447248673,0.5045863091945648,269.6714,1,3304,0.104173705
2.256239,0.011788195,0.0,2096879,821.825,0.10487576,8157.30810379982,2725.204491809019,0.3514862656593323,273.4964,1,3305,0.10487576
2.2355685,0.012712942,0.0,2097879,821.825,0.0986619,8161.180535316467,2732.9109876874572,0.1937553882598877,273.71152,1,3306,0.0986619
2.2418323,0.013178879,0.0,2098879,821.825,0.11400197,8165.048485517502,2733.32277637979,0.3078368902206421,273.86197,1,3307,0.11400197
2.2578259,0.014177044,0.0,2099879,821.825,0.13664193,8168.91289973259,2736.16894477611,0.047621965408325195,273.50433,1,3308,0.13664193
2.251851,0.013688173,0.0,2101879,845.4,0.121513784,8172.7817187309265,2831.3687158938656,0.29927659034729004,281.19965,2,3310,0.121513784
2.2313535,0.013325276,0.0,2102879,845.4,0.10766615,8176.647230863571,2837.477211484794,0.021659255027770996,281.66418,1,3311,0.10766615
2.2246401,0.013032613,0.0,2104073,839.25,0.115036815,8180.51815199852,2816.5350217534274,0.7714560031890869,279.15497,2,3313,0.115036815
2.1909206,0.01452036,0.0,2105011,837.7,0.12485415,8184.38826584816,2806.543024653385,0.8679833561182022,277.2102,1,3314,0.12485415
2.1857326,0.004476048,0.0,2106011,837.7,0.069146276,8188.262998342514,2816.1267445967624,0.33490651845932007,277.5952,1,3315,0.069146276
2.206909,0.011565473,0.0,2107011,837.7,0.088170424,8192.148932933807,2814.6308642924196,-0.08293294906616211,276.5939,1,3316,0.088170424
2.1973867,0.012544634,0.0,2108011,837.7,0.15484491,8196.04196715355,2816.2484807437368,0.011187613010406494,277.8388,1,3317,0.15484491
2.1872263,0.012882431,0.0,2109314,837.975,0.10693524,8199.921783208847,2838.258120402601,0.7303934991359711,277.89655,2,3319,0.10693524
2.1597903,0.012912555,0.0,2110873,858.85,0.11432031,8203.793605089188,2930.836202135388,0.6684758365154266,288.16617,2,3321,0.11432031
2.1554601,0.0038547786,0.0,2111873,877.15,0.058336385,8207.670947313309,2996.631107934325,0.04571741819381714,294.98123,1,3322,0.058336385
2.1394207,0.013789099,0.0,2112873,877.15,0.12592345,8211.554952383041,2993.675142493086,0.28438323736190796,293.68073,1,3323,0.12592345
2.1597567,0.0133818,0.0,2113873,877.15,0.095706075,8215.421110868454,2998.8490131197404,-0.0685417652130127,291.60287,1,3324,0.095706075
2.1596677,0.011550492,0.0,2114873,879.1,0.09750741,8219.287627458572,3010.852926890501,0.0415688157081604,289.04623,1,3325,0.09750741
2.1522825,0.014653249,0.0,2115873,898.3,0.11239855,8223.158679962158,3081.9566602068962,0.15928733348846436,295.36493,1,3326,0.11239855
2.1409273,0.01226129,0.0,2116608,900.575,0.11920511,8227.034143686295,3104.1437460950597,0.7905835509300232,295.7145,1,3327,0.11920511
2.1465147,0.013463914,0.0,2117608,916.825,0.091948844,8230.903159618378,3154.5849488674617,0.12798452377319336,301.33197,1,3328,0.091948844
2.1267889,0.011518935,0.0,2118608,916.825,0.091278434,8234.771007061005,3163.255690269991,0.006826221942901611,302.56186,1,3329,0.091278434
2.1268644,0.01338667,0.0,2118931,899.9,0.11490986,8238.649601697922,3107.4972657196977,0.7260511219501495,295.49542,1,3330,0.11490986
2.1083682,0.012901904,0.0,2119931,899.9,0.10291444,8242.521261453629,3115.7112097779764,-0.005710124969482422,297.08124,1,3331,0.10291444
2.0930946,0.012477295,0.0,2120931,899.9,0.08114323,8246.397874832153,3117.4187614509738,-0.045999884605407715,298.34836,1,3332,0.08114323
2.0974455,0.013562009,0.0,2121931,915.6,0.114878535,8250.265824317932,3166.5220506869264,0.04287236928939819,303.91864,1,3333,0.114878535
2.10394,0.0053509977,0.0,2122584,906.925,0.061435565,8254.152099847794,3139.047764811567,0.7232366800308228,302.9026,1,3334,0.061435565
2.1253054,0.014549512,0.0,2123584,906.925,0.13071458,8258.039375543594,3139.4477399122634,0.11087822914123535,303.40894,1,3335,0.13071458
2.1196127,0.0135216415,0.0,2123862,888.875,0.1348599,8261.910962581635,3076.041397623526,0.8311922252178192,295.27203,1,3336,0.1348599
2.134579,0.014220728,0.0,2125424,838.625,0.120547,8265.786832094193,2888.885966130187,0.8320307284593582,272.0785,4,3340,0.120547
2.1357281,0.011505515,0.0,2126424,838.625,0.09343591,8269.669646501541,2891.6713537542055,0.10866916179656982,273.7885,1,3341,0.09343591
2.1400647,0.014023704,0.0,2126747,821.7,0.13727126,8273.553947925568,2827.5096249952294,0.9201669245958328,268.36462,1,3342,0.13727126
2.1383657,0.00388066,0.0,2128067,779.7,0.05968062,8277.444761753082,2682.3197646515764,0.8330459892749786,258.5076,3,3345,0.05968062
2.112626,0.0042633116,0.0,2129762,772.075,0.08048111,8281.320588827133,2660.1703249693055,0.6530996263027191,258.35065,2,3347,0.08048111
2.1170232,0.013546175,0.0,2130762,772.075,0.09362734,8285.1974670887,2652.907888070294,0.023959696292877197,256.98218,1,3348,0.09362734
2.1230047,0.0038104262,0.0,2131762,772.075,0.052937828,8289.086505174637,2647.8113227750787,0.03763705492019653,256.5063,1,3349,0.052937828
2.136921,0.01221228,0.0,2133048,754.225,0.09801316,8292.973516225815,2580.150954509647,0.7258439064025879,250.00748,2,3351,0.09801316
2.1362298,0.01278814,0.0,2134048,754.55,0.109274484,8296.843502998352,2580.195771701012,0.46570056676864624,249.49097,1,3352,0.109274484
2.111297,0.012628926,0.0,2135048,774.375,0.103268415,8300.73018693924,2656.5766252409076,0.42530369758605957,256.19882,1,3353,0.103268415
2.1108565,0.0039984565,0.0,2136048,775.925,0.07766504,8304.615982055664,2670.317688232736,0.08575242757797241,256.6634,1,3354,0.07766504
2.127822,0.013563657,0.0,2137048,775.925,0.081534974,8308.504796743393,2670.510564928004,-0.1341111660003662,256.6543,1,3355,0.081534974
2.1340604,0.011387421,0.0,2138048,775.925,0.089577235,8312.378592014313,2668.574579637486,0.09437602758407593,257.51294,1,3356,0.089577235
2.1134913,0.013435798,0.0,2139474,761.575,0.088749826,8316.265367507935,2618.2047919350175,0.5892264544963837,252.64291,2,3358,0.088749826
2.1238065,0.014522284,0.0,2140474,779.0,0.08983454,8320.159685850143,2679.354789230777,-0.07457959651947021,259.49054,1,3359,0.08983454
2.1256247,0.011795551,0.0,2142098,780.625,0.09100568,8324.042577981949,2690.7612550805206,0.6873914897441864,260.05472,2,3361,0.09100568
2.1398513,0.014136524,0.0,2143098,780.625,0.08789688,8327.927229642868,2692.0212277868623,0.10960197448730469,259.87476,1,3362,0.08789688
2.1582649,0.013196077,0.0,2144098,780.625,0.09136154,8331.818788290024,2694.1913084932203,0.07444977760314941,257.07318,1,3363,0.09136154
2.1340828,0.01289339,0.0,2145098,780.625,0.079089195,8335.698157072067,2687.047392198928,0.23809784650802612,254.66519,1,3364,0.079089195
2.1341114,0.014072712,0.0,2145813,773.5,0.12015416,8339.579980611801,2660.5552775081283,0.7774111479520798,251.3409,1,3365,0.12015416
2.1408584,0.012641057,0.0,2146813,773.5,0.086845785,8343.463298797607,2663.289457337542,0.03109961748123169,250.5142,1,3366,0.086845785
2.1117442,0.014889972,0.0,2147422,770.35,0.11015865,8347.345721244812,2645.8049690631533,0.7724919468164444,249.12154,1,3367,0.11015865
2.1103518,0.013359243,0.0,2148422,770.35,0.08956534,8351.236732721329,2651.0242336915594,0.08321601152420044,248.57149,1,3368,0.08956534
2.112316,0.0131995585,0.0,2148996,759.7,0.1728632,8355.127608776093,2613.794389476904,0.6388810873031616,245.39107,1,3369,0.1728632
2.0761993,0.012036597,0.0,2149996,776.625,0.11297007,8359.465236902237,2677.099966218374,0.09199094772338867,252.16557,1,3370,0.11297007
2.092437,0.011858191,0.0,2150996,776.625,0.15102707,8363.352101802826,2674.197860637322,0.0795474648475647,251.32442,1,3371,0.15102707
2.103882,0.011592936,0.0,2151996,776.625,0.08621558,8367.247994184494,2672.9131700829653,0.23462146520614624,251.1311,1,3372,0.08621558
2.1017268,0.011697057,0.0,2152996,776.625,0.09540887,8371.143887043,2687.8642982913157,0.07329303026199341,252.28154,1,3373,0.09540887
2.0916102,0.014984318,0.0,2154092,762.7,0.120487615,8375.038793325424,2634.791190274991,0.6169498860836029,246.09244,2,3375,0.120487615
