EpThisIter,EpisodesSoFar,optimgain,TimeElapsed,EpTrueRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,surrgain,EpRewMean,ev_tdlam_before,entloss
1,3495,0.097524375,6283.387786865234,2514.0361696479804,0.013795242,767.875,1.0227642,1574955,0.097524375,90.19065,0.2677299380302429,0.0
1,3496,0.09890526,6287.39870929718,2485.9541377193177,0.012057373,761.575,1.0207081,1575670,0.09890526,90.20686,0.8639889061450958,0.0
1,3497,0.13400501,6291.414712429047,2503.015342626443,0.014754433,758.375,1.0152284,1576542,0.13400501,91.27613,0.7696496993303299,0.0
1,3498,0.0887661,6295.413700580597,2500.4744603363383,0.014473895,758.375,1.0343392,1577542,0.0887661,91.90486,0.5102161765098572,0.0
1,3499,0.09067196,6299.412992477417,2493.370025093882,0.012419663,758.375,1.0279994,1578542,0.09067196,92.33103,0.46574175357818604,0.0
1,3500,0.098001756,6303.407803535461,2501.37394697922,0.013493021,758.375,1.0009838,1579542,0.098001756,92.61587,-0.21332085132598877,0.0
2,3502,0.1228296,6307.408133983612,2506.7583030946,0.0137092415,763.875,1.0043883,1580925,0.1228296,93.82809,0.8167998790740967,0.0
1,3503,0.061812993,6311.405236005783,2523.719023159457,0.0038531746,755.525,0.99751866,1581591,0.061812993,94.10747,0.8094066381454468,0.0
1,3504,0.086360976,6315.403527736664,2565.240201167979,0.012587446,765.15,0.98925066,1582591,0.086360976,94.89249,-0.10486364364624023,0.0
2,3506,0.10292334,6319.40172958374,2509.457769710434,0.014111325,758.875,0.996986,1583930,0.10292334,93.68382,0.6248890459537506,0.0
2,3508,0.11149076,6323.389702320099,2464.794619307384,0.012866803,739.35,0.9856872,1585149,0.11149076,91.61498,0.8243846744298935,0.0
2,3510,0.10778713,6327.3830473423,2427.093843309619,0.012437021,733.575,0.9857937,1586413,0.10778713,90.70114,0.7569765895605087,0.0
1,3511,0.1238978,6331.386864423752,2459.1078814684624,0.012256633,742.3,1.0030137,1586790,0.1238978,92.268394,0.7979172170162201,0.0
1,3512,0.09950869,6335.380573749542,2477.520188247106,0.012293711,743.7,1.0064945,1587790,0.09950869,92.44603,-0.09044420719146729,0.0
2,3514,0.10605152,6339.380806207657,2474.430236558846,0.012358364,752.575,1.0030152,1589508,0.10605152,91.52529,0.4805964231491089,0.0
2,3516,0.11975389,6343.364149093628,2520.8436553234824,0.012783133,766.3,1.0051036,1591177,0.11975389,92.57086,0.6570316851139069,0.0
1,3517,0.1267838,6347.357114076614,2513.762867691763,0.012417394,764.5,1.0196912,1591440,0.1267838,92.28092,0.7684362679719925,0.0
1,3518,0.10249683,6351.351343870163,2562.211475357532,0.014058108,780.35,1.0312942,1592440,0.10249683,94.07177,0.41129428148269653,0.0
1,3519,0.07788475,6355.345881223679,2595.031658286223,0.011878394,788.1,1.0147691,1593440,0.07788475,95.776085,0.28013432025909424,0.0
1,3520,0.079645835,6359.333925485611,2662.5993835564523,0.0122866705,803.25,1.0236276,1594440,0.079645835,98.73003,0.12424170970916748,0.0
1,3521,0.07695302,6363.329859018326,2659.51256140979,0.0114353355,803.25,1.0171984,1595440,0.07695302,98.17688,0.1303005814552307,0.0
1,3522,0.10960635,6367.337740421295,2738.523355920468,0.012234779,808.3,1.0091419,1596413,0.10960635,100.23374,0.8382430970668793,0.0
1,3523,0.0990036,6371.354797840118,2824.042166483061,0.012628128,827.925,0.99033207,1597413,0.0990036,102.291534,-0.006951808929443359,0.0
1,3524,0.11761345,6375.3678596019745,2834.169492278751,0.011909454,827.475,0.98479456,1598395,0.11761345,101.84699,0.7321401238441467,0.0
1,3525,0.08934272,6379.362296819687,2829.1981180820985,0.014044005,827.475,0.98938596,1599395,0.08934272,101.89683,0.49985039234161377,0.0
1,3526,0.1184834,6383.360084056854,2821.5446086889774,0.013823628,827.475,0.99271965,1600395,0.1184834,102.10771,0.5000474750995636,0.0
1,3527,0.09842296,6387.353525400162,2823.0604347102553,0.012258275,827.475,0.9717406,1601395,0.09842296,102.097664,0.07058990001678467,0.0
1,3528,0.09358515,6391.342922925949,2796.801319958253,0.0129698105,820.775,0.9608766,1602127,0.09358515,100.89687,0.7251968085765839,0.0
2,3530,0.12074398,6395.343212604523,2743.1128664722505,0.011893477,815.25,0.9574185,1603622,0.12074398,99.25633,0.6272344887256622,0.0
1,3531,0.13702995,6399.335104227066,2723.7406384569967,0.014089979,805.25,0.9525777,1604125,0.13702995,98.30785,0.837051123380661,0.0
1,3532,0.108337544,6403.328208446503,2775.411266632272,0.013281107,817.325,0.96176964,1605118,0.108337544,99.78826,0.7335571348667145,0.0
1,3533,0.09665327,6407.3170602321625,2773.424070637591,0.012611749,817.325,0.9610213,1606118,0.09665327,99.51973,0.6561634540557861,0.0
1,3534,0.086497284,6411.319611310959,2826.534863434102,0.012969318,829.075,0.9605565,1607118,0.086497284,101.018166,0.009322881698608398,0.0
2,3536,0.09273263,6415.3146052360535,2832.107828018935,0.012283405,830.725,0.9568181,1608899,0.09273263,100.59102,0.5717293918132782,0.0
1,3537,0.1070569,6419.307439565659,2842.7708886633195,0.011949365,833.925,0.96305686,1609899,0.1070569,100.908905,0.020507454872131348,0.0
2,3539,0.10590823,6423.307519435883,2753.8600207579757,0.012545323,812.25,0.96796566,1611032,0.10590823,97.65457,0.8440090864896774,0.0
1,3540,0.09854902,6427.305031776428,2753.963213958166,0.0134902,812.25,0.98224455,1612032,0.09854902,97.748245,0.016130030155181885,0.0
1,3541,0.13528684,6431.292981386185,2765.58557050728,0.013181929,814.0,0.9813765,1613032,0.13528684,97.885635,0.5168976485729218,0.0
1,3542,0.10727414,6435.304589748383,2802.8552045660213,0.012673227,820.125,0.9793686,1613730,0.10727414,99.44554,0.8165186047554016,0.0
1,3543,0.096862674,6439.301907777786,2836.2218394466663,0.013846954,828.475,0.9692455,1614730,0.096862674,100.9531,0.186725914478302,0.0
1,3544,0.06762653,6443.317427396774,2823.278704064115,0.003971637,826.125,0.9563293,1615636,0.06762653,100.90656,0.8139554411172867,0.0
1,3545,0.09670408,6447.311480760574,2822.3640669196266,0.012770335,826.125,0.954178,1616636,0.09670408,100.91345,0.18237799406051636,0.0
1,3546,0.09032963,6451.711969614029,2901.9174602010153,0.012161224,842.65,0.9494706,1617636,0.09032963,103.511086,0.10148227214813232,0.0
1,3547,0.11866884,6455.710521697998,2897.0985371559786,0.013323545,847.025,0.9669403,1618636,0.11866884,103.10234,0.2330610752105713,0.0
2,3549,0.09954645,6459.705458402634,2991.484778709245,0.01423194,867.175,0.96002764,1620546,0.09954645,105.49121,0.6691536903381348,0.0
