meankl,EpTrueRewMean,EpLenMean,TimestepsSoFar,ev_tdlam_before,EpThisIter,optimgain,TimeElapsed,EpRewMean,entloss,surrgain,EpisodesSoFar,entropy
0.0079710055,283.00827960378854,59.625,16368,0.8356785327196121,15,0.17290275,72.80047631263733,34.727844,0.0,0.17290275,436,24.04761
0.008525821,292.3039647567358,61.95,17407,0.810838907957077,16,0.20341036,77.2943046092987,35.887753,0.0,0.20341036,452,24.024176
0.0080311885,299.03522222671063,62.825,18463,0.805049791932106,18,0.18391593,81.78514862060547,35.09479,0.0,0.18391593,470,23.998371
0.00792677,293.32419934489945,61.375,19449,0.7615182548761368,15,0.21244922,86.26603055000305,32.902874,0.0,0.21244922,485,23.967283
0.008085603,304.33373797922314,64.075,20485,0.8267202973365784,16,0.17938103,90.73961281776428,32.74495,0.0,0.17938103,501,23.937424
0.008329187,289.47546594871267,61.025,21503,0.7342150509357452,18,0.2024031,95.21096920967102,30.067282,0.0,0.2024031,519,23.90967
0.007910382,296.5956216560827,62.025,22509,0.8143846988677979,14,0.19125077,99.69309329986572,29.547766,0.0,0.19125077,533,23.926006
0.008466298,317.7844213851278,66.9,23520,0.7779726535081863,14,0.19128835,104.1898832321167,30.859396,0.0,0.19128835,547,23.91925
0.008422269,334.2186239023407,70.75,24576,0.8969617038965225,16,0.18583974,108.70783352851868,31.429432,0.0,0.18583974,563,23.907228
0.009545813,342.83140435451696,72.625,25596,0.8478089272975922,13,0.21758899,113.20633912086487,31.231579,0.0,0.21758899,576,23.903566
0.008497504,315.33269760932734,67.05,26651,0.853508323431015,17,0.19306752,118.25585317611694,28.242224,0.0,0.19306752,593,23.899979
0.008672466,317.7821621359771,67.45,27715,0.8777284100651741,16,0.19360182,123.36126279830933,28.00347,0.0,0.19360182,609,23.884296
0.008711776,306.2275810318582,63.95,28758,0.8795974403619766,16,0.20508829,127.9390709400177,25.976086,0.0,0.20508829,625,23.886883
0.008831682,320.2568076867909,66.975,29824,0.8361705988645554,15,0.20178601,132.51485538482666,26.435251,0.0,0.20178601,640,23.885988
0.0082885325,334.3514238377714,70.5,30774,0.8417227119207382,13,0.20350666,137.10683917999268,26.73283,0.0,0.20350666,653,23.8711
0.008827243,336.66178174976386,71.475,31835,0.8534235060214996,15,0.20961115,141.69040703773499,26.560719,0.0,0.20961115,668,23.887716
0.009280631,350.0367078053597,74.35,32848,0.8458010703325272,13,0.22586256,146.27643036842346,27.632877,0.0,0.22586256,681,23.900162
0.0085991025,330.6626511132162,70.925,33900,0.8636093288660049,16,0.19583404,150.85506916046143,26.583374,0.0,0.19583404,697,23.894958
0.01022994,314.3739999748827,67.2,34936,0.867652028799057,16,0.2231884,155.43672275543213,24.152767,0.0,0.2231884,713,23.89715
0.009425672,319.561630488213,67.475,35969,0.8204202950000763,15,0.21980919,160.01736092567444,23.673538,0.0,0.21980919,728,23.908918
0.009553279,313.4558064627719,65.9,36980,0.8738123178482056,16,0.18872781,164.60042762756348,22.552057,0.0,0.18872781,744,23.914328
0.0090807825,330.4022755269574,69.45,38091,0.8357551693916321,14,0.22523151,169.19188141822815,23.068073,0.0,0.22523151,758,23.928705
0.009163408,330.06966336827907,70.8,39136,0.8083726316690445,15,0.20541073,173.76420164108276,23.646595,0.0,0.20541073,773,23.91414
0.00962594,339.58018594836426,73.075,40179,0.7988912165164948,14,0.20346436,178.3154423236847,24.09318,0.0,0.20346436,787,23.917221
0.009739945,326.12095516162015,69.375,41162,0.8868491724133492,15,0.1988599,182.87513756752014,23.164997,0.0,0.1988599,802,23.946295
0.009686394,327.0939773385861,69.225,42186,0.8450422435998917,15,0.23411061,188.04224491119385,23.17751,0.0,0.23411061,817,23.953203
0.00950423,321.0989134920287,68.925,43245,0.8482279777526855,14,0.21362457,192.49054169654846,22.317211,0.0,0.21362457,831,23.92676
