entropy,meankl,surrgain,EpLenMean,EpRewMean,ev_tdlam_before,entloss,EpisodesSoFar,TimestepsSoFar,optimgain,TimeElapsed,EpThisIter
1.4189401,0.006540805,0.007530434,205.075,68.14196573978005,0.8199620991945267,0.0,73,18417,0.007530434,12.726778745651245,7
1.4189401,0.00776449,0.009951259,184.45,68.74847178044212,0.923323430120945,0.0,80,19361,0.009951259,13.422969341278076,7
1.4189401,0.006150364,0.014209594,171.925,68.99832411340387,0.9300301745533943,0.0,87,20322,0.014209594,14.111284732818604,7
1.4189401,0.00577177,0.014704261,155.8,68.48884718622662,0.9609146192669868,0.0,96,21499,0.014704261,14.816280126571655,9
1.4189401,0.0075860647,0.010729004,136.875,69.13734679425272,0.9698015004396439,0.0,105,22519,0.010729004,15.52153730392456,9
1.4189401,0.0054368367,0.0059035807,123.1,70.10787288236058,0.9671720340847969,0.0,115,23545,0.0059035807,16.22562313079834,10
1.4189401,0.0070014196,0.012062355,116.125,71.32608309177051,0.9775693248957396,0.0,124,24548,0.012062355,16.92548131942749,9
1.4189401,0.006002758,0.013105053,113.6,72.21944652953232,0.9019565209746361,0.0,133,25506,0.013105053,17.61298656463623,9
1.4189401,0.006548893,0.010964489,110.35,72.60433444370176,0.9783528279513121,0.0,142,26556,0.010964489,18.295609951019287,9
1.4189401,0.0121704545,0.015558224,108.8,73.05322122083018,0.9805020429193974,0.0,153,27646,0.015558224,18.985907554626465,11
1.4189401,0.005756757,0.008999441,111.175,72.85398694455327,0.8839602544903755,0.0,161,28638,0.008999441,19.710652589797974,8
1.4189401,0.009505552,0.011686408,105.55,73.55622999717741,0.8917897045612335,0.0,171,29561,0.011686408,20.399214506149292,10
1.4189401,0.0072349105,0.008822339,104.525,73.33888764423988,0.9400062449276447,0.0,181,30649,0.008822339,21.102349758148193,10
1.4189401,0.008225288,0.011177225,104.525,72.5176509747563,0.9603310711681843,0.0,192,31674,0.011177225,21.79743194580078,11
1.4189401,0.0061257333,0.008964948,96.925,73.48819216100006,0.9525862224400043,0.0,202,32598,0.008964948,22.472493171691895,10
1.4189401,0.007395795,0.015187456,95.8,72.91944104024222,0.9753972683101892,0.0,214,33784,0.015187456,23.18202304840088,12
1.4189401,0.007029307,0.012342677,93.55,72.48751922042024,0.9711641129106283,0.0,225,34788,0.012342677,23.888953685760498,11
1.4189401,0.009154816,0.017347567,92.225,72.08020045026008,0.9830533321946859,0.0,237,35776,0.017347567,24.568888425827026,12
1.4189401,0.008881761,0.018341742,83.9,73.42158875203278,0.9918718235567212,0.0,250,36802,0.018341742,25.259305477142334,13
1.4189401,0.0056112767,0.015176987,85.6,73.48706748503805,0.9569543115794659,0.0,262,37859,0.015176987,25.962411880493164,12
1.4189401,0.008235058,0.014202877,82.7,74.70015247138133,0.9809152334928513,0.0,274,38842,0.014202877,26.648573398590088,12
1.4189401,0.008340692,0.0076956414,82.775,74.60138540303528,0.9957562992349267,0.0,287,39873,0.0076956414,27.33580708503723,13
1.4189401,0.0072598117,0.006404806,85.375,73.56392212187113,0.9018859267234802,0.0,299,40958,0.006404806,28.02420425415039,12
1.4189401,0.009652796,0.017782863,82.525,73.83303237686624,0.9752333015203476,0.0,312,41980,0.017782863,28.722253561019897,13
1.4189401,0.009729869,0.01867694,81.525,74.2376471343157,0.99496079236269,0.0,325,42971,0.01867694,29.405625343322754,13
1.4189401,0.0076688016,0.011085983,78.65,75.41876599962907,0.978869553655386,0.0,338,44019,0.011085983,30.109302759170532,13
1.4189401,0.009206632,0.01399548,77.975,75.6364577411443,0.9889035103842616,0.0,351,45022,0.01399548,30.79641103744507,13
1.4189401,0.007029544,0.016518861,78.775,75.38776714211875,0.9940491165034473,0.0,364,46047,0.016518861,31.504689931869507,13
1.4189401,0.00798914,0.011069311,78.525,75.45831525501171,0.9901666762307286,0.0,377,47083,0.011069311,32.19908690452576,13
1.4189401,0.008766202,0.017243968,78.3,75.07662054842254,0.9966193728614599,0.0,390,48073,0.017243968,32.89736223220825,13
1.4189401,0.009195494,0.013751259,77.45,75.45680691295996,0.994950607419014,0.0,404,49145,0.013751259,33.57565784454346,14
1.4189401,0.0053040693,0.019647516,79.95,75.38888972086124,0.9571184776723385,0.0,415,50134,0.019647516,34.259441614151,11
1.4189401,0.0076432433,0.015486337,87.0,73.74509241840677,0.9056947231292725,0.0,425,51174,0.015486337,34.95236659049988,10
1.4189401,0.009354005,0.0147677045,88.375,73.5802602577531,0.9308635964989662,0.0,438,52212,0.0147677045,35.66078019142151,13
1.4189401,0.007846721,0.014958747,87.3,73.70234865796746,0.9880020497366786,0.0,451,53213,0.014958747,36.36567282676697,13
1.4189401,0.008589791,0.008435478,81.15,75.03595757906274,0.9917569067329168,0.0,464,54227,0.008435478,37.064170837402344,13
1.4189401,0.008189226,0.009531034,77.7,75.27673883069954,0.9925375864841044,0.0,477,55228,0.009531034,37.76543211936951,13
1.4189401,0.009711221,0.012462375,78.15,75.58664607838296,0.9944081101566553,0.0,490,56266,0.012462375,38.455177545547485,13
1.4189401,0.0067476584,0.010316572,81.175,75.04886369845472,0.9342281594872475,0.0,502,57313,0.010316572,39.153489112854004,12
1.4189401,0.006616425,0.010313977,83.775,74.9685160376333,0.9628948867321014,0.0,514,58355,0.010313977,39.829325914382935,12
1.4189401,0.008509823,0.024495771,85.8,73.72928396942609,0.9798522889614105,0.0,526,59387,0.024495771,40.533374309539795,12
1.4189401,0.005950355,0.0035218946,82.5,74.13212437411613,0.9917546445503831,0.0,539,60384,0.0035218946,41.23192882537842,13
1.4189401,0.008191792,0.018556738,79.05,73.60711702056908,0.9938959609717131,0.0,553,61434,0.018556738,41.93271470069885,14
1.4189401,0.007521226,0.009195698,75.825,75.00714538086268,0.9905319139361382,0.0,566,62420,0.009195698,42.632317781448364,13
1.4189401,0.0073927576,0.020247921,77.525,74.59238683303317,0.9830210097134113,0.0,579,63485,0.020247921,43.32058644294739,13
1.4189401,0.0063038953,0.009855991,78.125,75.12315283106011,0.9900295613333583,0.0,592,64487,0.009855991,44.01472878456116,13
1.4189401,0.007261144,0.009460378,78.925,75.47543270615128,0.9925091974437237,0.0,605,65502,0.009460378,44.699312686920166,13
1.4189401,0.005473699,0.009969488,79.075,75.75681151615603,0.991790072992444,0.0,618,66516,0.009969488,45.38120698928833,13
1.4189401,0.007487264,0.0145587325,78.0,76.36693777915445,0.9952417043969035,0.0,631,67524,0.0145587325,46.07423377037048,13
1.4189401,0.008332084,0.01364954,77.65,76.75836969182399,0.995164921041578,0.0,645,68608,0.01364954,46.77199745178223,14
1.4189401,0.0051427884,0.009152269,80.325,77.12205258159425,0.7772976011037827,0.0,656,69581,0.009152269,47.46897864341736,11
1.4189401,0.013626763,0.014014584,80.95,77.12505693860855,0.9324422627687454,0.0,669,70605,0.014014584,48.16392278671265,13
1.4189401,0.00794236,0.014074871,81.375,77.49409149306082,0.9848487926647067,0.0,682,71634,0.014074871,48.860291957855225,13
1.4189401,0.008082529,0.018477865,78.6,76.74923994209212,0.9775764513760805,0.0,695,72649,0.018477865,49.54760432243347,13
1.4189401,0.008503703,0.0119265765,78.0,76.51914901682422,0.9967901322524995,0.0,709,73725,0.0119265765,50.23213076591492,14
1.4189401,0.008955593,0.015908029,77.225,76.63097998232706,0.9959578532725573,0.0,722,74723,0.015908029,50.90661549568176,13
1.4189401,0.0074858204,0.007472166,77.65,76.10976920207875,0.9887508945539594,0.0,735,75755,0.007472166,51.6188759803772,13
1.4189401,0.0076886155,0.020813014,77.375,75.12551134932772,0.9943542708642781,0.0,748,76743,0.020813014,52.30574059486389,13
1.4189401,0.010731471,0.008722455,77.325,74.23148425456586,0.9947194224223495,0.0,762,77816,0.008722455,52.982139348983765,14
