entloss,EpTrueRewMean,surrgain,EpRewMean,EpThisIter,TimestepsSoFar,TimeElapsed,optimgain,ev_tdlam_before,meankl,entropy,EpLenMean,EpisodesSoFar
0.0,1678.9255884922873,0.06266329,72.279564,1,522191,2689.434775829315,0.06266329,0.9662440083920956,0.013642889,1.4128317,483.45,1339
0.0,1654.258967258324,0.06867282,71.25181,2,522753,2694.768527030945,0.06867282,0.5884807705879211,0.011826048,1.4212813,477.625,1341
0.0,1646.474925262805,0.06575071,70.79736,2,523458,2700.5149331092834,0.06575071,0.9770173765718937,0.0107335,1.4106127,475.35,1343
0.0,1659.4727202708514,0.07034806,71.33824,3,524748,2705.857819080353,0.07034806,0.9642276763916016,0.011753551,1.4280382,478.9,1346
0.0,1722.7008028655848,0.06170346,73.04966,1,525748,2711.203749895096,0.06170346,0.5687862932682037,0.012562944,1.4210662,497.75,1347
0.0,1716.3526600713376,0.06335141,72.77806,1,526145,2716.5551364421844,0.06335141,0.8226746469736099,0.012745636,1.3945466,496.575,1348
0.0,1751.1669113885662,0.06791366,73.59001,2,527599,2721.906754732132,0.06791366,0.6829729676246643,0.011571275,1.3858992,507.575,1350
0.0,1782.66253996831,0.08042601,74.93189,1,528034,2727.238400697708,0.08042601,0.9586648158729076,0.011264157,1.3856672,515.5,1351
0.0,1766.6991935402452,0.10990332,74.604126,3,529367,2732.591282606125,0.10990332,0.8710267394781113,0.0127391955,1.3537904,511.625,1354
0.0,1655.876836746303,0.075410396,70.98081,3,530295,2737.937846660614,0.075410396,0.9706513863056898,0.012090007,1.356867,478.8,1357
0.0,1602.7975251277594,0.061768852,69.93654,4,531226,2743.2916116714478,0.061768852,0.9485784992575645,0.011377028,1.3511823,464.35,1361
0.0,1585.782246940205,0.06039027,70.14027,4,532951,2748.630964040756,0.06039027,0.9210334420204163,0.011388884,1.3683931,460.5,1365
0.0,1546.345344870852,0.06752181,68.90418,3,534159,2753.981700658798,0.06752181,0.9708576537668705,0.012082721,1.3691211,449.175,1368
0.0,1477.8501133737773,0.06925469,66.27737,2,534919,2759.317624568939,0.06925469,0.7639402449131012,0.01197297,1.3413032,429.825,1370
0.0,1510.5586309822102,0.08073479,67.4351,2,535990,2764.641718149185,0.08073479,0.9677502624690533,0.0126936585,1.3640275,439.375,1372
