TimeElapsed,EpTrueRewMean,entropy,ev_tdlam_before,EpThisIter,entloss,TimestepsSoFar,optimgain,EpLenMean,EpRewMean,meankl,surrgain,EpisodesSoFar
3069.871973514557,1581.3114786960064,0.714597,0.4854885935783386,1,0.0,685870,0.06111496,540.225,52.96325,0.012988068,0.06111496,1519
3074.1838076114655,1581.6043680838172,0.6996606,0.6004364788532257,1,0.0,686870,0.079154536,541.9,53.38595,0.010789242,0.079154536,1520
3078.56635761261,1618.628684681563,0.6881131,0.7899453043937683,2,0.0,688019,0.06479507,554.1,55.206806,0.0113426605,0.06479507,1522
3082.866894721985,1669.8235146034997,0.6941374,0.8436633944511414,2,0.0,689489,0.058423575,572.025,57.519714,0.012176277,0.058423575,1524
3087.3982949256897,1700.2500777304544,0.67501837,0.964776985347271,1,0.0,690240,0.059909724,583.0,58.60327,0.004952468,0.059909724,1525
3091.5425357818604,1710.3277624313255,0.6582489,0.9833412412554026,1,0.0,690803,0.07355231,587.1,59.18286,0.010843048,0.07355231,1526
3096.0798745155334,1752.7367781494745,0.6442365,0.9708739630877972,1,0.0,691643,0.08327032,602.125,60.84971,0.013209129,0.08327032,1527
3100.5504047870636,1775.0134622164726,0.650721,0.41904813051223755,1,0.0,692643,0.056470733,611.45,61.709667,0.010579506,0.056470733,1528
3104.6829192638397,1785.621217780911,0.66172034,0.8717805296182632,4,0.0,694401,0.058387905,613.025,62.621723,0.012369832,0.058387905,1532
3109.123186826706,1753.723371542829,0.6566108,0.950459286570549,1,0.0,694662,0.076744184,600.5,61.991528,0.010958172,0.076744184,1533
3113.761289834976,1641.1876067435828,0.66173786,0.9544246010482311,3,0.0,695721,0.06834705,558.775,59.400238,0.011641797,0.06834705,1536
3118.5028038024902,1677.7107391730929,0.6786497,0.909236453473568,1,0.0,696668,0.075234525,567.825,60.885765,0.011292638,0.075234525,1537
3123.2169122695923,1599.2028478460634,0.6812891,0.9792274422943592,3,0.0,697982,0.07959084,536.225,58.86904,0.011766531,0.07959084,1540
3127.318365573883,1620.028109030036,0.6821516,0.9740879833698273,3,0.0,699327,0.07094547,539.55,59.53847,0.010673033,0.07094547,1543
3131.8536150455475,1644.2085868542927,0.6653295,0.9837466813623905,3,0.0,701127,0.074171185,546.85,60.334717,0.011275545,0.074171185,1546
3135.706703901291,1602.867925781353,0.6455147,0.9293042495846748,4,0.0,702753,0.058630038,532.725,59.197735,0.010240192,0.058630038,1550
3140.336586713791,1541.1086625533153,0.6463881,0.9825274236500263,4,0.0,703948,0.07330554,508.9,57.06378,0.011383669,0.07330554,1554
3144.585380792618,1528.3295308789207,0.6283845,0.9541808515787125,4,0.0,705103,0.061510805,505.825,56.917336,0.010868842,0.061510805,1558
3149.242908000946,1450.3403090418706,0.6203696,0.6947315633296967,2,0.0,705964,0.06623647,477.35,54.28908,0.011759938,0.06623647,1560
3153.542970895767,1299.2861903408734,0.6181669,0.7974842637777328,5,0.0,707285,0.06491534,426.125,48.32865,0.010931004,0.06491534,1565
3157.874936103821,1289.8167589124482,0.6221108,0.9726899340748787,1,0.0,707698,0.06799457,422.375,47.79853,0.010926545,0.06799457,1566
3162.2206225395203,1171.1267653846958,0.61215514,0.9541981555521488,3,0.0,708770,0.06590775,378.175,43.447144,0.012515308,0.06590775,1569
3166.8015072345734,1200.5194597416353,0.6163107,0.9780483935028315,2,0.0,709732,0.085513845,388.6,43.998894,0.0129420385,0.085513845,1571
3171.208076238632,1190.9290600097263,0.5904822,0.9548709727823734,4,0.0,710764,0.06303782,383.55,42.79547,0.011073686,0.06303782,1575
3175.6096608638763,1097.4440658002727,0.5879975,0.918697789311409,4,0.0,711925,0.07649712,354.65,38.889637,0.010992193,0.07649712,1579
3179.686002254486,1092.963842953106,0.5901572,0.976990606635809,3,0.0,713169,0.0756202,353.35,37.848007,0.011386882,0.0756202,1582
3183.864270925522,1133.8824325218973,0.5977586,0.6842879354953766,1,0.0,714169,0.0941052,371.05,39.10752,0.011952814,0.0941052,1583
3188.549162864685,1138.0453824546123,0.58889455,0.9552647471427917,2,0.0,715399,0.06907005,372.3,38.91892,0.0104864,0.06907005,1585
3192.682927131653,1145.405091902877,0.56134295,0.9610303789377213,1,0.0,716200,0.06725385,376.825,39.02395,0.011448214,0.06725385,1586
3196.8680894374847,1165.3211409119942,0.57238835,0.708505243062973,2,0.0,717639,0.06793551,384.65,39.2248,0.011372388,0.06793551,1588
3201.7295570373535,1210.5868170982649,0.58312964,0.5888260304927826,1,0.0,718639,0.077951334,402.4,40.29592,0.011972988,0.077951334,1589
3205.9443538188934,1251.9802041363525,0.5827968,0.8955157473683357,2,0.0,719739,0.066914186,418.9,40.87905,0.010779253,0.066914186,1591
3210.2921965122223,1323.9341428159773,0.5848313,0.33632904291152954,2,0.0,721449,0.07052865,447.9,42.633995,0.011122787,0.07052865,1593
3215.40052819252,1362.0525047521337,0.576718,0.9426083043217659,3,0.0,722831,0.07030598,459.275,43.426678,0.012407559,0.07030598,1596
3220.011608362198,1401.069520411608,0.5926903,0.8629243820905685,2,0.0,723993,0.057122193,472.25,44.291912,0.011521525,0.057122193,1598
3224.695966243744,1367.620885649916,0.57990575,0.9704978372901678,4,0.0,725244,0.073231146,464.525,43.197075,0.010905318,0.073231146,1602
3229.3307943344116,1378.0181817335176,0.57506996,0.9591709859669209,4,0.0,726410,0.07220533,467.8,43.60902,0.011784727,0.07220533,1606
3233.755251646042,1409.4171173504847,0.5641658,0.9190368875861168,2,0.0,727700,0.081253245,479.45,44.63127,0.013837026,0.081253245,1608
3238.134868144989,1402.245898080988,0.5508279,0.924059696495533,3,0.0,728812,0.070645265,477.0,44.478577,0.010635806,0.070645265,1611
3242.757397413254,1389.5972884155995,0.5733872,0.9435667917132378,4,0.0,729719,0.06327759,473.875,44.615753,0.011216983,0.06327759,1615
3246.9935908317566,1395.4188672872508,0.56291175,0.9606470763683319,3,0.0,730552,0.07579986,475.325,44.875034,0.011155317,0.07579986,1618
3251.330644607544,1416.6963164967124,0.55674314,0.9558056704699993,1,0.0,731229,0.070993766,482.6,45.710217,0.011355836,0.070993766,1619
